##name	Military glossary by Adel
##sourceLang	English
##targetLang	Arabic
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1256
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1256
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Adel
##description	
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2013/03/20, 20:43
##bgl_middleUpdated	2013/03/20, 20:45
##bgl_lastUpdated	2013/03/20, 20:45
15VPS	Abbr.: 15VPS<br>\nMeaning: 15 Volt Power Supply<br>\nالمعنى العربي: <br>
DOD	Abbr.: DOD<br>\nMeaning: Department of Defense<br>\nالمعنى العربي: وزارة الدفاع الأمريكية<br>
DOD	Abbr.: DOD<br>\nMeaning: department of defense<br>\nالمعنى العربي: وزارة الدفاع<br>
DOS	Abbr.: DOS<br>\nMeaning: days of supply<br>\nالمعنى العربي: ايام التموين<br>
DP	Abbr.: DP<br>\nMeaning: decision point<br>\nالمعنى العربي: نقطة اتخاذ القرار<br>
DPICM	Abbr.: DPICM<br>\nMeaning: Dual-Purpose Improved Conventional Munition<br>\nالمعنى العربي: ذخيرة تقليدية محسنة ثنائية الغرض <br>
DPICM	Abbr.: DPICM<br>\nMeaning: dual purpose impr. Conven. Muniti<br>\nالمعنى العربي: ذخيرة تقليدية محسنة ثنائية الأغراض<br>
DRA	Abbr.: DRA<br>\nMeaning: division rear area<br>\nالمعنى العربي: المنطقة الخلفية للفرقة<br>
DRB	Abbr.: DRB<br>\nMeaning: division ready brigade<br>\nالمعنى العربي: اللواء الجاهز للفرقة<br>
DRF	Abbr.: DRF<br>\nMeaning: division ready force<br>\nالمعنى العربي: القوة الجاهزة للفرقة<br>
DS	Abbr.: DS<br>\nMeaning: direct support<br>\nالمعنى العربي: اسناد مباشر<br>
DSA	Abbr.: DSA<br>\nMeaning: division support area<br>\nالمعنى العربي: منطقة اسناد الفرقة<br>
DSESTS	Abbr.: DSESTS<br>\nMeaning: Direct Support Electronic Systems Test Set<br>\nالمعنى العربي: <br>
DST	Abbr.: DST<br>\nMeaning: division transportation template<br>\nالمعنى العربي: نموذج نقل الفرقة<br>
DSTA	Abbr.: DSTA<br>\nMeaning: DSESTS SRU Test Assembly<br>\nالمعنى العربي: <br>
DSTAI	Abbr.: DSTAI<br>\nMeaning: DSTA Interface<br>\nالمعنى العربي: <br>
DSU	Abbr.: DSU<br>\nMeaning: Direct Support Unit<br>\nالمعنى العربي: سرية الصيانة (على مستوى اللواء)<br>
DTG	Abbr.: DTG<br>\nMeaning: date-time group<br>\nالمعنى العربي: مجموعة الوقت والتاريخ<br>
DTO	Abbr.: DTO<br>\nMeaning: division transportation officer<br>\nالمعنى العربي: ضابط نقل لفرقة<br>
DZ	Abbr.: DZ<br>\nMeaning: drop zone<br>\nالمعنى العربي: منطقة الاسقاط<br>
Deliberate Attack	Abbr.: Deliberate Attack<br>\nMeaning: <br>\nالمعنى العربي: الهجوم المدبر<br>
Diffuse Housing	Abbr.: Diffuse Housing<br>\nMeaning: <br>\nالمعنى العربي: جرم ناشرة الهواء<br>
Division Commander	Abbr.: Division Commander<br>\nMeaning: <br>\nالمعنى العربي: قائد فرقة<br>
Doctrine	Abbr.: Doctrine<br>\nMeaning: <br>\nالمعنى العربي: العقيدة العسكرية<br>
EA	Abbr.: EA<br>\nMeaning: Engagement Area<br>\nالمعنى العربي: منطقة إشتباك<br>
EA	Abbr.: EA<br>\nMeaning: engagement area<br>\nالمعنى العربي: منطقة الاشتباك<br>
EAC	Abbr.: EAC<br>\nMeaning: echelons above corps<br>\nالمعنى العربي: الأنساق اعلى من الفيلق<br>
EAD	Abbr.: EAD<br>\nMeaning: echelons above division<br>\nالمعنى العربي: الأنساق اعلى من الفرقة<br>
EAPU	Abbr.: EAPU<br>\nMeaning: Engine Auxillary Power Unit<br>\nالمعنى العربي: <br>
ECA	Abbr.: ECA<br>\nMeaning: Electronic Control Assembly<br>\nالمعنى العربي: <br>
ECCM	Abbr.: ECCM<br>\nMeaning: electro. counter counter measures<br>\nالمعنى العربي: اجراءات مضادة لإجرات الكترونية مضادة<br>
ECM	Abbr.: ECM<br>\nMeaning: electro. counter  measures<br>\nالمعنى العربي: اجراءات الكترونية مضادة<br>
ECU	Abbr.: ECU<br>\nMeaning: Electronics Control Unit<br>\nالمعنى العربي: <br>
ED	Abbr.: ED<br>\nMeaning: Embedded Diagnostics<br>\nالمعنى العربي: <br>
EEFI	Abbr.: EEFI<br>\nMeaning: essential elements of friendly info<br>\nالمعنى العربي: عناصر المعلومات الأساسية للقوات الصديقة<br>
EEI	Abbr.: EEI<br>\nMeaning: essential elements of information<br>\nالمعنى العربي: العناصر الأساسية للمعلومات<br>
EEP	Abbr.: EEP<br>\nMeaning: embassy evacuation plan<br>\nالمعنى العربي: خطة اخلاء السفارة<br>
EL	Abbr.: EL<br>\nMeaning: Electro-Luminescent<br>\nالمعنى العربي: <br>
ELINT	Abbr.: ELINT<br>\nMeaning: electronic intelligence<br>\nالمعنى العربي: استخبارات الكترونية<br>
ELRF	Abbr.: ELRF<br>\nMeaning: Eyesafe Laser Rangefinder<br>\nالمعنى العربي: <br>
EMA	Abbr.: EMA<br>\nMeaning: ECA Motor Assembly<br>\nالمعنى العربي: <br>
EOC	Abbr.: EOC<br>\nMeaning: emergency operations center<br>\nالمعنى العربي: مركز عمليات الطوارئ<br>
EOD	Abbr.: EOD<br>\nMeaning: explosive ordnance disposal<br>\nالمعنى العربي: التخلص من العبوات المتفجرة<br>
EPB	Abbr.: EPB<br>\nMeaning: electro. Prepar. of the battelfield<br>\nالمعنى العربي: الاعداد الالكتروني لميدان المعركة<br>
EPW	Abbr.: EPW<br>\nMeaning: enemy prisoner of war<br>\nالمعنى العربي: اسير حرب من العدو<br>
ESF	Abbr.: ESF<br>\nMeaning: emergency support function<br>\nالمعنى العربي: وظيفة اسناد الطوارئ<br>
ESM	Abbr.: ESM<br>\nMeaning: electronic support measures<br>\nالمعنى العربي: اجراءات اسناد الكتروني<br>
EU	Abbr.: EU<br>\nMeaning: Electronics Unit<br>\nالمعنى العربي: <br>
EW	Abbr.: EW<br>\nMeaning: electronic warfare<br>\nالمعنى العربي: حرب الكترونية<br>
EWL	Abbr.: EWL<br>\nMeaning: engineer work line<br>\nالمعنى العربي: خط عمل المهندسين<br>
EWO	Abbr.: EWO<br>\nMeaning: electronic warfare officer<br>\nالمعنى العربي: ضابط حرب الكترونية<br>
EWSM	Abbr.: EWSM<br>\nMeaning: electronic warfare suport measures<br>\nالمعنى العربي: اجراءات اسناد الحرب الالكترونية<br>
EZ	Abbr.: EZ<br>\nMeaning: extraction zone<br>\nالمعنى العربي: منطقة الالتقاط<br>
Engage / Engagement	Abbr.: Engage / Engagement<br>\nMeaning: <br>\nالمعنى العربي: يشتبك / إشتباك<br>
Engineers Corps	Abbr.: Engineers Corps<br>\nMeaning: <br>\nالمعنى العربي: سلاح المهندسين<br>
F	Abbr.: F<br>\nMeaning: fahrenheit<br>\nالمعنى العربي: درجة فهرنهيت<br>
FA	Abbr.: FA<br>\nMeaning: field artillery<br>\nالمعنى العربي: مدفعية ميدان<br>
FAA	Abbr.: FAA<br>\nMeaning: forward assembly area<br>\nالمعنى العربي: منطقة تجمع امامية<br>
FAAD	Abbr.: FAAD<br>\nMeaning: forward  area air defence<br>\nالمعنى العربي: دفاع جوي المنطقة الأمامية<br>
FAIO	Abbr.: FAIO<br>\nMeaning: field artillery intelligence officer<br>\nالمعنى العربي: ضابط استخبارات مدفعية ميدان<br>
FARP	Abbr.: FARP<br>\nMeaning: forward arming &amp; refuelling point<br>\nالمعنى العربي: منطقة تموين امامية ذخيرة وقود<br>
FASCAM	Abbr.: FASCAM<br>\nMeaning: Field Artillery Scatterable Mines<br>\nالمعنى العربي: الألغام المنثورة بالمدفعية<br>
FASCAM	Abbr.: FASCAM<br>\nMeaning: family of scatterable mines<br>\nالمعنى العربي: عائلة الغام تنثر بالمدفعية<br>
FCB	Abbr.: FCB<br>\nMeaning: Fan Control Box<br>\nالمعنى العربي: <br>
FCC	Abbr.: FCC<br>\nMeaning: flight coordination center<br>\nالمعنى العربي: مركز تنسيق الرحلات الجوية<br>
FCEU	Abbr.: FCEU<br>\nMeaning: Fire Control Electronics Unit<br>\nالمعنى العربي: <br>
FCO	Abbr.: FCO<br>\nMeaning: federal control officer<br>\nالمعنى العربي: ضابط سيطرة فيديرالي<br>
FDB	Abbr.: FDB<br>\nMeaning: FIST Distribution Box<br>\nالمعنى العربي: <br>
FDC	Abbr.: FDC<br>\nMeaning: fire direction center<br>\nالمعنى العربي: مركز توجيه النيران<br>
FEBA	Abbr.: FEBA<br>\nMeaning: Forward Ege of Battle Area<br>\nالمعنى العربي: الحافة الأمامية لمنطقة المعركة<br>
FEBA	Abbr.: FEBA<br>\nMeaning: forward edge of battle area<br>\nالمعنى العربي: الحافة الأمامية لمنطقة المعركة<br>
FEMA	Abbr.: FEMA<br>\nMeaning: federal emergency managem. agency<br>\nالمعنى العربي: الوكالةالفيدرالية لادارة الطوارئ<br>
FFA	Abbr.: FFA<br>\nMeaning: free fire area<br>\nالمعنى العربي: منطقة رماية حرة<br>
FFIR	Abbr.: FFIR<br>\nMeaning: friendly foces informa. requirements<br>\nالمعنى العربي: مطالب معلومات القوات الصديقة<br>
FIST	Abbr.: FIST<br>\nMeaning: Fire Support Team<br>\nالمعنى العربي: <br>
FIST	Abbr.: FIST<br>\nMeaning: fire support team<br>\nالمعنى العربي: فريق اسمناد نيران<br>
FLIR	Abbr.: FLIR<br>\nMeaning: Forward Looking Infrared Radar<br>\nالمعنى العربي: <br>
FLIR	Abbr.: FLIR<br>\nMeaning: forward looking infrared<br>\nالمعنى العربي: رؤية امامية بالأشعة تحت الحمراء<br>
FLOT	Abbr.: FLOT<br>\nMeaning: Forward Line of own Troops<br>\nالمعنى العربي: حد التقدم الأمامي لقواتنا<br>
FLOT	Abbr.: FLOT<br>\nMeaning: forward line of own troops<br>\nالمعنى العربي: الخط الأمامي للقوات الصديقة<br>
FM	Abbr.: FM<br>\nMeaning: Field Manual<br>\nالمعنى العربي: كراس ميدان<br>
FM	Abbr.: FM<br>\nMeaning: field manual, frequency modulated<br>\nالمعنى العربي: كراس ميدان، تعديل تردد<br>
FMI	Abbr.: FMI<br>\nMeaning: Field Manual Interim<br>\nالمعنى العربي: كراس ميدان مؤقت<br>
FMS	Abbr.: FMS<br>\nMeaning: Foreign Military Sales<br>\nالمعنى العربي: مبيعات الأسلحة الخارجية<br>
FOB	Abbr.: FOB<br>\nMeaning: Forward Operating Base<br>\nالمعنى العربي: قاعدة عمليات متقدمة<br>
FORCECOM	Abbr.: FORCECOM<br>\nMeaning: US Army forces Command<br>\nالمعنى العربي: قيادة قوات الجيش الأمريكي<br>
FRAGO	Abbr.: FRAGO<br>\nMeaning: Fragmentary Order<br>\nالمعنى العربي: أمر مجزأ<br>
FRAGO	Abbr.: FRAGO<br>\nMeaning: fragmentary order<br>\nالمعنى العربي: امر مجزأ<br>
FS	Abbr.: FS<br>\nMeaning: fire support<br>\nالمعنى العربي: اسناد نيران <br>
FSB	Abbr.: FSB<br>\nMeaning: forward support batallion<br>\nالمعنى العربي: كتيبة اسناد امامي<br>
FSCL	Abbr.: FSCL<br>\nMeaning: fire support coordination line<br>\nالمعنى العربي: خط تنسيق اسناد النيران<br>
FSCOORD	Abbr.: FSCOORD<br>\nMeaning: fire support coordinator<br>\nالمعنى العربي: منسق اسناد النيران<br>
FSE	Abbr.: FSE<br>\nMeaning: Fire Support Element<br>\nالمعنى العربي: عنصر إسناد النيران<br>
FSE	Abbr.: FSE<br>\nMeaning: fire support element<br>\nالمعنى العربي: عنصر اسناناد النير<br>
FSMC	Abbr.: FSMC<br>\nMeaning: forward support medical company<br>\nالمعنى العربي: سرية اسناد طبي امامي<br>
FSO	Abbr.: FSO<br>\nMeaning: Fire Support Officer<br>\nالمعنى العربي: ضابط إسناد النيران<br>
FSO	Abbr.: FSO<br>\nMeaning: fire support officer<br>\nالمعنى العربي: ضابط اسناد نيران<br>
FSOP	Abbr.: FSOP<br>\nMeaning: field standing operating procedure<br>\nالمعنى العربي: الأوامر المستديمة للميدان<br>
FSR	Abbr.: FSR<br>\nMeaning: Field Services Representative<br>\nالمعنى العربي: مندوب الخدمات الميدانية<br>
FST	Abbr.: FST<br>\nMeaning: Functional Self Test<br>\nالمعنى العربي: <br>
FTX	Abbr.: FTX<br>\nMeaning: <br>\nالمعنى العربي: <br>
FTX	Abbr.: FTX<br>\nMeaning: field training exercise<br>\nالمعنى العربي: تمرين تدريب ميداني<br>
FVS	Abbr.: FVS<br>\nMeaning: Fighting Vehicle System<br>\nالمعنى العربي: <br>
Facility / Facilities	Abbr.: Facility / Facilities<br>\nMeaning: <br>\nالمعنى العربي: منشأة / منشآت<br>
Fire Support	Abbr.: Fire Support<br>\nMeaning: <br>\nالمعنى العربي: إسناد النيران<br>
G	Abbr.: G<br>\nMeaning: green<br>\nالمعنى العربي: اخضر<br>
G1	Abbr.: G1<br>\nMeaning: <br>\nالمعنى العربي: ركن الإدارة (في لواء فأعلى)<br>
G1	Abbr.: G1<br>\nMeaning: assistant chief of staff G1 personel<br>\nالمعنى العربي: مساعد رئيس الأركان للأفراد<br>
G2	Abbr.: G2<br>\nMeaning: <br>\nالمعنى العربي: ركن الاستخبارات (في لواء فأعلى)<br>
G2	Abbr.: G2<br>\nMeaning: assistant chief of staff G2 intelligence<br>\nالمعنى العربي: مساعد رئيس الأركان للاستخبارات<br>
G3	Abbr.: G3<br>\nMeaning: <br>\nالمعنى العربي: ركن العمليات (في لواء فأعلى)<br>
G3	Abbr.: G3<br>\nMeaning: assistant chief of staff operati/ plans<br>\nالمعنى العربي: مساعد رئيس الأركان للعمليات/الخطط<br>
G4	Abbr.: G4<br>\nMeaning: <br>\nالمعنى العربي: ركن التموين (في لواء فأعلى)<br>
G4	Abbr.: G4<br>\nMeaning: assistant chief of staff G4 logistics<br>\nالمعنى العربي: مساعد رئيس الأركان للتموين<br>
G5	Abbr.: G5<br>\nMeaning: assistant chief of staff G5 civil affairs<br>\nالمعنى العربي: مساعد رئيس الأركان للشئون المدنية<br>
GCCA	Abbr.: GCCA<br>\nMeaning: Generic Circuit Card Assembly<br>\nالمعنى العربي: <br>
GCDP	Abbr.: GCDP<br>\nMeaning: Gunner's Control and Display Panel<br>\nالمعنى العربي: <br>
GCHA	Abbr.: GCHA<br>\nMeaning: Gunner's Control Handle Assembly<br>\nالمعنى العربي: <br>
GCU	Abbr.: GCU<br>\nMeaning: Gun Control Unit<br>\nالمعنى العربي: <br>
GD Arabia	Abbr.: GD Arabia<br>\nMeaning: <br>\nالمعنى العربي: شركة جي دي العربية<br>
GDLS	Abbr.: GDLS<br>\nMeaning: General Dynamics Land Systems<br>\nالمعنى العربي: شركة جنرال دبنامكس للأنظمة البرية<br>
GFM	Abbr.: GFM<br>\nMeaning: GPS Functions Module<br>\nالمعنى العربي: <br>
GFM/E	Abbr.: GFM/E<br>\nMeaning: GFM/Enhanced<br>\nالمعنى العربي: <br>
GHS	Abbr.: GHS<br>\nMeaning: Gunner's Hand Station<br>\nالمعنى العربي: <br>
GPEOH	Abbr.: GPEOH<br>\nMeaning: General Purpose Electro Optic Head<br>\nالمعنى العربي: <br>
GPIA	Abbr.: GPIA<br>\nMeaning: General Purpose Interface Assembly<br>\nالمعنى العربي: <br>
GPS	Abbr.: GPS<br>\nMeaning: Gunner's Primary Sight<br>\nالمعنى العربي: <br>
GPS	Abbr.: GPS<br>\nMeaning: global positioning systems<br>\nالمعنى العربي: اجهزة تحديد الموقع العالمي<br>
GRREG	Abbr.: GRREG<br>\nMeaning: graves registration<br>\nالمعنى العربي: تسجيل القبور<br>
GS	Abbr.: GS<br>\nMeaning: general support<br>\nالمعنى العربي: اسناد عام<br>
GSCP	Abbr.: GSCP<br>\nMeaning: Gunner's Sight Control Panel<br>\nالمعنى العربي: <br>
GSE	Abbr.: GSE<br>\nMeaning: general support element<br>\nالمعنى العربي: عنصر اسناد عام<br>
GSO	Abbr.: GSO<br>\nMeaning: General Supply Office<br>\nالمعنى العربي: مكتب التموين العام<br>
GSR	Abbr.: GSR<br>\nMeaning: gen sup rein ground  surveil. radar<br>\nالمعنى العربي: رادار مراقبة ارضية اسناد عام<br>
GTC	Abbr.: GTC<br>\nMeaning: ground tactical commander<br>\nالمعنى العربي: القائد التكتيكي الأرضي<br>
GTD	Abbr.: GTD<br>\nMeaning: Gun/Turret Drive<br>\nالمعنى العربي: <br>
GUI	Abbr.: GUI<br>\nMeaning: Graphics User Interface<br>\nالمعنى العربي: <br>
Graphics	Abbr.: Graphics<br>\nMeaning: <br>\nالمعنى العربي: رسوم بيانية<br>
Guardrail	Abbr.: Guardrail<br>\nMeaning: speci electro mission plane<br>\nالمعنى العربي: طائرة مهمة الكترونية خاصة<br>
Guidance	Abbr.: Guidance<br>\nMeaning: <br>\nالمعنى العربي: إرشاد<br>
HAHO	Abbr.: HAHO<br>\nMeaning: high altitude high opening<br>\nالمعنى العربي: فتحة عالية على ارتفاع عالي<br>
HALO	Abbr.: HALO<br>\nMeaning: high altitude low opening<br>\nالمعنى العربي: فتحة منخفضة على ارتفاع عالي<br>
HD	Abbr.: HD<br>\nMeaning: heavy drop<br>\nالمعنى العربي: اسقاط ثقيل<br>
HDB	Abbr.: HDB<br>\nMeaning: Hull Distribution Box<br>\nالمعنى العربي: <br>
HE	Abbr.: HE<br>\nMeaning: high explosive<br>\nالمعنى العربي: شديد الانفجار<br>
HEAT	Abbr.: HEAT<br>\nMeaning: High-Explosive Anti-Tank <br>\nالمعنى العربي: ذخيرة شديدة الإنفجار مضادة للدبابات<br>
HEMTT	Abbr.: HEMTT<br>\nMeaning: heavy expan mobi tact truck<br>\nالمعنى العربي: شاحنة تكتيكية ثقيلة بخفة حركة واسعة<br>
HEP-T	Abbr.: HEP-T<br>\nMeaning: high explosive plastic tracer<br>\nالمعنى العربي: متفجر بلاستيك خطاطي<br>
HEPI	Abbr.: HEPI<br>\nMeaning: heavy equipt point of impact<br>\nالمعنى العربي: نقطة تاثير المعدة الثقيلة<br>
HET	Abbr.: HET<br>\nMeaning: heavy equipment transport<br>\nالمعنى العربي: معدات نقل ثقيل<br>
HEU	Abbr.: HEU<br>\nMeaning: Hull Electronics Unit<br>\nالمعنى العربي: <br>
HF	Abbr.: HF<br>\nMeaning: high frequency<br>\nالمعنى العربي: تردد عالي<br>
HHB	Abbr.: HHB<br>\nMeaning: headquarter &amp; hq battery<br>\nالمعنى العربي: القيادة وبطارية القيادة<br>
HHC	Abbr.: HHC<br>\nMeaning: Headquarters, Headquarters Company<br>\nالمعنى العربي: قيادة سرية القيادة<br>
HHC	Abbr.: HHC<br>\nMeaning: headquarter &amp; hq company<br>\nالمعنى العربي: القيادة وسرية القيادة<br>
HHT	Abbr.: HHT<br>\nMeaning: headquarter &amp;hq troop<br>\nالمعنى العربي: القيادة وقوات القيادة<br>
HIDACZ	Abbr.: HIDACZ<br>\nMeaning: high density airspace cont zone<br>\nالمعنى العربي: منطقة سيطرة على مجال جوي كثيف <br>
HIMAD	Abbr.: HIMAD<br>\nMeaning: high/medium altit. Air defense<br>\nالمعنى العربي: دفاع جوي ارتفاع عالي/ موسط<br>
HLZ	Abbr.: HLZ<br>\nMeaning: helicopter landing zone<br>\nالمعنى العربي: منطقة هبوط مروحيات<br>
HMMWV	Abbr.: HMMWV<br>\nMeaning: high mobili. multi purp. vehicle<br>\nالمعنى العربي: مركبة متعددة الأغراض خفة حركة عالية<br>
HMPU	Abbr.: HMPU<br>\nMeaning: Hull Mission Processor Unit<br>\nالمعنى العربي: <br>
HN	Abbr.: HN<br>\nMeaning: host nation<br>\nالمعنى العربي: الدولة المضيفة<br>
HNB	Abbr.: HNB<br>\nMeaning: Hull Networks Box<br>\nالمعنى العربي: <br>
HPB	Abbr.: HPB<br>\nMeaning: Hull Power Box<br>\nالمعنى العربي: <br>
HPDU	Abbr.: HPDU<br>\nMeaning: Hull Power Distribution Unit<br>\nالمعنى العربي: <br>
HPT	Abbr.: HPT<br>\nMeaning: high payoff target<br>\nالمعنى العربي: هدف ذو مردود عالي<br>
HPTL	Abbr.: HPTL<br>\nMeaning: high payoff target list<br>\nالمعنى العربي: قائمة اهداف ذات مردود عالي<br>
HPU	Abbr.: HPU<br>\nMeaning: Hull Power Unit<br>\nالمعنى العربي: <br>
HQ	Abbr.: HQ<br>\nMeaning: Headquarters<br>\nالمعنى العربي: مقر القيادة<br>
HQ	Abbr.: HQ<br>\nMeaning: headquarters<br>\nالمعنى العربي: القيادة<br>
HRPT	Abbr.: HRPT<br>\nMeaning: highway regulating point team<br>\nالمعنى العربي: فريق نقطة تنظيم الطريق السريع<br>
HRSM	Abbr.: HRSM<br>\nMeaning: Hull Remote Switching Module<br>\nالمعنى العربي: <br>
HSS	Abbr.: HSS<br>\nMeaning: health service support<br>\nالمعنى العربي: اسناد الخدمة الصحية<br>
HUMINT	Abbr.: HUMINT<br>\nMeaning: human intelligence<br>\nالمعنى العربي: استخبارات الأفراد<br>
HVT	Abbr.: HVT<br>\nMeaning: high value target<br>\nالمعنى العربي: هدف ذو قيمة عالية<br>
I Corps	Abbr.: I Corps<br>\nMeaning: First Corps<br>\nالمعنى العربي: الفيلق الأول<br>
I&S	Abbr.: I&amp;S<br>\nMeaning: interrogation &amp; surveillance<br>\nالمعنى العربي: الاستجواب والمراقبة<br>
IA	Abbr.: IA<br>\nMeaning: Interface Adapter<br>\nالمعنى العربي: <br>
IADS	Abbr.: IADS<br>\nMeaning: Interactive Authoring and Display System<br>\nالمعنى العربي: <br>
ICE	Abbr.: ICE<br>\nMeaning: Internal Combustion Engine<br>\nالمعنى العربي: <br>
ICM	Abbr.: ICM<br>\nMeaning: improved conventional munitions<br>\nالمعنى العربي: ذخائر تقليدية محسنة<br>
ICU	Abbr.: ICU<br>\nMeaning: Image Control Unit<br>\nالمعنى العربي: <br>
ID	Abbr.: ID<br>\nMeaning: identification<br>\nالمعنى العربي: تعريف<br>
ID (L)	Abbr.: ID (L)<br>\nMeaning: light infantry division<br>\nالمعنى العربي: فرقة مشاة خفيفة<br>
IDAD	Abbr.: IDAD<br>\nMeaning: internal defense &amp; development<br>\nالمعنى العربي: الدفاع الداخلي والتطوير<br>
IETM	Abbr.: IETM<br>\nMeaning: Interactive Electronic Technical Manual<br>\nالمعنى العربي: <br>
IEW	Abbr.: IEW<br>\nMeaning: intelligence &amp; electronic warfare<br>\nالمعنى العربي: الاستخبارات والحرب الالكترونية<br>
IEWSE	Abbr.: IEWSE<br>\nMeaning: intel.&amp; electro. Warf. Supp. element<br>\nالمعنى العربي: عنصر سنداستخبارات وحرب الكترونية<br>
IFF	Abbr.: IFF<br>\nMeaning: identification friend or foe<br>\nالمعنى العربي: التعرف على الصديق من العدو<br>
IFV	Abbr.: IFV<br>\nMeaning: infantry fighting vehicle<br>\nالمعنى العربي: مركبة قتال مشاة<br>
IG	Abbr.: IG<br>\nMeaning: inspector general<br>\nالمعنى العربي: المفتش العام<br>
IGV	Abbr.: IGV<br>\nMeaning: Inlet Guide Vane<br>\nالمعنى العربي: ريش توجيه هواء الدخول<br>
ILECU	Abbr.: ILECU<br>\nMeaning: Improved Launcher Electronics Control Unit <br>\nالمعنى العربي: <br>
IMINT	Abbr.: IMINT<br>\nMeaning: imagery intelligence<br>\nالمعنى العربي: استخبارات الصور<br>
INU	Abbr.: INU<br>\nMeaning: Inertial Navigation Unit<br>\nالمعنى العربي: <br>
IP	Abbr.: IP<br>\nMeaning: initial point<br>\nالمعنى العربي: نقطة الأساس<br>
IPAO	Abbr.: IPAO<br>\nMeaning: intel. Prepar. of area of operations<br>\nالمعنى العربي: الاعداد الاستخباري لمنطقة العمليات<br>
IPB	Abbr.: IPB<br>\nMeaning: intel. Preparation of the battlefield<br>\nالمعنى العربي: الاعداد الاستخباري لميدان المعركة<br>
IPW	Abbr.: IPW<br>\nMeaning: prisonner of war interrogation<br>\nالمعنى العربي: استجواب اسير الحرب<br>
IR	Abbr.: IR<br>\nMeaning: information requirements<br>\nالمعنى العربي: مطالب المعلومات<br>
ISB	Abbr.: ISB<br>\nMeaning: intermediate staging base<br>\nالمعنى العربي: قاعدة تخزين متوسطة<br>
ISU	Abbr.: ISU<br>\nMeaning: Integrated Sight Unit<br>\nالمعنى العربي: <br>
ITV	Abbr.: ITV<br>\nMeaning: improved TOW vehicle<br>\nالمعنى العربي: مركبة صواريخ تو محسنة<br>
IUC	Abbr.: IUC<br>\nMeaning: ISU Unity Cover<br>\nالمعنى العربي: <br>
Infantry Corps	Abbr.: Infantry Corps<br>\nMeaning: <br>\nالمعنى العربي: سلاح المشاة<br>
JAAP	Abbr.: JAAP<br>\nMeaning: joint aiborne advance party<br>\nالمعنى العربي: فريق مقدمة مشترك محمول جوا<br>
JAAT	Abbr.: JAAT<br>\nMeaning: joint airborne attack team<br>\nالمعنى العربي: فريق هجوم مشترك محمول جوا<br>
JAG	Abbr.: JAG<br>\nMeaning: judge advocate general<br>\nالمعنى العربي: مسئول الشئون القانونية<br>
JCS	Abbr.: JCS<br>\nMeaning: joint chief of staff<br>\nالمعنى العربي: رئيس الأركان<br>
JIC	Abbr.: JIC<br>\nMeaning: joint information committee<br>\nالمعنى العربي: لجنة المعلومات المشتركة<br>
JOPES	Abbr.: JOPES<br>\nMeaning: joint operations planning system<br>\nالمعنى العربي: نظام تخطي العمليات المشتركة<br>
JP	Abbr.: JP<br>\nMeaning: Joint Publication<br>\nالمعنى العربي: مطبوعة (كراس) مشتركة<br>
JSEAD	Abbr.: JSEAD<br>\nMeaning: joint suppression enemy air defense<br>\nالمعنى العربي: الاخماد المشترك لدفاع جوي العدو<br>
JSOC	Abbr.: JSOC<br>\nMeaning: joint special operations command<br>\nالمعنى العربي: قيادة العمليات الخاصة المشتركة<br>
JSOTF	Abbr.: JSOTF<br>\nMeaning: joint special operations task force<br>\nالمعنى العربي: قوة واجب العمليات الخاصة المشتركة<br>
JSTARS	Abbr.: JSTARS<br>\nMeaning: Joint Surveillance Target Attack Radar System<br>\nالمعنى العربي: <br>
JTF	Abbr.: JTF<br>\nMeaning: Joint Task Force<br>\nالمعنى العربي: قوة واجب مشتركة<br>
JTF	Abbr.: JTF<br>\nMeaning: joint task force<br>\nالمعنى العربي: قوة الواجب المشتركة<br>
JTF-LA	Abbr.: JTF-LA<br>\nMeaning: joint task force-Los Angeles<br>\nالمعنى العربي: قوة الواجب المشتركة - لوس انجلوس<br>
Janus	Abbr.: Janus<br>\nMeaning: A high-fidelity, force-on-force simulation<br>\nالمعنى العربي: مشبه الجانيس<br>
KAMC	Abbr.: KAMC<br>\nMeaning: <br>\nالمعنى العربي: تبوك (مدينة الملك عبدالعزيز العسكرية)- المنطقة الشمالية الغربية<br>
KEK	Abbr.: KEK<br>\nMeaning: key encryption key<br>\nالمعنى العربي: مفتاح الشفرة الأساسية<br>
KFMC	Abbr.: KFMC<br>\nMeaning: <br>\nالمعنى العربي: خميس مشيط (مدينة الملك فيصل العسكرية) - المنطقة الجنوبية<br>
KIA	Abbr.: KIA<br>\nMeaning: killed in action<br>\nالمعنى العربي: قٌتل في الحرب<br>
KKMC	Abbr.: KKMC<br>\nMeaning: King Khaled Military City<br>\nالمعنى العربي: حفر الباطن (مدينة الملك خالد العسكرية) - المنطقة الشمالية<br>
KZ	Abbr.: KZ<br>\nMeaning: Kill Zone<br>\nالمعنى العربي: منطقة قتل<br>
