##name	DOD Joint Acronyms and Abbreviations
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Department of Defense (DOD), Joint Doctrine Division
##copyright	Source: U.S. Department of Defense, <a href="http://www.dtic.mil/doctrine/index.html">Joint Doctrine Division</a>. ( <a href="bword://About the DOD Joint Acronyms and Abbreviations">About</a> )
##description	The <b>DOD Joint Acronyms and Abbreviations</b> contains a listing of current abbreviations and acronyms in \ncommon use within the Department of Defense. This is by no means a complete list of DOD abbreviations and acronyms. Rather, <b>it serves as a guide to current DOD usage in abbreviations and acronyms</b>. \n<p>The Joint Acronyms and Abbreviations master data base is  managed by the Joint Doctrine Division, J-7, Joint Staff. All approved joint definitions are contained in Joint Publication 1-02, "DOD Dictionary of Military and Associated Terms." <b>  As amended through 17 October 2007</b>.</p> \n<p>The <b>Joint Acronyms and Abbreviations</b> holds more than 6000 entries. </p>
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/03/20, 09:33
##bgl_middleUpdated	2008/03/25, 09:22
##bgl_lastUpdated	2008/03/25, 09:22
.NL.	not less than <br>
DJS	Director, Joint Staff <br>
DJSM	Director, Joint Staff memorandum <br>
DJTFAC	deployable joint task force augmentation cell <br>
DJTFS	deputy joint task force surgeon  <br>
DLA	Defense Logistics Agency <br>
DLAM	Defense Logistics Agency manual <br>
DLAR	Defense Logistics Agency regulation <br>
DLEA	drug law enforcement agency <br>
DLED	dedicated loop encryption device <br>
DLIS	Defense Logistics Information Service <br>
DLP	data link processor <br>
DLPMA	diphase loop modem A <br>
DLQ	deck landing qualification <br>
DLR	depot-level repairable  <br>
DLSA	Defense Legal Services Agency <br>
DLSS	Defense Logistics Standard Systems <br>
DLTM	digital line termination module <br>
DLTU	digital line termination unit <br>
DM	detection and monitoring <br>
DMB	datum marker buoy <br>
DMC	data mode control <br>
DMD	digital message device <br>
DMDC	defense management data center; defense manpower data center  <br>
DME	distance measuring equipment <br>
DMI	director military intelligence <br>
DMIGS	Domestic Mobile Integrated Geospatial-Intelligence System  <br>
DML	data manipulation language <br>
DMLSS	Defense Medical Logistics Standard Support  <br>
DMO	directory maintenance official <br>
DMOS	duty military occupational specialty <br>
DMPI	designated mean point of impact; desired mean point of impact <br>
DMRD	defense management resource decision <br>
DMRIS	defense medical regulating information system  <br>
DMS	defense message system; defense meteorological system; director of military support <br>
DMSB	Defense Medical Standardization Board <br>
DMSM	Defense Meritorious Service Medal <br>
DMSO	Defense Modeling and Simulation Office; director of major staff office; Division Medical Supply Office      <br>
DMSP	Defense Meteorological Satellite Program <br>
DMSSC	defense medical systems support center  <br>
DMT	disaster management team (UN) <br>
DMU	disk memory unit <br>
DMZ	demilitarized zone  <br>
DN	digital nonsecure  <br>
DNA	Defense Nuclear Agency; deoxyribonucleic acid  <br>
DNAT	defense nuclear advisory team <br>
DNBI	disease and nonbattle injury <br>
DNBI casualty	disease and nonbattle injury casualty  <br>
DNC	digital nautical chart <br>
DND	Department of National Defence <br>
DNDO	Domestic Nuclear Detection Office <br>
DNGA	Director of National Geospatial-Intelligence Agency  <br>
DNI	Director of National Intelligence; Director of Naval Intelligence  <br>
DNIF	duty not involving flying <br>
DNMSP	driftnet monitoring support program <br>
DNSO	Defense Network Systems Organization <br>
DNVT	digital nonsecure voice terminal <br>
DNY	display area code (NYX) routing  <br>
DOA	dead on arrival; director of administration <br>
DOB	date of birth; dispersal operating base <br>
DOC	Department of Commerce; designed operational capability <br>
DOCC	deep operations coordination cell <br>
DOCDIV	documents division  <br>
DOCEX	document exploitation  <br>
DOCNET	Doctrine Networked Education and Training  <br>
DOD	Department of Defense <br>
DOD-JIC	Department of Defense Joint Intelligence Center <br>
DODAAC	Department of Defense activity address code <br>
DODAAD	Department of Defense Activity Address Directory <br>
DODAC	DOD ammunition code <br>
DODD	Department of Defense directive <br>
DODDS	Department of Defense Dependent Schools  <br>
DODEX	Department of Defense intelligence system information system extension  <br>
DODFMR	Department of Defense Financial Management Regulation <br>
DODI	Department of Defense instruction <br>
DODIC	Department of Defense identification code  <br>
DODID	Department of Defense Intelligence Digest  <br>
DODIIS	Department of Defense Intelligence Information System <br>
DODIPC	Department of Defense intelligence production community <br>
DODIPP	Department of Defense Intelligence Production Program <br>
DODM	data orderwire diphase modem <br>
DOE	Department of Energy <br>
DOF	degree of freedom <br>
DOI	Defense Special Security Communications System (DSSCS) Operating Instructions; Department of Interior <br>
DOJ	Department of Justice <br>
DOL	Department of Labor <br>
DOM	day of month <br>
DOMS	director of military support <br>
DON	Department of the Navy <br>
DOPMA	Defense Officer Personnel Management Act  <br>
DOR	date of rank <br>
DOS	date of separation; days of supply; denial of service; Department of State; disk operating system     <br>
DOT	Department of Transportation <br>
DOTEO	Department of Transportation emergency organization  <br>
DOTMLPF	doctrine, organization, training, materiel, leadership and education, personnel, and facilities <br>
DOW	data orderwire; died of wounds  <br>
DOX-T	direct operational exchange-tactical <br>
DOY	day of year <br>
DP	Air Force component plans officer (staff); decisive point; Directorate for Policy Support (DIA); displaced person     <br>
DPA	Defense Production Act <br>
DPAS	Defense Priorities and Allocation System  <br>
DPC	deception planning cell; Defense Planning Committee (NATO)   <br>
DPEC	displaced person exploitation cell <br>
DPG	Defense Planning Guidance <br>
DPI	desired point of impact <br>
DPICM	dual purpose improved conventional munitions  <br>
DPKO	Department of Peacekeeping Operations <br>
DPLSM	dipulse group modem <br>
DPM	dissemination program manager <br>
DPMO	Defense Prisoner of War/Missing Personnel Office <br>
DPO	distribution process owner <br>
DPP	data patch panel; distributed production program <br>
DPPDB	digital point positioning database <br>
DPQ	defense planning questionnaire (NATO) <br>
DPR	display non-nodal routing <br>
DPRB	Defense Planning and Resources Board  <br>
DPRE	displaced persons, refugees, and evacuees  <br>
DPS	data processing system <br>
DPSC	Defense Personnel Support Center <br>
DPSK	differential phase shift keying <br>
DR	dead reckoning; digital receiver; disaster relief <br>
DRB	Defense Resources Board <br>
DRMD	deployments requirements manning document <br>
DRMO	Defense Reutilization and Marketing Office  <br>
DRMS	Defense Reutilization and Marketing Service; distance root-mean-square   <br>
DRO	departmental requirements office <br>
DRSN	Defense Red Switched Network <br>
DRT	dead reckoning tracer <br>
DRTC	designated reporting technical control <br>
DRe	dead reckoning error <br>
DS	Directorate for Information Systems and Services (DIA); direct support; doctrine sponsor <br>
DSA	defense special assessment (DIA); defensive sea area   <br>
DSAA	Defense Security Assistance Agency <br>
DSAR	Defense Supply Agency regulation <br>
DSB	digital in-band trunk signaling (DIBTS) signaling buffer   <br>
DSC	digital selective calling <br>
DSCA	Defense Security Cooperation Agency; defense support of civil authorities <br>
DSCP	Defense Supply Center Philadelphia <br>
DSCR	Defense Supply Center Richmond <br>
DSCS	Defense Satellite Communications System <br>
DSCSOC	Defense Satellite Communications System operations center <br>
DSDI	digital simple data interface <br>
DSG	digital signal generator <br>
DSI	defense simulation internet <br>
DSL	display switch locator (SL) routing  <br>
DSMAC	digital scene-matching area correlation <br>
DSN	Defense Switched Network <br>
DSNET	Defense Secure Network <br>
DSNET-2	Defense Secure Network-2 <br>
DSO	defensive systems officer <br>
DSOE	deployment schedule of events <br>
DSP	Defense Satellite Program; Defense Support Program <br>
DSPD	defense support to public diplomacy  <br>
DSPL	display system programming language <br>
DSPS	Director, Security Plans and Service  <br>
DSR	defense source registry <br>
DSS	Defense Security Service; Distribution Standard System <br>
DSSCS	Defense Special Security Communications System  <br>
DSSM	Defense Superior Service Medal <br>
DSSO	data system support organization; defense sensitive support office; defense systems support organization <br>
DSSR	Department of State Standardized Regulation  <br>
DST	deployment support team <br>
DSTP	Director of Strategic Target Planning  <br>
DSTR	destroy   <br>
DSTS-G	DISN Satellite Transmission Services - Global <br>
DSVL	doppler sonar velocity log <br>
DSVT	digital subscriber voice terminal <br>
DT	Directorate for MASINT and Technical Collection (DIA)   <br>
DTA	Defense Threat Assessment; dynamic threat assessment <br>
DTAM	defense terrorism awareness message <br>
DTD	detailed troop decontamination <br>
DTE	data terminal equipment; developmental test and evaluation   <br>
DTED	digital terrain elevation data <br>
DTG	date-time group; digital trunk group (digital transmission group)  <br>
DTIP	Disruptive Technology Innovations Partnership (DIA)  <br>
DTL	designator target line <br>
DTMF	dual tone multi-frequency <br>
DTMR	defense traffic management regulation <br>
DTO	division transportation office; drug trafficking organization <br>
DTOC	division tactical operations center <br>
DTR	defense transportation regulation <br>
DTRA	Defense Threat Reduction Agency <br>
DTRACS	Defense Transportation Reporting and Control System <br>
DTRATCA	Defense Threat Reduction and Treaty Compliance Agency   <br>
DTS	Defense Transportation System; diplomatic telecommunications service <br>
DTTS	Defense Transportation Tracking System <br>
DUSD(CI&S)	Deputy Under Secretary of Defense for Counterintelligence and Security <br>
DUSDL	Deputy Under Secretary of Defense for Logistics   <br>
DUSDP	Deputy Under Secretary of Defense for Policy   <br>
DUSTWUN	duty status-whereabouts unknown <br>
DV	distinguished visitor  <br>
DVA	Department of Veterans Affairs <br>
DVD	digital video device; digital video disc; direct vendor delivery <br>
DVITS	Digital Video Imagery Transmission System  <br>
DVOW	digital voice orderwire <br>
DVT	deployment visualization tool <br>
DWMCF	double-wide modular causeway ferry <br>
DWRIA	died of wounds received in action <br>
DWT	deadweight tonnage  <br>
DWTS	Digital Wideband Transmission System <br>
DX	direct exchange; Directorate for External Relations (DIA)   <br>
DZ	drop zone  <br>
DZC	drop zone controller <br>
DZCO	drop zone control officer <br>
DZSO	drop zone safety officer <br>
DZST	drop zone support team <br>
DZSTL	drop zone support team leader  <br>
Da	aerospace drift  <br>
De	total drift error <br>
DeCA	Defense Commissary Agency <br>
DeMS	deployment management system <br>
DepOpsDeps	Service deputy operations deputies <br>
E	total probable error <br>
E&DCP	evaluation and data collection plan  <br>
E&E	emergency and extraordinary expense authority; evasion and escape  <br>
E&EE	emergency and extraordinary expense <br>
E&I	engineering and installation <br>
E&M	ear and mouth; special signaling leads <br>
E-8C	joint surveillance, target attack radar system (JSTARS) aircraft  <br>
E-ARTS	en route automated radar tracking system <br>
E-O	TDA electro-optical tactical decision aid  <br>
E-UAV	endurance unmanned aerial vehicle <br>
E-mail	electronic mail  <br>
E1	Echelon 1  <br>
E2	Echelon 2  <br>
E3	Echelon 3; electromagnetic environmental effects  <br>
E4	Echelon 4  <br>
E5	Echelon 5  <br>
EA	electronic attack; emergency action; evaluation agent; executive agent; executive assistant <br>
EAC	echelons above corps (Army); emergency action; emergency action committee <br>
EACS	expeditionary aeromedical evacuation crew member support <br>
EACT	expeditionary aeromedical evacuation coordination team  <br>
EAD	earliest arrival date; echelons above division (Army); extended active duty <br>
EADS	Eastern Air Defense Sector <br>
EAES	expeditionary aeromedical evacuation squadron <br>
EAF	expeditionary aerospace forces <br>
EAI	executive agent instruction <br>
EALT	earliest anticipated launch time <br>
EAM	emergency action message <br>
EAP	emergency action plan; emergency action procedures <br>
EAP-CJCS	emergency action procedures of the Chairman of the Joint Chiefs of Staff <br>
EARLY	evasion and recovery supplemental data report <br>
EASF	expeditionary aeromedical staging facility <br>
EAST	expeditionary aeromedical evacuation staging team  <br>
EASTPAC	eastern Pacific Ocean <br>
EBCDIC	extended binary coded decimal interchange code <br>
EBS	environmental baseline survey <br>
EC	electronic combat; enemy combatant; error control; European Community  <br>
ECAC	Electromagnetic Compatibility Analysis Center <br>
ECB	echelons corps and below (Army)  <br>
ECC	engineer coordination cell; evacuation control center <br>
ECHA	Executive Committee for Humanitarian Affairs  <br>
ECM	electronic countermeasures  <br>
ECN	electronic change notice; Minimum Essential Emergency Communications Network  <br>
ECO	electronic combat officer <br>
ECOSOC	Economic and Social Council (UN)  <br>
ECP	emergency command precedence; engineering change proposal; entry control point <br>
ECS	expeditionary combat support <br>
ECU	environmental control unit <br>
ED	envelope delay; evaluation directive <br>
EDA	Excess Defense Articles <br>
EDC	estimated date of completion <br>
EDD	earliest delivery date <br>
EDI	electronic data interchange <br>
EDSS	equipment deployment and storage system  <br>
EE	emergency establishment  <br>
EEA	environmental executive agent <br>
EEBD	emergency escape breathing device <br>
EECT	end evening civil twilight <br>
EED	electro-explosive device; emergency-essential designation <br>
EEFI	essential elements of friendly information  <br>
EEI	essential element of information <br>
EELV	evolved expendable launch vehicle <br>
EEO	equal employment opportunity <br>
EEPROM	electronic erasable programmable read-only memory  <br>
EER	enlisted employee review; extended echo ranging <br>
EEZ	exclusive economic zone <br>
EFA	engineering field activity <br>
EFAC	emergency family assistance center <br>
EFD	engineering field division <br>
EFST	essential fire support task <br>
EFT	electronic funds transfer <br>
EFTO	encrypt for transmission only <br>
EGM	Earth Gravity Model <br>
EGS	Earth ground station <br>
EH	explosive hazard  <br>
EHCC	explosive hazards coordination cell <br>
EHF	extremely high frequency <br>
EHO	environmental health officer <br>
EHRA	environmental health risk assessment <br>
EHSA	environmental health site assessment <br>
EHT	explosive hazard team <br>
EI	environmental information; exercise item <br>
EIA	Electronic Industries Association <br>
EIS	Environmental Impact Statement <br>
ELBA	emergency locator beacon <br>
ELCAS	elevated causeway system <br>
ELCAS(M)	elevated causeway system (modular) <br>
ELCAS(NL)	elevated causeway system (Navy lighterage)  <br>
ELD	emitter locating data <br>
ELECTRO-OPTINT	electro-optical intelligence  <br>
ELINT	electronic intelligence  <br>
ELIST	enhanced logistics intratheater support tool  <br>
ELOS	extended line of sight <br>
ELPP	equal level patch panel <br>
ELR	extra-long-range aircraft  <br>
ELSEC	electronics security  <br>
ELSET	element set  <br>
ELT	emergency locator transmitter <br>
ELV	expendable launch vehicle <br>
ELVA	emergency low visibility approach <br>
EM	electromagnetic; executive manager <br>
EMAC	emergency management assistance compact <br>
EMALL	electronic mall  <br>
EMC	electromagnetic compatibility  <br>
EMCON	emissions control  <br>
EMCON orders	emission control orders <br>
EMD	effective miss distance <br>
EME	electromagnetic environment  <br>
EMEDS	Expeditionary Medical Support <br>
EMF	expeditionary medical facility <br>
EMI	electromagnetic interface; electromagnetic interference <br>
EMIO	expanded maritime interception operations <br>
EMP	electromagnetic pulse  <br>
EMR hazards	electromagnetic radiation hazards <br>
EMS	electromagnetic spectrum; emergency medical services  <br>
EMSEC	emanations security  <br>
EMT	emergency medical technician; emergency medical treatment <br>
EMV	electromagnetic vulnerability  <br>
ENCOM	engineer command (Army) <br>
ENDEX	exercise termination  <br>
ENL	enlisted   <br>
ENSCE	enemy situation correlation element <br>
ENWGS	Enhanced Naval Warfare Gaming System  <br>
EO	electro-optical; end office; equal opportunity; executive order; eyes only <br>
EO-IR	CM electro-optical-infrared countermeasure <br>
EO-IR	electro-optical-infrared   <br>
EOB	electronic order of battle; enemy order of battle  <br>
EOC	early operational capability; emergency operations center <br>
EOD	explosive ordnance disposal <br>
EOI	electro-optic(al) imagery  <br>
EOL	end of link <br>
EOM	end of message <br>
EOP	emergency operating procedures <br>
EOW	engineering orderwire  <br>
EP	electronic protection; emergency preparedness; emergency procedures; execution planning  <br>
EPA	Environmental Protection Agency; evasion plan of action   <br>
EPBX	electronic private branch exchange <br>
EPF	enhanced palletized load system (PLS) flatrack <br>
EPH	emergency planning handbook <br>
EPIC	El Paso Intelligence Center <br>
EPIRB	emergency position-indicating radio beacon <br>
EPLO	emergency preparedness liaison officer <br>
EPROM	erasable programmable read-only memory <br>
EPW	enemy prisoner of war <br>
EPW/CI	enemy prisoner of war/civilian internee  <br>
ERC	exercise related construction <br>
ERDC	Engineer Research and Development Center  <br>
ERGM	extended range guided munitions <br>
ERO	engine running on or offload  <br>
ERRO	Emergency Response and Recovery Office  <br>
ERSD	estimated return to service date  <br>
ERT	emergency response team (FEMA); engineer reconnaissance team   <br>
ERT-A	emergency response team - advance element <br>
ES	electronic warfare support <br>
ESB	engineer support battalion <br>
ESC	Electronics Systems Center <br>
ESF	Economic Support Fund; emergency support function <br>
ESG	executive steering group; expeditionary strike group <br>
ESGN	electrically suspended gyro navigation <br>
ESI	extremely sensitive information <br>
ESK	electronic staff weather officer kit  <br>
ESM	expeditionary site mapping <br>
ESO	embarkation staff officer; environmental science officer <br>
ESOC	Emergency Supply Operations Center <br>
ESP	engineer support plan <br>
ESR	external supported recovery <br>
EST	embarked security team; emergency service team; emergency support team (FEMA); en route support team      <br>
ETA	estimated time of arrival <br>
ETAC	emergency tactical air control; enlisted terminal attack controller  <br>
ETD	estimated time of departure <br>
ETF	electronic target folder <br>
ETI	estimated time of intercept <br>
ETIC	estimated time for completion; estimated time in commission  <br>
ETM	electronic transmission  <br>
ETPL	endorsed TEMPEST products list <br>
ETR	export traffic release <br>
ETS	European telephone system <br>
ETSS	extended training service specialist <br>
ETX	end of text <br>
EU	European Union  <br>
EUB	essential user bypass <br>
EURV	essential user rekeying variable <br>
EUSA	Eighth US Army <br>
EUSC	effective United States control/controlled <br>
EUSCS	effective United States controlled ships  <br>
EVC	evasion chart  <br>
EVE	equal value exchange <br>
EW	early warning; electronic warfare <br>
EW/GCI	early warning/ground-controlled intercept <br>
EWC	electronic warfare coordinator <br>
EWCC	electronic warfare coordination cell <br>
EWCS	electronic warfare control ship <br>
EWIR	electronic warfare integrated reprogramming <br>
EWO	electronic warfare officer <br>
EXCIMS	Executive Council for Modeling and Simulations <br>
EXCOM	extended communications search <br>
EXDIR	Executive Director (CIA) <br>
EXDIR/ICA	Executive Director for Intelligence Community Affairs (USG)   <br>
EXECSEC	executive secretary  <br>
EXER	exercise   <br>
EXORD	execute order  <br>
EXPLAN	exercise plan  <br>
EZ	extraction zone  <br>
EZCO	extraction zone control officer <br>
EZM	engagement zone manager <br>
ExCom	executive committee  <br>
F	flare patterns; flash <br>
F&ES	fire and emergency services <br>
F-hour	effective time of announcement by the Secretary of Defense to the Military Departments of a decision to mobilize Reserve units<br>
F/V	fishing vessel  <br>
F2T2EA	find, fix, track, target, engage, and assess   <br>
FA	feasibility assessment; field artillery <br>
FAA	Federal Aviation Administration; Foreign Assistance Act <br>
FAAR	facilitated after-action review <br>
FAC	forward air controller <br>
FAC(A)	forward air controller (airborne) <br>
FACE	forward aviation combat engineering <br>
FACSFAC	fleet area control and surveillance facility <br>
FAD	feasible arrival date; force activity designator <br>
FAE	fuel air explosive <br>
FALD	Field Administration and Logistics Division  <br>
FAM	functional area manager <br>
FAMP	forward area minefield planning <br>
FAO	Food and Agriculture Organization (UN); foreign area officer  <br>
FAPES	Force Augmentation Planning and Execution System <br>
FAR	Federal Acquisition Regulation; Federal Aviation Regulation <br>
FARC	Revolutionary Armed Forces of Colombia  <br>
FARP	forward arming and refueling point  <br>
FAS	Foreign Agricultural Service (USDA); frequency assignment subcommittee; fueling at sea; functional account symbol       <br>
FASCAM	family of scatterable mines <br>
FAST	fleet antiterrorism security team <br>
FAX	facsimile   <br>
FB	forward boundary  <br>
FBI	Federal Bureau of Investigation <br>
FBIS	Foreign Broadcast Information Service <br>
FBO	faith-based organization  <br>
FC	field circular; final coordination; floating causeway; floating craft; force commander <br>
FCA	functional configuration audit <br>
FCC	Federal Communications Commission; Federal coordinating center; functional combatant commander <br>
FCE	forward command element <br>
FCG	foreign clearance guide <br>
FCM	foreign consequence management <br>
FCO	federal coordinating officer <br>
FCP	fire control party <br>
FCT	firepower control team <br>
FD	from temporary duty <br>
FDA	Food and Drug Administration <br>
FDBM	functional database manager <br>
FDC	fire direction center <br>
FDESC	force description  <br>
FDL	fast deployment logistics <br>
FDLP	flight deck landing practice <br>
FDM	frequency division multiplexing <br>
FDO	fire direction officer; flexible deterrent option; flight deck officer; foreign disclosure officer <br>
FDR/FA	flight data recorder/fault analyzer <br>
FDS	fault detection system <br>
FDSL	fixed directory subscriber list <br>
FDSS	fault detection subsystem <br>
FDSSS	flight deck status and signaling system <br>
FDT	forward distribution team <br>
FDUL	fixed directory unit list <br>
FDX	full duplex  <br>
FE	facilities engineering  <br>
FEA	front-end analysis  <br>
FEBA	forward edge of the battle area <br>
FEC	forward error correction <br>
FECC	fires and effects coordination cell  <br>
FED-STD	federal standard  <br>
FEK	frequency exchange keying <br>
FEMA	Federal Emergency Management Agency <br>
FEP	fleet satellite (FLTSAT) extremely high frequency (EHF) package  <br>
FEPP	federal excess personal property; foreign excess personal property  <br>
FEST	foreign emergency support team; forward engineer support team  <br>
FET	facility engineer team <br>
FEU	forty-foot equivalent unit <br>
FEZ	fighter engagement zone <br>
FF	navy fast frigate <br>
FFA	free-fire area  <br>
FFC	force fires coordinator <br>
FFCC	flight ferry control center; force fires coordination center  <br>
FFD	foundation feature data <br>
FFE	field force engineering; fire for effect; flame field expedients <br>
FFG	guided missile frigate <br>
FFH	fast frequency hopping <br>
FFH-net	fast-frequency-hopping net  <br>
FFHT-net	fast-frequency-hopping training net <br>
FFIR	friendly force information requirement <br>
FFP	fresh frozen plasma <br>
FFTU	forward freight terminal unit <br>
FG	fighter group  <br>
FGMDSS	Future Global Maritime Distress and Safety System   <br>
FGS	final governing standard <br>
FH	fleet hospital  <br>
FHA	Bureau for Food and Humanitarian Assistance; Federal Highway Administration; foreign humanitarian assistance <br>
FHC	family help center <br>
FHP	force health protection <br>
FHWA	Federal Highway Administration <br>
FI	foreign intelligence  <br>
FIA	functional interoperability architecture <br>
FIC	force indicator code <br>
FID	foreign internal defense <br>
FIDAF	foreign internal defense augmentation force  <br>
FIE	fly-in echelon  <br>
FIFO	first-in-first-out   <br>
FIR	first-impressions report; flight information region  <br>
FIRCAP	foreign intelligence requirements capabilities and priorities <br>
FIS	flight information service; Foreign Intelligence Service <br>
FISC	fleet and industrial supply center  <br>
FISINT	foreign instrumentation signals intelligence <br>
FISS	foreign intelligence and security services  <br>
FIST	fire support team; fleet imagery support terminal; fleet intelligence support team <br>
FIWC	fleet information warfare center <br>
FIXe	navigational fix error <br>
FLAR	forward-looking airborne radar <br>
FLENUMMETOCCEN	Fleet Numerical Meteorology and Oceanography Center <br>
FLENUMMETOCDET	Fleet Numerical Meteorological and Oceanographic Detachment <br>
FLETC	Federal Law Enforcement Training Center  <br>
FLIP	flight information publication; flight instruction procedures <br>
FLIR	forward-looking infrared  <br>
FLITE	federal legal information through electronics  <br>
FLO/FLO	float-on/float-off   <br>
FLOLS	fresnel lens optical landing system  <br>
FLOT	forward line of own troops  <br>
FLP	force level planning <br>
FLS	forward logistic site <br>
FLSG	force logistic support group <br>
FLTSAT	fleet satellite  <br>
FLTSATCOM	fleet satellite communications <br>
FM	field manual (Army); financial management; flare multiunit; force module; frequency modulation; functional manager       <br>
FMA-net	frequency management A-net <br>
FMAS	foreign media analysis subsystem <br>
FMC	force movement characteristics; full mission-capable  <br>
FMCH	fleet multichannel  <br>
FMCR	Fleet Marine Corps Reserve <br>
FMCSA	Federal Motor Carrier Safety Administration  <br>
FMF	Fleet Marine Force <br>
FMFP	foreign military financing program <br>
FMI	field manual-interim  <br>
FMID	force module identifier <br>
FMO	frequency management office <br>
FMP	force module package; foreign materiel program <br>
FMS	force module subsystem; foreign military sales <br>
FMSC	frequency management sub-committee <br>
FMT-net	frequency management training net <br>
FN	foreign nation  <br>
FNMOC	Fleet Numerical Meteorology and Oceanographic Center <br>
FNMOD	Fleet Numerical Meteorological and Oceanographic Detachment <br>
FNOC	Fleet Numerical Oceanographic Command <br>
FNS	foreign nation support <br>
FO	fiber optic; flash override; forward observer <br>
FOB	forward operating base; forward operations base <br>
FOC	full operational capability; future operations cell <br>
FOD	field operations division; foreign object damage <br>
FOFW	fiber optic field wire <br>
FOI	fault detection isolation <br>
FOIA	Freedom of Information Act <br>
FOIU	fiber optic interface unit <br>
FOL	fiber optic link; forward operating location <br>
FON	freedom of navigation (operations) <br>
FORSCOM	United States Army Forces Command  <br>
FORSTAT	force status and identity report  <br>
FOS	forward operating site; full operational status <br>
FOT	follow-on operational test <br>
FOUO	for official use only <br>
FOV	field of view <br>
FP	firing point; force protection; frequency panel <br>
FPA	foreign policy advisor <br>
FPC	field press censorship; final planning conference; future plans cell <br>
FPCON	force protection condition <br>
FPD	force protection detachment; foreign post differential <br>
FPF	final protective fire <br>
FPM	Federal personnel manual <br>
FPO	Fleet post office <br>
FPOC	focal point operations center <br>
FPS	force protection source <br>
FPTAS	flight path threat analysis simulation  <br>
FPTS	forward propagation by tropospheric scatter  <br>
FPWG	force protection working group <br>
FR	final report; frequency response <br>
FRA	Federal Railroad Administration (DOT) <br>
FRAG	fragmentation code  <br>
FRAGORD	fragmentary order  <br>
FRC	federal resource coordinator; forward resuscitative care <br>
FRD	formerly restricted data <br>
FREQ	frequency   <br>
FRERP	Federal Radiological Emergency Response Plan  <br>
FRF	fragment retention film <br>
FRMAC	Federal Radiological Monitoring and Assessment Center (DOE)   <br>
FRN	force requirement number <br>
FROG	free rocket over ground <br>
FRP	Federal response plan (USG) <br>
FRRS	frequency resource record system <br>
FS	fighter squadron; file separator; file server; flare single-unit  <br>
FSA	fire support area <br>
FSB	fire support base; forward staging base; forward support base; forward support battalion <br>
FSC	fire support cell; fire support coordinator <br>
FSCC	fire support coordination center <br>
FSCL	fire support coordination line <br>
FSCM	fire support coordination measure <br>
FSCOORD	fire support coordinator <br>
FSE	fire support element <br>
FSEM	fire support execution matrix <br>
FSK	frequency shift key <br>
FSN	foreign service national <br>
FSO	fire support officer; flight safety officer; foreign service officer <br>
FSS	fast sealift ships; fire support station; flight service station <br>
FSSG	force service support group (USMC)  <br>
FSST	forward space support to theater  <br>
FST	fleet surgical team <br>
FSU	former Soviet Union; forward support unit <br>
FSW	feet of seawater <br>
FTC	Federal Trade Commission <br>
FTCA	Foreign Tort Claims Act <br>
FTP	file transfer protocol <br>
FTRG	fleet tactical readiness group <br>
FTS	Federal Telecommunications System; Federal telephone service; file transfer service <br>
FTU	field training unit; freight terminal unit <br>
FTX	field training exercise <br>
FUAC	functional area code <br>
FUNCPLAN	functional plan  <br>
FVT	Force Validation Tool <br>
FW	fighter wing; weather correction factor  <br>
FWD	forward   <br>
FWDA	friendly weapon danger area <br>
FWF	former warring factions <br>
FY	fiscal year  <br>
FYDP	Future Years Defense Program <br>
Ff	fatigue correction factor <br>
Fv	aircraft speed correction factor <br>
G-1	Army or Marine Corps component manpower or personnel staff officer (Army division or higher staff, Marine Corps brigade or higher<br>
G-2	Army or Marine Corps component intelligence staff officer (Army division or higher staff, Marine Corps brigade or higher staff) <br>
G-3	Army or Marine Corps component operations staff officer (Army division or higher staff, Marine Corps brigade or higher staff) <br>
G-4	Army or Marine Corps component logistics staff officer (Army division or higher staff, Marine Corps brigade or higher staff); Assistant<br>
G-6	Army or Marine Corps component command, control, communications, and computer systems staff officer       <br>
G-7	information operations staff officer (ARFOR)  <br>
G/A	ground to air <br>
G/VLLD	ground/vehicle laser locator designator <br>
GA	Tabun, a nerve agent <br>
GAA	general agency agreement; geospatial intelligence assessment activity   <br>
GAMSS	Global Air Mobility Support System  <br>
GAO	General Accounting Office <br>
GAR	gateway access request <br>
GARS	Global Area Reference System <br>
GATB	guidance, apportionment, and targeting board  <br>
GATES	Global Air Transportation Execution System  <br>
GB	group buffer; Sarin, a nerve agent <br>
GBL	government bill of lading <br>
GBR	ground-based radar  <br>
GBS	Global Broadcast Service; Global Broadcast System <br>
GBU	guided bomb unit <br>
GC	general counsel; Geneva Convention; Geneva Convention Relative to the Protection of Civilian Persons in Time of War   <br>
GC3A	global command, control, and communications assessment <br>
GC4A	global command, control, communications, and computer assessment   <br>
GCA	ground controlled approach <br>
GCC	geographic combatant commander; global contingency construction <br>
GCCS	Global Command and Control System  <br>
GCCS-A	Global Command and Control System-Army  <br>
GCCS-I3	Global Command and Control System Integrated Imagery and Intelligence <br>
GCCS-J	Global Command and Control System-Joint  <br>
