##name	International Relations and Security Acronyms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/07/01, 19:57
##author	Hans Johnsson
##email	Oblomov@home.se
##description	Acronyms on International Relations and Security <BR>Sources amongst others: <BR>NATO Handbook: Appendix 7  - Abbreviations in Common Use
##browsingEnabled	
##bgl_creationTime	2001/05/14, 15:49
247B1810.bmp	File: 247B1810.bmp
BOE	Bureau of Explosives
BOG	Beach Operations Group
BOI	Basis of Issue; Break of Inspection
BOIP	Basis of Issue Plan
BOL	Bill of Labor
BOLERO	World War II (1942) plan for offensive operations against Germany on the European mainland and for the build-up of US forces and supplies in the United Kingdom for the cross-Channel attack
BOM	Bill of Materials, Multiple Rack Target Drone Missile
bomb/nav	bombing/navigation<BR><A href='http://www.periscope.ucg.com/terms/t0000078.html'> </A><BR>
BONN	Gulf War VII Corps objective (1st Armored Division)
BOP	Balance of Payments
BOSS	Buy Our Spares Smart; Barking Sands Operational Support System
BOSTON	World War II Southwest Pacific Area of Operations plan to occupy and construct an airfield in the Abau-Mullins Harbor region of New Guinea
BP	Budget Project
BPA	Battery Power Assembly
BPCT	Best practical control technology
BPDMS	Basic Point Defense Missile System (Sea Sparrow)
BPDS	Basic Point Defense System
BPDSMS	Basic Point Defense Surface Missile System
BPG	Beach Party Group
BPI	Bits Per Inch
BPK	BOL'SHOY PROTIVOLODOCHNYY KORABL'
BPL	Basic priority List
BPN	Budget Project Number
BPRN	Blinking Pseudo-Random Noise
BPS	Bytes Per Second
BPU	Barometric Pressure Unit
BRA	Bench Replacement Assembly
BRAGG	Gulf War code name for an XVIII Airborne Corps area of operations
BRAM	Bysolor Random Access Memory
BRAS	Bench Replaceable Assemblies
BRASC	Branch Aviation Supply Office
BRASS	Gulf War name for 1st (United Kingdom) Armoured Division objective
BRASSARD	World War II plan for operations against the island of Elba
BRCT	Base Repair Cycle Time
BREASTPLATE	World War II plan (cancelled) for a seaborne attack from Malta against Sousse
BREWER	World War II plan for operations in the Admiralty Islands
Brig	Brigade
BRIMSTONE	World War II plan (canceled) for the capture of Sardinia
BRM	Budget Renovation Model
BRN	Burn-In-Test
BROADWAY	World War II code name for a drop site about fifty miles northwest of Indaw, Burma, used to resupply the Chindits
BROWN	Gulf War code name for an XVIII Airborne Corps objective
BRP	Blue Ribbon Panel
BRU	Bomb Release Unit, or Bomb Rack Unit
BSA	Base Support Area
BSFV	Bradley Stinger Fighting Vehicle
BSSG	Brigade Service Support Group
BSTF	Base Shop Test Facilities
BSTR	Booster
BSTS	Boost Surveillance and Tracking System;, Base-Shop Test Station
BT	Bathythermograph
BTA	Best Technical Approach
BTD	Bulletin Technical Directive
BTI	Balanced Technology Initiative
BTU	British Thermal Unit
BTV	Blast Test Vehicle
BTWC	Biological and Toxin Weapons Convention
Bty/Btry	Battery<BR><BR>
BUCCANEER	World War II plan (cancelled) for the amphibious capture of the Andaman Islands
BUCKSHOT 16	Korean War operation by the Republic of Korea 11th Division, Republic of Korea I Corps, to take North Korean prisoners
BUFF	Big Ugly Fat Fellow (slang for B-52)
BUFFALO	World War II operation to break out of the Anzio beachhead
BULA BULA	Direct Hit
BUMED	Bureau of Medicine and Surgery
BUMP	Gulf War Forward Assembly Area used by Aviation Brigade, 1st Armored Division
BUNO	Bureau Number, or Aircraft Serial Number
BUPERS	Bureau of Personnel
BUTTRESS	World War II British operation (cancelled) against the toe of the Italian peninsula involving landings at Goija staged from North Africa
BUWEPS	Bureau of Weapons
BVR	Beyond Visual Range
BW	Bandwidth
BWAR	Budget-Workload Analysis and Report
BWC	Biological Weapons Command
By	Wire
BYPRODUCT	World War II code name for Trobriand Islands (not an actual operation)
BZ	(Bravo/Zulu) Well Done; Good Job <BR> <BR>Alternatively: <BR> <BR>3-quinuclidinyl benzilate (BZ) <BR>Chemical warfare agent (depressant) <BR> <BR>BZ and its analogues are glycollic acid esters. Some members of the group are liquid at ambient temperatures but BZ is a stable white crystalline powder that is only slightly soluble in water. After administration of an effective dose by inhalation by mouth or by injection mild peripheral effects of BZ occur within 1 hour and maximal central effects occur after about 4 hours lasting 24 to 48 hours, with a peak at 8 to 10 hours. Some other compounds in this group may take longer for their effects to develop and to disappear. Doubling the dose prolongs the duration of severe central effects by about 40 hours and shortens the onset time of severe effects to about 1 hour. <BR> <BR><B>Depressants</B> produce their effects by interfering with transmission of information across central synapses. An example of this type of agent is 3-quinuclidinyl benzilate (BZ), which blocks the muscarinic action of acetylcholine both peripherally and centrally. In the central nervous system anticholinergic compounds disrupt the high integrative functions of memory, problem solving, attention and comprehension. Relatively high doses produce toxic delirium which destroys the ability to perform any military task. <BR> <BR> <BR><B>Protection</B>It is likely that such agents will be dispersed by smoke-producing munitions or aerosols, using the respiratory tract as a portal of entry. The use of the protective mask, therefore, is essential. With some agents the percutaneous route may be used and full individual protective equipment will be required. <BR>
C	DAY</B>- The unnamed day on which a deployment operation commences or it is to commence
C-130|C130	Hercules intratheater transport aircraft
C-17|C17	Globemaster III heavy-cargo transport aircraft
C-5|C5	Galaxy heavy-cargo transport aircraft
C-E	Communications-Electronics
C/A	Course/Acquisition
C/MH	Cost Per Man-hour
C2	Command and Control
C3	Command, Control, and Communications
C3BM	C3 for Battle Management
C3CM	C3 Countermeasures
C3I	C3 and Intelligence
C4I2	C3, Computers, Intelligence, and Interoperability
CA	Criticality Analysis; California; Contract Award
CAA	Clean Air Act
CAAIS	Computer-Assisted Action Information System
CAAS	Contracted Advisory and Assistance Services
CAB	Cost Analysis Brief; Contract Adjustment Board
CAC	Computer Aided Classification (Mine clearance)
CACO	Corporate Administrative Contracting Officer; Casualty Assistance Calls Officer
CACS	Computer Assisted Command System (British)
CACTUS	World War II operation to capture Guadalcanal (a sub-task of <A href='bword://WATCHTOWER'>WATCHTOWER</A>)
CAD	Computer Assisted Design
CADC	Central Air Data Computer
CADESS	Computer-Aided Data Exchange Standards/Specification
CADMSS	Configuration Automated Data Management Support System
CADS	Computer Aided Design System
CAE	Computer-Aided Engineering; Control Area Extension
CAEDOS	Computer-Aided Engineering and Documentation System
CAFIT	Computer-Aided Fault Isolation Testability
CAFSU	Carrier and Field.Service Unit
CAG	Catapult and Arresting Gear; Carrier Air Group
CAGE	Commercial And Government Entity (Replaces FSCM)
CAGEL	Combined Aerospace Ground Equipment List
CAI	Computer Aided Instruction
CAIG	Cost Analysis Improvement Group
CAIMS	Conventional Ammunition Integrated Management System
CAINS	Carrier Aircraft Inertial Navigation System
cal	caliber<BR><A href='http://www.periscope.ucg.com/terms/t0000084.html'> </A><BR>
CALA	Combat Aircraft Loading Area
CALMMS	Computerized Air Launched Missile Management System
CALMS	Computer Aided Logistics Management Systems
CALMSS	Conventional Ammunition Logistics Management Support System
CALS	Continuous Acquisition and Life Cycle Support
CALSA	Computer-Aided Logistic Support Analysis
CAM	Computer-Aided Manufacturing; Crisis Action Module
CAMEL	Critical Aeronautical Material Equipment List
CAMI	Continued Action Maintenance Instruction
CAMPEN	Camp Pendleton Marine Base
CAMS	Central Air Monitoring System; Core Automated Maintenance System
CAMSEE	Carrier Aircraft Maintenance/Supply Effectiveness Evaluation
CAN	Canister
CANN	Cannibalization
CANTRAC	Catalog of Navy Training Courses
CAO	Contracts Administration Office; Collateral Action Office
CAOC	Combine Air Operation Center
CAP	Combat Air-patrol; Civil Air-patrol; Contract Administration Panel
CAP/CAN	Capsule/Container; Capsule/Canister
CAPC	Civil Aviation Planning Committee
CAPITAL	World War II plan for the attack across the Chindwin River to Mandalay
CAPP	Computer Aided Production Planning
CAPRI	World War II plan for an attack against Médenine
CAPS	CINCPACFLT Automated Priority System
CAPTOR	encapsulated torpedo (mine)
CAR	Configuration Audit Review; Corrective Action Request
CARBONADO	World War II plan to open a port on the coast of China (revised BETA)
CARDS	Catalog of Approved Requirements Documents
CARMISH	Commander, Army Mission
CARPETBAGGER	World War II operation to airdrop supplies from the United Kingdom to patriot forces in western Europe
CART	Central Automated Replenishment Technique
CARTWHEEL	World War II operations to capture the Solomon Islands, New Britain, and New Ireland involving convergent operations from the South Pacific and Southwest Pacific Areas of Operations targeted against Rabaul
CAS	Close Air Support
CASANOVA	World War II diversionary operation by the 95th Infantry Division during operations against Metz
CASCA	Casualty Cancelled
CASCOR	Casualty Corrected
CASEE	Comprehensive Aircraft Support Effectiveness Evaluation
CASO	Contract Administration Services Office
CASP	Centralized Ammunition Stock Point
CASPER	Computer-Aided Spares Evaluation and Reporting
CASREP	Casualty Report
CASS	Command Active Sonobuoy System; Consolidated Automated Support System
CASTOR	Corps Airborne Stand-Off Radar
Cat	Catapult
CAT I QDR	Category I Quality Deficiency Report
CAT II QDR	Category II Quality Deficiency Report
CATCC	Carrier Air Traffic Control Center
CATCHPOLE	World War II plan for operations against the Eniwetok and Ujelang Atolls in the Marshall Islands
CATEN	Correlated Angle Threshold Enable
CATF	Commander Amphibious Task Force
CATIES	Combined Arms Training Integrated Evaluation System
CATIS	Computer Aided Technical Information System
CATM	Captive Air Training Missile
CATOT	CAT on Target
CATT	Combined Arms Tactical Trainer
CAU	Customer Assist Unit
CAUSEWAY	World War II operation plan (August 1944) to capture Formosa which was not executed
CAV	Common Aero Vehicle <BR>.<BR>The Common Aero Vehicle (CAV) is a munitions delivery system integrated with a low-cost, operationally responsive, rocket booster. Essentially, CAV is an <B>unpowered</B>, maneuverable, <B>hypersonic glide vehicle</B> capable of carrying approximately 1,000 pounds in munitions or other payload. This concept has been studied since the mid-nineties and conceptual designs utilizing existing technologies have been developed<BR>that offer substantial capability.<BR>(information from <A href='bword://DARPA'>DARPA</A> ) <BR>.<BR>Cavalry Fighting Vehicle
CAV-DS	Common Aero Vehicle Demonstration Systems
CAV-OS	Common Aero Vehicle Operational System<BR>
CAVU	Ceiling and Visibility Unlimited
CAX	Computer Assisted Exercise (UE 98/2)
CB	Citizen's Band
CBC	Cipher Block Chaining; Construction Battalion Center
CBD	Commerce Business Daily (a Government publication)
CBEMA	Computer and Business Computer Manufacturers Association
CBI	Computer Based Instruction
CBIL	Common (and) Bulk Items List
CBL	Commercial Bill of Lading; Conceptual Base Line; Central Bedders List
CBM	Confidence Building Measure
CBO	Congressional Budget Office
CBR	Chemical, Biological, and Radiological (warfare)
CBRN	Chemical, Biological, Radiological and Nuclear [agents]
CBRS	Concept Based Requirements System
CBS	Cost Breakdown Structure
CBT	Computer-Based Training
CBU	Cluster Bomb Unit
CBW	Chemical Biological Warfare
CBX	Copilot Control Box
CC	Consumable Code
CCA	Common Country Assessments (CCAs) involves all <A href='bword://UN'>UN</A> Funds and Programmes in a particular country in identifying trends related to national development goals and suggest strategic issues to be considered for the <A href='bword://UNDAF'>UNDAF</A>. The CCA will identify the roles which each UN agency will play with regard to trends and challenges identified.<BR>
CCB	Change Control Board; Configuration Control Board; Cognizant Controlling Custodian
CCBD	Configuration Control Board Directive
CCC	Change Control Center; Center Computer Complex
CCCB	Component Configuration Control Board
CCD	Charge Coupled Device; Computer Controlled Display
CCDD	Charged-coupled Device Detectors
CCEU	Component Control Expeditor Unit
CCF	Configuration Control Form; Component Characteristics File
CCIS	Command and Control Infromation System
CCITT	Consultative Committee on International Telegraphy Telephony
CCIU	Component Control Issue Unit
CCM	Counter-Countermeasure; Completed Controlling Method
CCMP	Computer Centralization and Modernization Program
CCMS	Committee on the Challenges of Modern Society
CCN	Contract Change Notice
CCO	Contract Change Order
CCP	Contract Change Proposal; Consolidated Cryptologic Program; Computer Connector Panel
CCPC	Civil Communications Planning Committee
CCPO	Consolidated Civilian Personnel Office
CCR	Component Characteristics (Record Card) (Register); Critically Constrained Resources
CCRP	Captive Carry Reliability Program
CCRV	Captive Carry Reliability Vehicle
CCS	Component control Section; Control and Computation Subsystem; Command and Control System; Central Control System
CCSR	Contract Change Status Report
CCSS	Commodity, Command Standard System (Army)
CCST	Control Sector Tester; Classroom Systems Trainer
CCT	Center Channel Track
CCTR	Captive Carry Training Round
CCTT	Close Combat Tactical Training
CCTV	Closed Circuit Television
CCU	Component Control Unit; Cockpit Control Unit, Cartridge Unit, Actuator Cartridge
CD	Collateral Duty; Compact Disk; Change Directive; Classification of Defects; Contract Definition
CDA	Command and Data Acquisition, Central Design Inspector
CDB	Control Distribution Box
CDC	Combat Direction Center; Control Data Corporation
CDCA	Central Data Collection Agency
CDE	Concept Development and Experimentation
CDF	Controlled Detonating Fuze
CDI	Collateral Duty Inspector; Conventional Defense Improvements
CDIP	Combined Defense Improvement Projects
CDM	Configuration Data Manager
CDMS	Contract Data Management System
CDN	Central Design Agent
CDO	Command Duty Officer
CDP	Course Data Processing
CDQAR	Collateral Duty Quality Assurance Representative
CDR	Commander; Critical Design Review
CDRL	Contract Data Requirements List
CDRS	Container Design Retrieval System
CDS	Console Display Subsystem; Centralized Data System (F-16), Countermeasures Dispensing Set; Container Delivery System
CDT	Contract Development Test; Command Destruct Transmitter
CDU	Control and Display Unit
CE	Concept Exploration; Conducted Emissions; Cost Effective; Critical Examination; Command Element
CEAT	Computer-Based Aid for Troubleshooting
CEB	CNO Executive Board
CEC	Cooperative Engagement Capability
CECOM	Communications Electronics Command
CECR	Change Evaluation Requirements Board
CEE	Central and Eastern Europe
CEI	Contract End Item
CEIL	Controlled Equipage Item List
CEIN	Contract End Item Number
CELV	Complementary Expendable Launch Vehicle
CEM	Combined Effects Munitions
CENO	Central Nomis Office
CENT	World War II code name for the beaches at Scoglitti, Sicily
CENTAG	Central Army Group, Central Europe
CENTCOM	Central Command
CENTO	Central Treaty Organization
CEO	Congressional Budget office
CEOA	Central Europe Operating Agency
CEP	Circular Error Probable<BR> <BR>Civil Emergency Planning
CEPA	Common European Priority Areas (Technology domains under WEAG panel II)
CEPMO(A)|CEPMO	Central Europe Pipeline Management Organisation (Agency)
CEPS	Central Europe Pipeline System
CEQ	Council on Environmental Quality
CER	Cost Estimating Relationship; Complete Engine Repair
CERCLA	Comprehensive Environmental Response, Compensation and Liability Act
CERR/SCC	Complete Engine Repair Requirements /Sequence.control Chart/Card
CERRC	Complete Engine Repair Requirements Cards
CERT	Combined Environmental Reliability Test
CES	Contractor Evaluation System
CESE	Civil Engineering Support Equipment
CEST	Classroom EOD System Trainer
CET	Combat enhancement Training
CETM	Captive Exercise Training Missile
CETR	CDRL External Tracking Report
CETS	Contractor Engineering and Technical Services (Personnel)
CEU	Continuing Education Unit
CEWI	Combat Electronic Warfare and Intelligence
CF	Captive Flight; Concept Formulation
CFA	Central Fiscal Authority (in Kosovo)
CFAE	Contractor Furnished Aerospace/Aeronautical Equipment
CFAR	Constant False Alarm Rate
CFC	Chlorofluorocarbons
CFE	Conventional Forces in Europe
CFI	Cavalry Fighting Vehicle (Bradley)
CFIUS	Committee on Foreign Investment in the U.S.
CFM	Contractor Furnished Material
CFP	Contractor Furnished Property; Concept Formulation Package
CFR	Code of Federal Regulation; Crash, Fire and Rescue
CFS	Coolant Flush Station; Contract or Field Services Personnel; Contract or Field Services; Contractor Field Service
CFSE	Contractor Furnished Support Equipment
CFSP	Common Foreign and Security Policy
CFSR	Contract Funds Status Report
CFSS	Contractor Field Support Services
CFST	Contaminated fuel settling tank
CFT	Conformal Fuel Tank
CFY	Current Fiscal Year
CG	Guided Missile Cruiser; Cruiser, Guided Missile; Center of Gravity; Commanding General; Coast Guard
CGA	Compressed Gas Association
CGAS	Coast Guard Air Station
CGC	Coast Guard Cutter (normally USCGC)
CGD	Coast Guard District
CGFMF	Commanding General, Fleet Marine Force
CGFMFLANT	Commanding General, Fleet Marine Force, Atlantic
CGFMFPAC	Commanding General, Fleet Marine Force, Pacific
CGI	Computer-Generated Imagery
CGL	Command Guidance Link
CGLVP	Command Guidance Link Video Pulse
CGM	Computer Graphics Metafile
CGMARBDE	Commanding General, Marine Brigade
CGMAW	Commanding General, Marine Aircraft Wing
CGN	Cruiser, Guided Missile, Nuclear (USN)
CGS	Common Ground Station
CGSE	Common Ground Support Equipment
CGSEL	Common/Consolidated Ground Support Equipment List
CH,	Ch. Nav Builder, shipyard (Chantier, Chantier Naval)<BR><A href='http://www.periscope.ucg.com/terms/t0000085.html'> </A><BR>
CHAMPION	World War II plan (late 1943) for a general offensive in Burma
CHAMPION MAIN	Code name for the Headquarters of the 82d Airborne Division in the Eastern Province of Saudi Arabia during <A href='bword://DESERT SHIELD'>DESERT SHIELD</A>
CHAMPUS	Civilian Health and Medical Program of the Uniformed Service<BR><A href='http://www.periscope.ucg.com/terms/t0000086.html'> </A><BR>
CHANCOM	Channel Committee
CHARGER	Gulf War code name for an XVIII Airborne Corps phase line
CHATTANOOGA CHOO CHOO	World War II AEAF operations against German train movements in France and Germany
CHD	Cargo Handling Detachment
CHERRY	Gulf War code name for a VII Corps phase line
CHESTNUT	World War II code name for four airborne missions sent by Montgomery in an effort to reinforce his army in Sicily with airborne troops
CHIL	Consolidated Hazardous Items List
CHINFO	Chief of Information
CHNAVMAT	Chief of Naval Material
CHOP	Change Operational Control
CHOPSTICK 16	Korean War plan for a two-division attack to drive the Communists from the area east and south of the Nam River
CHOPSTICK 6	Korean War plan for the envelopment of the high ground south of P'yong-gang by a reinforced Republic of Korea division
CHROMITE	Korean War (September 1950) landing at Inch'on
CHRONICLE	World War II operation to capture Woodlark Island and Kiriwina
CHT	Common Hand Tool; Collection, holding and transfer
CI	Configuration Item; Control Indicator; Counter Insurgency; Contractor Inquiry
CIA	Central Intelligence Agency
CIAC	Career Information and Counseling
CIB	Command Information Bureau
CIC	Combat Information Center
CICA	Competition in Contracting Act
CID	Component Identification Document; Change in Design, Commercial Item Description
CIFS	Close in Fire Support
CII	Configuration Item Index or Identification
CIL	Configuration Identification List; Cargo Load Allowance
CILOP	Conversion-In-Lieu Of Procurement (USN)
CIM	Computer-Integrated Manufacturing; Corporate Information Management
CIMIC	Civil-Military Cooperation
CIMM	Commodity Integrated Material Manager
CIN	Change or Configuration Identification Number; Course Identification Number
CINC	Commander-in-Chief
CINCEASTLANT	Commander-in-Chief Eastern Atlantic Area
CINCENT	Commander-in-Chief Allied Forces Central Europe
CINCHAN	Allied Commander-in-Chief Channel (position dissolved 1994)
CINCIBERLANT	Commander-in-Chief Iberian Atlantic Area
CINCLANTFLT	Commander-In-Charge U.S. Atlantic Fleet
CINCNORTH	Commander-in-Chief Allied Forces Northern Europe
CINCPACFLT	Commander-In-Charge U.S. Pacific Fleet
CINCs	Commanders-in-chief of unified and specified commands
CINCSOUTH	Commander-in-Chief Allied Forces Southern Europe
CINCUKAIR	Commander-in-Chief United Kingdom Airforces
CINCUSNAVEUR	Commander-in-Chief US Naval Forces Europe
CINCWESTLANT	Commander-in-Chief Western Atlantic Area
CIO	Chief Information Officer
CIP	Class Improvement Plan; Cost Improvement Proposal
CIPL	CI Parts List
CIR	Cost Information Reports; Change Incorporation Record
CIRS	Combat Information Retrieval System
CIS	Combat Identification System
CITADEL	Ground convoy task force of the 1st Brigade, 101st Airborne Division, that opened a main supply route to Forward Operating Base COBRA on 24 February 1991 during <A href='bword://DESERT STORM'>DESERT STORM</A>
CITIS	Contractor Integrated Technical Information System, Central Integrated Test System (3-12)
CITR	CDRL Internal Tracking
CITS	Commercial Industrial Type Activity
CIU	Control Interface Unit<BR><A href='http://www.periscope.ucg.com/terms/t0000087.html'> </A><BR>
CIVIC	Aircraft Carrier Information Center
CIVPOL	UNMIK International Civilian Police
CIVR	Configuration Item Verification Review
CIWS	Close-in weapon system
CJCIMIC	Combined/Joint Civil-Military Cooperation
CJICTF	Combined Joint Information Campaign Task Force (SFOR)
CJIICTF	Combined Joint IFOR Information Campaign Task Force
CJTF	Combined Joint Task Force
CL	CENTER Line; Car Load
CLAM-UP	Korean War operation to delude the Communists by imposing silence along the front lines 10-15 February 1952
CLAMP	Closed Loop Aeronautical Management Program
CLASS	Comprehensive Logistics Analysis Support System
CLC	Command Launch Computer
CLE	Commodity Logistics Engineer
CLEANSLATE	World War II operation to occupy the Russell Islands
CLF	Combat Logistics Force; Commander Landing Force
CLGP	Cannon-Launched Guided Projectile (now Copperhead)
CLI	Contract Line Item
CLIFS	Coordination, Life, Interchangeability, Function and Safety
CLIN	Contract Line Item Number
CLIPPER	World War II British 30 Corps offensive to reduce the Geilenkirchen salient
CLL	Consolidated Load List
CLM	Council of Logistics Management
CLOS	Command to Line Of Sight<BR><A href='http://www.periscope.ucg.com/terms/t0000089.html'> </A><BR>
CLS	Contractor Logistics Support
CLSA	Cooperative Logistics Support Arrangements
CM	Configuration Management; Corrective Maintenance
CMA	Configuration Management Agent;<B> </B>Central Magazine Area
CMADS	Camel-mounted Air-Defense System
CMAS	Computer-Based Maintenance Aid System (AF)
CMB	Configuration Management Bulletin
CMBL	Commercial Bill of Lading
CMC	Commandant of the Marine Corps, Headquarters
CMCO	Classified Material Control Officer
CMCRL	Consolidated Master Cross-Reference List
CMD	Configuration Management Directive; Catalog Management Data
CMEP	Class Maintenance Employment Profile
CMM	Contractor Monitoring Module; Configuration Management Manager
CMMH	Cannibalization Per Maintenance Man-Hour
CMO	Configuration Management Office
CMOML	Consumable Maintenance and Overhaul Material List
CMOS	Complementary Metal-oxide Semiconductor
CMP	Configuration Management Plan; CASS MTS Program; Class Maintenance Plan
CMPF	Commander Maritime Prepositioning Force
CMRI	Combined Maintenance Removal Interval
CMRS	Countermeasures Receiver Set
CMS	Contractor Maintenance Services; Consumable Material Section, Crypto Materials Security; Communications Material Security Systems; Combat Maintenance System
CMT	Change Management Team
CMTF	Civil-Military Task Force
CMX	Crises Management Exercise
CN,	Cant. Nav. Naval Shipyard (Cantiere Navale)
CNA	Center for Naval Analyses
CNAD	Conference of National Armaments Directors
CNAL	Commander Naval Air Force US Atlantic Fleet
CNAP	Commander Naval Air Force US Pacific Fleet
CNARES	Chief Naval Air Reserves
CNARF	Commander Naval Air Reserve Force
CNAT	Chief of Naval Air Training
CNATECHTRA	Chief, Naval Air Technical Training
CNATRA	Commander/Chief Naval Air Training
CNATRAINST	Commander, Naval Air Training Instruction
CNAVRES	Chief of Naval Reserve
CNAVRESINST	Commander, Naval Reserve Instruction
CNBATRA	Chief, Naval Air Basic Training
CNC	Central Navigation Computer; Change Notice Code
CND	Charge Number Document, Chief of Naval Development
CNET	Chief of Naval Education and Training
CNI	Command, Navigation and Information
CNM	Chief of Naval Material (CHNAVMAT)
CNO	Chief of Naval Operations
CNP	Control/Navigation Processor; Chief of Naval Personnel
CNR	Chief of Naval Research
CNS	Committee for National Security
CNSE	Commander Navy Support Element
CNTECHTRA	Chief of Naval Technical Training
CNTNR	Container
CNTRL	Control Section
CNU	Container, Miscellaneous, Unit
Co	Company
COB	Close of Business; Collocated Operating Base
COBALT	Gulf War name for 1st (United Kingdom) Armoured Division objective
COBOL	Common Business Oriented Language
COBRA	World War II plan for the First Army's operation designed to penetrate the German defenses west of St. Lô and secure Coutances, France
COBRA (FOB)|COBRA	Forward Operating Base (FOB) of the 101st Airborne Division in Iraq secured by deep air assault on 24 February 1991 during <A href='bword://DESERT STORM'>DESERT STORM</A>
COC	Certificate of Competency
COCO	Contractor Owned-Contractor Operated
COCOM	Coordinating Committee for Multilateral Export Controls
COD	Correction of Deficiency; Carrier Onboard Delivery, Cash on Delivery
CODAG	Combined Diesel And Gas turbine (propulsion)
CODLAG	Combined Diesel-Electric And Gas turbine
CODOG	Combined Diesel Or Gas turbine (propulsion)
CODSIA	Council of Defense and Space Industries Association
CoE	<B>The Council of Europe </B> <BR><B> <BR>Origins and membership</B>The Council of Europe is the continent's oldest political organisation, founded in 1949. It:· groups together 43 countries, including 19 ex-communist countries (see paragraph on "the pan-European dimension"), · has applications from 3 more countries, · has granted observer status to 5 more countries (the Holy See, the United States, Canada, Japan and Mexico), · is distinct from the 15-nation European Union, but no country has ever joined the Union without first belonging to the Council of Europe, · has its headquarters in Strasbourg, in north-eastern France. <B>Aims</B>The Council was set up to:· defend human rights, parliamentary democracy and the rule of law, · develop continent-wide agreements to standardise member countries' social and legal practices, · promote awareness of a European identity based on shared values and cutting across different cultures. Since 1989, its main job has become:· acting as a political anchor and human rights watchdog for Europe's post-communist democracies, · assisting the countries of central and eastern Europe in carrying out and consolidating political, legal and constitutional reform in parallel with economic reform, · providing know-how in areas such as human rights, local democracy, education, culture and the environment. <B>Political aims</B>The Council of Europe's Vienna Summit in October 1993 set out new political aims. The Heads of State and Government cast the Council of Europe as the guardian of democratic security - founded on human rights, democracy and the rule of law. Democratic security is an essential complement to military security, and is a pre-requisite for the continent's stability and peace.During the Second Summit in Strasbourg in October 1997, the Heads of State and Government adopted an action plan to strengthen the Council of Europe's work in four areas: democracy and human rights, social cohesion, the security of citizens and democratic values and cultural diversity.Today, the Organisation continues to grow while at the same time increasing its monitoring to ensure that all its members respect the obligations and commitments they entered into when they joined.<B>How it works</B>The main component parts of the Council of Europe are:· the <B>Committee of Ministers</B>, composed of the 43 foreign ministers or their Strasbourg-based deputies (ambassadors/permanent representatives), which is the Organisation's decision-making body. It is currently chaired by Liechtenstein. · the <B>Parliamentary Assembly</B>, grouping 602 members (301 representatives and 301 substitutes) from the 43 national parliaments and Special Guest delegations from the two parliaments of east European non-member states. The current President is the Austrian Socialist Peter Schieder. · the <B>Congress of Local and Regional Authorities</B>, composed of a Chamber of Local Authorities and a Chamber of Regions. Its current President is Llibert Cuatrecasas of Spain. · the 1300-strong secretariat headed since 1999 by Secretary General Walter Schwimmer (Austria) former Vice-President of the parliamentary Assembly and former President of the Group of the European's people party.  <BR>Homepage: <A href='http://www.coe.int/'>http://www.coe.int/</A> <BR> <BR> <BR>Alternatives: <BR>Corps of engineers; <BR>Certification of Equivalency; <BR>Center Of Excellence <BR>
COEA	Cost and Economic Analysis
COEIL	Component of End Item List
COFT	Conduct-of-Fire Trainer
COG	Cognizant; Cognizance; Cognizance Symbol; Center of Gravity
COGAG	Combined Gas turbine And Gas turbine (propulsion)
COGB	Certified Official Government Business
COGSEL	Consolidated Ground Support Equipment List
COH	Complex Overhaul
COHORT	Cohesion, Operational Readiness, and Training
COI	Critical Operational Issues; Course of Instruction
COIN	Counterinsurgency
COISEC	Concept of Ops for Intel Support to Electronic Combat<BR><A href='http://www.periscope.ucg.com/terms/t0000091.html'> </A><BR>
COL	Computer Oriented Language
COLDS	Common Optical-Electronic Laser Depletion System
COLLINS	Gulf War code name for a VII Corps objective
COLORADO	Gulf War code name for a VII Corps phase line
COLSP	Consolidated Operational Logistic Support Plan
COLTS	CASS O-Level Test Set
COM	Computer Output Microfilm; Common
COMARRC	Commander of the ACE Rapid Reaction Corps
COMCARGRU	Commander Carrier Group
COMCJI(I)CTF	Commander of the CJI(I)CTF
COMCRUDESGRU	Commander Cruiser Destroyer Group
Comd	Command
COMDESRCN	Commander Destroyer Squadron
Comdt	Commandant
COMEDS	Committee of the Chiefs of Military Medical Services in NATO
COMFAIR	Commander Fleet Air
COMFAIRWESTPAC	Commander Fleet Air Western Pacific Detachment PAC DET
COMFEWSG	Commander, Fleet Electronic Warfare Support Group
COMFITAEWWINGPAC	Commander Fighter Air Early Warning Wing Pacific
COMFLEACTS/CFA	Commander Fleet Activities
COMFLETRAGRU	Commander, Fleet Training Group
COMIFOR	Commander of the Implementation Forces
COMINEDIV	Commander, Mine Division
COMINEWARCOM	Commander, Mine Warfare Command
COMINT	Communications Intelligence
COMLOG	Communications Log
COMLOGRU	Commander Logistics Group
COMLOGWESTPAC	Commander Logistics Forces Western Pacific
COMM	</B>Communications
COMMANDO	Korean War plan for an offensive to establish the <A href='bword://JAMESTOWN'>JAMESTOWN</A> line
