##name	Terms and Definitions
##sourceLang	English
##targetLang	English
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Office of Rare Diseases
##description	Terms and definitions related to rare diseases.
##bgl_creationTime	2000/06/07, 06:51
Sanger sequence	"Plus and minus" or "primed synthesis" method; DNA is synthesized so it is radioactively labeled and the reaction terminates specifically at the position corresponding to a given base.
Sarcoma	A type of cancer that starts in the bone or muscle.
SBIR	Small Business Innovation Research
SCC	Scientific Coordinating Committee
Screening	Looking for evidence of a particular disease such as cancer in persons with no symptoms of disease. Checking for disease when there are no symptoms.
Selection	The process of determining the relative share allotted individuals of different genotypes in the propagation of a population; the selective effect of a gene can be defined by the probability that carriers of the gene will reproduce.
Sequence tagged site (STS)|sequence-tagged-site|sts	Short (200 to 500 base pairs) DNA sequence that has a single occurrence in the human genome and whose location and base sequence are known. Detectable by polymerase chain reaction, STSs are useful for localizing and orienting the mapping and sequence data reported from many different laboratories and serve as landmarks on the developing physical map of the human genome. Expressed sequence tags (ESTs) are STSs derived from cDNAs.
Sequencing	Determination of the order of nucleotides (base sequences) in a DNA or RNA molecule or the order of amino acids in a protein.
Sex chromosomes	The chromosomes that determine the sex of an organism. Human females have two X chromosomes; males have one X and one Y.
Sex determination	The mechanism in a given species by which sex is determined; in many species sex is determined at fertilization by the nature of the sperm that fertilizes the egg.
Shotgun method	Cloning of DNA fragments randomly generated from a genome. See library, genomic library.
Side effects	Problems that occur when treatment affects healthy cells. Common side effects of cancer treatment are fatigue, nausea, vomiting, decreased blood cell counts, hair loss, and mouth sores.
Sigmoidoscopy (sig-moy-DOS-ko-pee)|sigmoidoscopy	A procedure in which a doctor looks inside the rectum and the lower part of the colon (sigmoid colon) through a lighted tube. The doctor may collect samples of tissue or cells for closer examination. Also called <I>proctosigmoidoscopy</I>.
Single-gene disorder	Hereditary disorder caused by a mutant allele of a single gene (e.g., Duchenne muscular dystrophy, retinoblastoma, sickle cell disease). Compare polygenic disorders.
Somatic cell hybrid	Hybrid cell line derived from two different species; contains a complete chromosomal complement of one species and a partial chromosomal complement of the other; human/hamster hybrids grow and divide, losing human chromosomes with each generation until they finally stabilize, the hybrid cell line established is then utilized to detect the presence of genes on the remaining human chromosome.
Somatic cells	All body cells except the reproductive cells.
Somatic mutation	A mutation occurring in any cell that is not destined to become a germ cell; if the mutant cell continues to divide, the individual will come to contain a patch of tissue of genotype different from the cells of the rest of the body.
Southern blotting	Transfer by absorption of DNA fragments separated in electrophoretic gels to membrane filters for detection of specific base sequences by radiolabeled complementary probes.
Sperm banking	Freezing sperm before cancer treatment for use in the future. This procedure can allow men to father children after loss of fertility.
Stage	The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body.
Stool	The waste matter discharged in a bowel movement; feces.
Surgery	An operation.
Syndrome	A recognizable pattern or group of multiple signs, symptoms or malformations that characterize a particular condition; syndromes are thought to arise from a common origin and result from more than one developmental error during fetal growth.
Systemic treatment (sis-TEM-ik)|systemic-treatment	Treatment that reaches cells all over the body by traveling through the bloodstream.
Tandem repeat sequences	Multiple copies of the same base sequence on a chromosome; used as a marker in physical mapping.
Technology transfer	The process of converting scientific findings from research laboratories into useful products by the commercial sector.
Telomere	The ends of chromosomes. These specialized structures are involved in the replication and stability of linear DNA molecules. See DNA replication.
Teratogens	Any agent that raises the incidence of congenital malformations.
Thymine (T)|t|thymine	A nitrogenous base, one member of the base pair A- T (adenine-thymine).
Tissue (TISH-oo)|tissue	A group or layer of cells that together perform a specific function.
Toxins	Poisons produced by certain animals, plants, or bacteria.
Trait	Any detectable phenotypic property of an organism.
Transcription	The process of copying information from DNA into new strands of messenger RNA (mRNA). The mRNA then carries this information to the cytoplasm, where it serves as the blueprint for the manufacture of a specific protein.
Transduction	The transfer of bacterial genetic material from one bacterium to another using a phage as a vector.
Transfer RNA (tRNA)|transfer-rna|trna	A class of RNA having structures with triplet nucleotide sequences that are complementary to the triplet nucleotide coding sequences of mRNA. The role of tRNAs in protein synthesis is to bond with amino acids and transfer them to the ribosomes, where proteins are assembled according to the genetic code carried by mRNA.
Transferase	Enzymes that catalyze the transfer of functional groups between donor and acceptor molecules.
Transformation	A process by which the genetic material carried by an individual cell is altered by incorporation of exogenous DNA into its genome.
Transgenic organism	One into which a cloned genetic material has been experimentally transferred, a subset of these foreign gene express themselves in their offspring.
Translation	The process of turning instructions from mRNA, base by base, into chains of amino acids that then fold into proteins. This process takes place in the cytoplasm, on structures called ribosomes.
Translocation	A chromosome aberration which results in a change in position of a chromosomal segment within the genome, but does not change the total number of genes present.
Triplet code	A code in which a given amino acid is specified by a set of three nucleotides.
Tumor	A mass of excess tissue.
Tumor markers	Substances found in abnormal amounts in the blood, in other body fluids, or in tumor tissue of some patients with certain types of cancer.
Tumor suppressor gene	Genes that normally restrain cell growth but, when missing or inactivated by mutation, allow cells to grow uncontrolled.
TWAS	Third World Academy of Sciences
Ultrasonography (ul-tra-son-OG-ra-fee)|ultrasonography	An exam in which sound waves are bounced off tissues and the echoes are converted into a picture <I>(sonogram)</I>.
Ultraviolet radiation (ul-tra-VI-o-let ray-dee-AY-shun)|ultraviolet-radiation	Invisible rays that are part of the energy that comes from the sun. Ultraviolet radiation can burn the skin and cause skin cancer. It is made up of two types of rays, UVA and UVB. Skin specialists recommend that people use sunscreens that block both kinds of radiation.
UNESCO	<B><U>U</B></U>nited <B><U>N</B></U>ations <B><U>E</B></U>ducational, <B><U>S</B></U>cientific, and <B><U>C</B></U>ultural <B><U>O</B></U>rganization
USDA	U.S. Department of Agriculture
Vector	A self-replicating DNA molecule that transfers a DNA segment between host cells.
Virus	A noncellular biological entity that can reproduce only within a host cell. Viruses consist of nucleic acid covered by protein; some animal viruses are also surrounded by membrane. Inside the infected cell, the virus uses the synthetic capability of the host to produce progeny virus.
VNTR	Variable number tandem repeats; any gene whose alleles contain different numbers of tandemly repeated oligonucleotide sequences.
Western blotting analysis	A technique used to identify a specific protein; the probe is a radioactively labeled antibody raised against the protein in question.
White blood cells	Cells that help the body fight infection and disease.
Wilms' tumor|wilms-tumor	A kidney cancer (tumor) that occurs in children, usually before age 5.
X chromosome	A sex chromosome; normal females carry two X chromosomes.<BR><BR>X-inactivation <BR>The repression of one of the two X-chromosomes in the somatic cells of females as a method of dosage compensation; at an early embryonic stage in the normal female, one of the two X-chromosomes undergoes inactivation, apparently at random, from this point on all descendent cells will have the same X-chromosome inactivated as the cell from which they arose, thus a female is a mosaic composed of two types of cells, one which expresses only the paternal X-chromosome, and another which expresses only the maternal X-chromosome. <BR>
X-rays	High-energy radiation used in low doses to diagnose disease or injury, and in high doses to treat cancer.
XYY syndrome	Genetic condition in males with extra Y chromosome (in 1 in 1000 male births). Symptoms: tall stature (over 6'), may including sterility, developmental delay, learning problems.
Y chromosome	A sex chromosome; normal males carry one Y and one X chromosome.
YAC|yeast-artificial-chromosome	<U>Y</U>east <U>a</U>rtificial <U>c</U>hromosome; a linear vector into which a large fragment of DNA can be inserted; the development of YAC's in 1987 has increased the number of nucleotides which can be cloned.
Zoo blot	Northern analysis of mRNA from different organisms.
