##name	Gali's Gastronomical Glossary
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_lastUpdated	2005/12/18, 13:50
##bgl_middleUpdated	2005/12/18, 13:50
##author	Gali
##browsingEnabled	
##bgl_creationTime	2003/04/20, 11:15
##description	English-Hebrew
##purchaseAddress	
Dariole|crustade	- גליל מאפה בצק עלים ממולא בקרם שקדים<BR>- המינוח הצרפתי לתבנית קטנה וגלילית
Darjeeling tea|Darjeeling	זן של תה שחור בעל טעם של ענבי מוסקט המגודל בגבעות דרג'ילינג שבהודו (למרגלות ההימאלאיה)
Dash|a Dash	קומץ, קורטוב, מעט, קורט
Dashi|dashi	דאשי - ציר בסיסי למרקים ורטבים יפניים מאצות ים.
Dashi-no-moto|dashi no moto|dashi-no-moto|dashinomoto	קוביית דאשי (קוביית "אבקת מרק יפנית")
Date|Dates	תמר (פרי)<BR>מכיל כמות סיבים גדולה ואשלגן.
Dau miu|daumiu|pea shoots	דוו מיו - השם הקנטונזי ל"נצרי אפונה" - הגבעולים העדינים והעלעלים העליונים של צמח האפונה הירוקה. טעמו הינו הכלאה בין אפונה לתרד
Daube	מהמטבח הצרפתי - נזיד קלאסי בבישול איטי של בקר, יין אדום, ירקות ותבלינים.<BR>כלי חימר עמוק במיוחד עבורו הינו : <I>daubi?re</I><BR>
Daun pandan|daunpandan|kewra|screwpine|screwpine leaf|screwpine leaves	עלי screwpine
Dauphine|Pommes dauphine|Sole dauphine	<I>Pommes dauphine</I> - קרוקטים העשויים מכדורי עיסת בצק עלים מועשר בשמנת ופירה תפו"א, מצופים בפירורי לחם ומטוגנים בשמן עמוק.<BR><I>Sole dauphine</I> - פילה סול מטוגן מעוטר בפטריות, סרטני נהרות כמהין וכופתאות ממולאות<BR>
Decadent|decadent	"מזון שחיתות", פינוק מופרז
Decaffeinated|decaffeinated	נטול קפאין
Decant|decanting	(פ') לשפות, לצקת מבקבוק/כלי אחד למשנהו, לצקת יין מבלי לערבב את הנוזל עם המשקע שבתחתית
Decanter	דקנטר, בקבוק (זכוכית או קריסטל) ליין
Decorate|decorate|decorated|decorating	(פ') לקשט, לעטר
Decoration|DECORATION|DECORATIONS	עיטור, קישוט
Deep|deep	עמוק
Deep-fry|deep fried|deep fry|deep-fried|deep-fry|deepfried|deepfry	מטוגן בשמן עמוק<BR>(פ') לטגן בשמן עמוק
Deer|deers	צבי (חיית ציד)
glazing|glacer	זיגוג, ציפוי
Deglaze|deglaze|deglazed|deglazing	(פ') להוסיף נוזל לתחתית המחבת על מנת להמיס את המוצקים במטרה לתבל עימם את הרוטב
Degrease|degreased	(פ') להסיר/להרחיק שומן
Degrees|Degree	מעלות (צלזיוס\\פרנהייט)
Dehydrate|dehydrated	(פ') לייבש, להסיר את הלחות הטבעית ממזון ע"י ייבוש איטי מהשמש/אויר או באמצעות עזרים מודרניים.
Delaware grape|Delaware|Delaware grapes	זן של ענבים אדומים מתוקים
Delicious|Delicious Apple|Delicious Apples|delicious	טעים להפליא, ערב לחיך<BR>Delicious Apple - זן של תפוחי עץ אדומים ומוזהבים: דלישיוס
Delightful|delightful	מרנין, מענג
Delmonico Potatoes|Delmonico|Delmonico potato	מנה הקרויה על שם יוצרה : תפו"א מבושלים ומוקרמים (קוביות או פירה) מצופים בגבינה מגוררת ופירורי לחם ואפויים עד השחמה
Demerara Sugar|Demarera|DemareraSugar|Demerara|Demerara sugar	סוכר דמררה - סוכר חום בהיר חצי מעובד
Demi-glace|Demiglace|demi glace	דמי גלאס - רוטב חום עשיר : שילוב של רוטב אספניול בסיסי עם מרק בקר צח ויין מדירה או שרי המבושלים עד לאידוי חצי מכמות הנוזלים.
Demi-sec|Demi sec|Demisec	מינוח צרפתי ליינות מתוקים (עד 5% סוכר) שמשמעו : חצי יבש
Demitasse|demi tasse|demi-tasse	- ספלון<BR>- בצרפתית המשמעות היא "חצי ספל" ולעיתים הכוונה לקפה שחור חזק מאוד (המוגש בספלון)
Denver sandwich|Denver|Western sandwich	סנדביץ' קלאסי המכיל חסה וחביתה מקושקשת עם חתיכות של בייקון, בצלים ופלפל ירוק
Derbyshire cheese|Derby cheese|Derbyshire|Sage Derby	גבינה מעודנת חצי קשה מחלב פרות המזכירה גבינת צ'דר<BR><B>Sage Derby</B> - היא אותה גבינה בתוספת מרוה שמוסיפה עניין לטעם ולצבע<BR>
Desiccated|desiccate	(פ') לייבש פירות/מזון (ע"י הוצאת כל הלחות)
Dessert|desert|desserts|entremets|sweets	מנה אחרונה, לפתן, רפרפרת<BR>לפי כלליהמטבח הצרפתי מומלץ להגיש בלוית יין לבן מתוק
pomme bonne femme	תפו"ע אפויים
Devein|deveiner	(פ') להסיר את הוריד האפור-שחור מגבו של החסילון. דיווינר הוא כלי מיוחד למטרה זו.
Devil's food|Devil's|Devils|Devils food	כינוי אמריקאי לעוגת/עוגיית שוקולד כהה, כבדה ועשירה (עתירת קלוריות...)
Deviled|devil	מנה "שטנית" היא זו שתובלה במרכיבים חריפים במיוחד
Devils on Horseback|angels on horseback	* סוג של מתאבן - גרסה חריפה של "angels on horseback" = צדפות עטופות ברצועות בייקון בתיבול טבסקו או פלפל אדום חריף.<BR>* הגרסה האנגלית מורכבת משזיפים מיובשים שהושרו ביין ממולאים בצ'אטני מנגו ושקד שלם ועטופים ברצועות בייקון
Dewberry|dewberries	זן של פטל שחור (פרי) - trailing-vine blackberry. <BR>
Diable sauce|? la diable|diable|diable, ? la	בסיס של רוטב חום קלאסי לו הוספו יין, חומץ, בצלצלי שאלוט ופלפל שחור או אדום. לרב מוגש לצד בשר או עוף צלוי<BR><I>? la diable</I> מתייחס לשיטה צרפתית להכנת עופות ע"י צלייתם עד השחמה. כשהם חצויים ומכוסים בפירורי לחם - מוגש לצד רוטב דיאבל<BR>
Diced|dice|diced|dicing	חתוך לקוביות<BR>(פ') לחתוך לקוביות
Diced tomatoes|diced tomatoes|dicedtomatoes	קוביות עגבניות
Dices|dice|÷åáéåú	קוביות
Dietary	תזונתי, דיאטטי
Dietary fiber|dietary fibers|ñéáéí úæåðúééí	סיבים תזונתיים
Digestif|AFTER DINNER DRINKS|POUSSE CAFFE|degestif|degistif|digistif	דג'יסטיף - משקה אלכוהולי לקינוח - קוניאק הוא קלאסי למטרה זו\nשמות נרדפים :\nPOUSSE CAFFE ו- AFTER DINNER DRINKS
Dijon Mustard|Dijon	דיז'ון - סוג של חרדל חריף
Dill|dil|ùîéø	שמיר (עשב תבלין)
Dilute|diluted|diluting	(פ') לדלל, למהול
Dim sum|dem sum|demsum|dimsum	דים סאם, בקנטונזית "תענוג ללב" - מגוון מעדנים קטנים כדוגמת בופתאות מאודות או מטוגנות, כדורי שרימפ, לחמניות מאודות ומאפים סיניים.
Diminutive	זעיר
Dip	מטבל, דיפ<BR>(פ') לטבול, להשרות
Diples	מאפה יווני בטיגון עמוק הכולל רצועות צרות של בצק מתוק בצורת פפיון או עיגול ומצופות (לאחר טיגון) בדבש, קינמון ואגוזים.
Diplomat pudding|diplomat	קינוח - שכבות של בישקוטים טבולים בליקר, ריבה, פירות מסוכרים קצוצים וקרם/קצפת
Diplomat sauce|diplomat	רוטב ולוטה על בסיס ציר דגים מועשר בשמנת, ברנדי, חמאת לובסטר וכמהין
Dipper	מצקת, תרווד
Dish|Dishes	קערה, צלחת, תבשיל, מנה<BR>(פ') לשים בצלחת, להגיש (מזון)
Disjoint|disjointed|disjointing	(פ') להפריד/לנתק לחלקים/גורמים (באזור המפרקים)<BR>
Dissolve|Dissolving	(פ') להמיס, למוסס, להפוך לנוזל
Distillation	תזקיק, זיקוק
Distilled|destiled|destilled|distil|distiled|distilled water|distilled waters|distilledwater	מזוקק<BR>(פ') לזקק, להתפיל<BR>distilled water - מים מזוקקים
Distinctive|distinctive	ייחודי, שונה (אחר)
Ditalini|Ditali|ditalini	דיטליני - צינורות פסטה קצרים
Divinity|seafoam	ממתק שמנתי אוורירי מסוכר לבן, סירופ תירס וקצף ביצים מוקשה. לעיתים תכופותמוסיפים אגוזים, קוקוס או שוקולד.<BR>כאשר מחליפים הסוכר הלבן בסוכר חום המתק מכונה : <B>seafoam</B><BR><BR>
Dobos torte|Dobos|Dobostorte	עוגת טורט שהומצאה ע"י הקונדיטור האוסטרי ג'וזף דובוס : ערימה של 9 שכבות דקיקות של עוגת ספוג (genoise) מרוחות בזיגוג שוקולד עשיר העוגה עצמה מצופה בקרמל.
Dogfish|dogfish|houndfish|nursehound|smooth hound|smoothhound|spur dog|spurdog	סוג של כריש קטן
Dolce|dolci	"מתוק" באיטלקית - מינוח קולינרי למנות אחרונות וממתקים
Dollops|dollop|dollops	גוש, כמות קטנה, קורטוב
Dolly Varden	
Dolmathes|Dolmade|Dolmades|Dolmathakia|Dolmathakia Me Rizi|DolmathakiaMeRizi|dolma	עלי גפן ממולאים בכבש טחון ואורז (יוון)<BR>Dolmathakia Me Rizi
Donburi|don	1. מנה יפנית של אורז מאודה ומעליו בשר, דגים, ביצים ו/או ירקות בציר.<BR>לעיתים המנה פשוט מכונה דון או שמוסיפים את ההברה כסיומת לשם של מזון כדי להדגיש שהיא "בסגנון דונבורי" - למשל : <I>katsudon</I> הוא קיצור ל: <I>tonkatsu donburi</I> שפירושה נתח בשר לבן של אורז.<BR>2. דונבורי הוא גם שמה של הקערה העמוקה בה מגישים המנה האמורה.<BR>
Doria	דוריה - מתכון\\מנה המלווה במלפפונים (מצרפתית)
Dosage	מינון
Dotted|dot	מנוקד<BR>(פ') לנקד, בבישול: לפזר 'נקודות' (חתיכות קטנות) של המצרך, למשל להניח 'נקודות' חמאה בתבנית<BR>נקודה
Double-cream cheese|double cr?me|double cream cheese|double cream cheeses|double creme|double-cream cheeses|doublecream cheese	גבינת שמנת מחלב פרה המכילה מינימום 60% שומן
Dough|dough	בצק
Doughnuts|Doghnuts|Doughnut|donat|donats|donuts|doughnat|doughnats|doughnuts	דונט, סופגנייה אמריקאית
Doused|doused	טבול<BR>(פ') להטביל, להתיז
Doux	"מתוק" בצרפתית - מילה משמשת על תוויות לשמפניה ומשמעה שהיין מאוד מתוק , קרי כולל יותר מ- 5 % סוכר
Dragee|drag?e	דרז'ה :<BR>1. שקדים מצופים בסוכר צבעוני מוקשה (בד"כ בצבעי פסטל)<BR>2. סוכריות קטנטנות לציפוי עוגות
Drain|drained|draining	לאחר שהנוזלים הוצאו ממנו<BR>(פ') להוציא נוזלים
Drambuie|Drambui|drambooi|drambooy	דרמבוי (משקה חריף)<BR>ליקר שעורים סקוטי על בסיס וויסקי, דבש מצמח האברש (הת'ר) ועשבי תיבול.
Draught beer|Draft beer|draft|draftbeer|draught	בירה מהחבית (לא עברה פסטור כמו בירה מבקבוק או פחית)
Clementine|Clementines	קלמנטינה (פרי הדר)
Draw	(פ') בבישול - לסלק את הקרביים מהדג/עןף
Dredge|dredged|dredges|dredging	(פ') לקמח, לבזוק, לזרות
Dregs	משקע, פסולת, הלקיקים ששוקעים לתחתית בקבוק היין/משקה אלכוהולי.
Dribbled|dribble|dribled	שטפטפו עליו, שבזקו עליו<BR>(פ') לטפטף
Dried|Dryed	מיובש, יבש
Drip|dreep	טפטוף<BR>(פ') לטפטף, לנטוף
Drops|drop|èéôä|èéôåú	טיפות
Drum|Atlantic|California corbina|Croakers|black croaker|black drum|croaker|hardhead|kingfish|red drum|redfish|redfish (red drum)|spot|weakfish|white seabass	משפחת דגי מאכל בשרניים ודלי שומן<BR><B>Croakers</B> הם קטנים יותר (אבל מאותה משפחה) ונאכלים לרב בשלמותם.<BR>משפחת הדראם כוללת את הזנים הבאים :<BR><B>Atlantic </B>and <B>black croaker</B>,<B> black drum</B>,<B> California corbina</B>,<B> hardhead</B>,<B> kingfish</B>,<B> redfish (red drum)</B>,<B> kingfish</B>,<B> spot</B>,<B> weakfish </B>and <B>white seabass</B><BR><BR>
Drum Fish|DRUM FISH|DRUMFISH	מוסר, עיט הים (דג מאכל)
Dry yeast|dry yeast|dryyeast	שמרים יבשים
Dubonnet|dubone|dubonet|dubonne	דובונה - אפריטיף מר-מתוק על בסיס יין מחוזק בתיבול כינין ועשבי תבלין. קיימת גרסה לבנה (יבשה יותר) ואדומה של דובונה.
Duck	ברווז
Dukka|dukkah	תערובת תבלינים מצרית המכילה אגוזים, פלפל, כמון וטימין.
Dulce de Leche|Dulce|DulcedeLeche|Manjarblanco|de Leche	ריבת חלב<BR><B>dulce</B> = מתוק בספרדית. המילה לרב מתייחסת למאכל/ממתק מתוק במיוחד על בסיס שמנת וסוכר<BR>
Dulse	דאלס - אצת מאכל אדומה וגסה מלוחה מאוד
Dumplings|dumpling|dumplings|kofta	כופתה
Dundee cake|Dundee|Dundeecake	עוגת פירות סקוטית קלאסית המכילה קליפות ממותקות של פירות הדר, שקדים ותבלינים. לרב מצפים העודה עם שקדים קלופים (לבנים)
Dungeness crab|Dungeness|Dungenesscrab|cancer magister	סרטן מאכל גדול וורוד בעל בשר מתקתק ועסיסי - מצוי בחוף הפאסיפי מאלסקה ועד מקסיקו
Dunlop cheese|dunlop	גבינה סקוטית מחלב פרות הנהיית חריפה ככל שמבשילה. אידיאלית להתכה.
Dutch oven	סיר גדול מברזל יצוק עם מכסה הדוק (מקשה על האדים לברוח), המשומש לשיטות בישול לחות (קרי כשרוצים להשאיר את הנוזלים על מנת שהמנה תהא עסיסית יותר)
Délices de Divonne|Delices de Divonne|Délices|DélicesdeDivonne	מיני עוגות שוקולד צרפתיות בעלות מרכז רך (כמו מוס), המזוגגות בציפוי שוקולד וקוניאק
Earl Grey Tea|Earl Grey|EarlGrey|EarlGrey Tea	תערובת תה שחור פופולרית (ע"ש הרוזן צ'רלס גריי) שהינה מיזוג של תה מסרי לנקה והודו ושמן ברגמוט (זן של תפוז)
Early Richmond cherry|Richmond cherry|ãåáãáï|ãåáãáðéí	זן של דובדבן חמוץ אדום המומלץ למטרות בישול ואפיה
Earthenware|earthenware	כלי חרס
Eccles cake|Eccles	מעדן אנגלי - קונכיית בצק עלים ממולאת בתערובת דומדמניות/פירות אחרים מיובשים, סוכר וחמאה
Echinacea	אכיניציאה (צמח מרפא)
Eclairs|Eclair|Éclair|Éclairs	אקלייר- פחזנית מאורכת ממולאת בקרם רך\\קצפת ומצופה בקרם שמתקשה
Edam|Edam cheese	אדם - גבינה צהובה הולנדית
Edamame	אדמאמה - מתאבן יפני הנפוץ במסעדות סושי. <BR>אדמאמה ביפנית זה "פולי סויה טריים" אולם כמתאבן הם מוגשים מבושלים קלות לצד גבעונת של מלח גס
Edible|edible	אכיל, בר-אכילה
Eel|Aal|Anguila|Anguille|Eels|il|öìåôç|öìåôçéí	צלופח
Egg Noodels|Egg Noodel|EggNoodels	אטריות ביצים (מגיעות ברחבים שונים)
Egg cream|Egg creams|Eggcream	משקה ניו יורקי תוסס שעל אף שמו לא מכיל ביצים. המשקה קיבל שמו מהקצף שנוצר בערבוב מרכיביו. מדובר בחלב, סירופ שוקולד וגזוז שמושפרץ לתערובת וגורם לה לתסוס ולהקציף.
Egg roll|Egg rolls|Eggroll|Eggrolls|Spring roll|Spring rolls|Springroll|Springrolls|egg roll skin|egg roll skins	אגרול - הורסיה הסינית לסיגר, שמן. בצק פריך להפליא מגולגל ממולא ברצועות דקות של ירקות ובשר/פירות ים ומטוגן בשמן עמוק.<BR>מוגש כמנה ראשונה לצד רוטב חמוץ מתוק.<BR>את בצק המעטפת הקרוי <B><I>אגרול סקין</B></I> ניתן להשיג קפוא במכולות אסיאתיות.<BR><B><I>ספרינג רול</B></I> הוא גרסה מעודנת וקטנה יותר של האגרול
Egg whites|egg white|egg whites|eggwhite|eggwhites	חלבונים (הלבן של הביצה)
Eggplant|Egg Plant|Egg-Plant|EggPlant	חציל
Eggs|egg|egs|huevo|huevos|oeuf|oeufs	ביצים
Electric mixer|mixer	מיקסר
trolley|troli|trolli|trolly	עגלת  תה, שולחן צד נייד
Eliche|Elishe	ספירלות פסטה
Elioti	לחם זיתים (קפריסין)
Embossed|emboss|embossed	(פ') לקשט בעיטור בולט (יחסית לפני השטח)
Emince|EMINCE	אמינסה - חיתוך לפרוסות לפי הקו הטבעי\\הצורה של הירק (מצרפתית).<BR>
Emit|emit	(פ') לפלוט
Emmental cheese|Emmental|Emmentaler|Emmentaler cheese|Emmenthaler|Emmenthaler cheese	אמנטל - הגבינה השוויצרית הותיקה והחשובה ביותר - בעלת טעם אגוזי-מתקתק ועדין
Empanada|Empanadas	ה"סמבוסק" הארגנטינאי - מאפה ממולא מטוגן בצורת חצי עיגול
Emulsifier|emulsifayer	גורם מתחלב (מעבה תחליבים)
En Brochette|Brochette	צליית אוכל על שיפודים (מצרפתית)<BR>
Enchilada|Enchiladas|enchilada	אנצ'ילדה - פיתה מקסיקנית שטוחה אותה כורכים סביב מלית של בשר וירקות או פירות כקינוח
Endive|Endives|chicoree|chicory|chicorée|chikory|witloof|àðãéá|òåìù	עולש, צ'יקוריה, אנדיב (ירק)
English Breakfast Tea|English Breakfast|EnglishBreakfast	תערובת תה שחור עשירה וחזקה (לרב מזני תה אסאם וציילון)
English Morello cherry|Amarellen|Amarene|Griottes|Guindas garrafales|MORELO|Morello|Morello cherry|Sauerkirschen|kentish|kentish cherries|kentishcherries|kentishcherry|morello|morelo|ãåáãáï|ãåáãáðéí	זן של דובדבן, זן של עץ דובדבן
English Mustard|Colman's	אבקת חרדל חריפה מ-א-ו-ד המכילה גרגרי חרדל לבן ושחור טחונים, קמח וכורכום
English muffin|English muffins|Englishmuffin|muffin	סוג של לחמניית מאפה אורירית המוגשת חצויה כטוסט לארוחת בוקר
Entree|Entr?e|entrees|entrée	מנה ראשונה(מצרפתית)<BR>מנה עיקרית בארה"ב
Epazote Herb|Epazote|EpazoteHerb|wormseed	אבקת תבלין האופיינית למטבח המקסיקני, לרב עבור שעועית\\קטניות
Epices|epices|épices	תבלינים (מצרפתית)
Escalope|Escalop|escalopes|escalops	פרוסות דקות ועגולות של בשר עגל או בקר (לעיתים גם משתמשים במונח לדגים) לא שומן או עצמות<BR>מקומח / מצופה בפירורי לחם ומטוגן. לרב מוגש כשניצל, כלומר
Escargot|escargot	אסקרגו - חלזונות מאכל
farci|farsi	ממולא (מצרפתית)
Esrom cheese|Esrom	גבינה דנית חצי רכה פיקנטית מעודנת המומלצת לצד יינות אדומים חזקים או בירה כהה. בעלת קליפה חומה צהבהבה והפנים צהוב חיוור עם חורים
Evenly|evenly	באופן אחיד, באופן חלק
Exotic|exotic	אקזוטי, שונה ומיוחד
Explorateur cheese|Explorateur	גבינת שמנת מחלב פרה עשירה במיוחד (75% שומן)
Extra Virgin|EXTRA VIRGIN|EXTRAVIRGIN	שמן זית בעל דרגת חומציות של פחות מ- %1 הנוצר בכבישה קרה ומזן אחד של זיתים בלבד.<BR>השמן בעל דרגת הטיב הגבוהה ביותר.<BR><BR>
Extract|Extracts	תמצית<BR>(פ') לסחוט
Exude|exude	(פ') להיפלט\\לבעבע באיטיות
Falafel|falafel|falafels	פלאפל<BR>כדורי קטניות (לרב חומוס), ירקות ותבלינים מטוגנים.
Farfalle|Bow Ties|Butterflies	פרפלה - פפיוני פסטה קטנים
Farofa	מאכל ברזילאי - מעין נגיסים מטוגנים מקמח קסבה, בננות (פלנטין), בייקון/נקניקיות ובצל
Fat free	ללא שומן - תווית שמבחינה חוקית מתארת מזון המכיל פחות מחצי גרם של שומן פר מנת הגשה, בהינתן שאין מרכיבים שומניים אחרים
Fat-free|fat free|fat-free|fatfree	דל שומן, נטול שומן
Fatback|fatback	נתח בשר חזיר משומר במלח
Fava Bean|Fava|Fava Beans|FavaBean|FavaBeans|horse bean|horse beans|horsebean	סוג של קטנית, צמח ממשפחת האפונה
Feijoada Brasileira|Feijoada|FeijoadaBrasileira	נזיד שעועית שחורה (ברזיל)
Fennel	שומר
Fenugreek|Trigonella foenum|fenugreek|graecum	חילבה, גרגרנית יוונית (תבלין)
Ferment|Fermented|ferment	שמרים, חומרי התססה, תסיסה, התססה<BR>(פ') לתסוס, להתסיס
Fermentation|ferment|fermentation	תסיסה (של בצק משמרים), התססה<BR>(פ') לתסוס, להתסיס
Feta|Feta cheese|Fetacheese	גבינת פטה - גבינה לבנה טריה חצי קשה מיוון. במקור נחבצת מחלב עיזים או כבשים אולם היום גם מוצרת מחלב פרות.
Fettuccine	פטוצ'יני - ספגטי שטוח
Fig|Figs	תאנה (פרי)
Filberts|Filbert	אגוז אלסר (לוז)
Filled|fill|filled	ממולא, מלא<BR>(פ') למלא, להתמלא
Fillet|fillet	פילה, ללא עצמות(בבשר), ללא אידרה (דגים)<BR>בשר הנחשב לטוב ביותר בגוף הבקר <BR>
Filling|filling	מלית, מילוי
Filo dough|filo|filo dough|filodough	בצק פילו (סוג של בצק מרודד)
Filter|filter|filters	מסנן, פילטר<BR>(פ') לסנן, לשמש לסינון, לחדור, להסתנן
Finely Chop|FinelyChop	(פ') לקצוץ דק
Fines Herbes	תערובת עשבי תיבול צרפתית הכוללת 4 עשבי תבלין :<BR>עירית, פטרוזיליה, צ'רביל וטרגון.
Fingerroot|Chinese ginger	שורש מאכל המוכנה "זנגביל סיני"
Fish	דג, דגים
Fishcake|fish cake|fish cakes|fishcake|fishcakes	קציצת דג, כדור דגים
Fizz|fizz	שמפניה (סלנג), משקה חריף "תוסס" (מהול בסודה)<BR>(פ') לתסוס, להשמיע קול תסיסה
Fizzle|fizzle	תסיסה, קול תסיסה ההולך ודועך
Flaked|flake|flaked	מקולף ,מפורר לפתיתים\\שבבים\\חתיכות קטנות
Flaked coconut|flaked coconut|flakedcoconut	פתיתי קוקוס
Flakes|flake|flakes	פתית, פתיתים (פירורים של חומר מוצק מרוסקים גס, למשל שוקולד\\קוקוס).<BR>פתיתים הם גם סוג של אטריות קטנטנות אפויות (מגיעות בצורות שונות כדןגמת דמוי-אורז, כוכבים וכו')
Flambee|Flambe	פלמבה, מוגש בלהבות (לרב מדובר בקינוח מושרה בליקר שהוצת שניות לפני ההגשה), מצרפתית.
Flank|falda|flank|thin flank|thinflank	חלק בשר הבקר שבין הצלעות למותן<BR>בשר קשה מאוד - מתאים לטחינה או לבישול ממושך כצלי <BR><BR>
Flat|flat	שטוח, מונח אופקית וגם תפל
Flattened|flatten|flattened	מרודד, משוטח, מיושר וגם תפל<BR>(פ') לרדד, לשטח וגם להפוך לתפל
Flavor|flavors|flavour	טעם, ניחוח<BR>(פ') לתבל, להוסיף ניחוח\\טעם
Flavoring|flavorings	חומר-טעם<BR>(פ') להוסיף טעם, לתבל
Flan	פלאן - רפרפת מתוקה בציפוי קרמל פריך (סוכר חום שרוף)
Flax seeds|Flax|Flax seed	זרעי פשתן<BR>FLAX = פשתן, פשתה
Fleuron|fleuron	פלוראן - מיני מאפה בצורת סהרון קטנטן המשמש לעיטור.
? la florentine|Florentin|Florentine|Florentine style|Florentiner|a la florentine|fiorentina|florentina|nach Florentiner	סוג של עוגייה וגם בישול\\אפיה עם תרד\\ממולא בתרד ומוקרם ברוטב חמאה וגבינה(מצרפתית)!
Flour	קמח
Flummery|flummery	רפרפת, דייסה (תערובת מזון טחון סמיך חם)
Foam|foam	קצף<BR>(פ') להביא להווצרות קצף
Foie Gras|Foie-Gras|FoieGras	כבד אווז (מצרפתית)
Foie	כבד\nFoil|foil|Aluminum foil|Aluminumfoil\nרדיד אלומיניום, נייר כסף
boar|BOR|boars	חזיר בר
Horse|Horse MEAT|HorseMEAT	סוס, בשר סוס
blood sausage|Blutwurst|Boudin noir|Morcilla|Sanguinaccio|black pudding|salsicia de sanguine	נקניק דם - נקניק כהה עשוי בעיקר מדמו של חזיר - אופייני לצפון איטליה
Fold|fold|folded	(פ') לקפל, לבחוש בעדינות (למשל קצף ביצים)
aromatic herbs|Gew?rzkr?utern|erbe aromatiche|fines herbes|hierbas arom?ticas	עשבי-תיבול (תבלינים, צמחים המוסיפים טעם מיוחד למזון)
dorato|dorado	מוזהב - משוך בביצה ומטוגן
Fondue|Fonduta|fondoo|fondu|fundido|ôåðãå	פונדו<BR>מאכל שוויצרי שהוא למעשה "מרק סמיך" של בשר\\גבינות\\שוקולד המוגש בסיר על להבה פתוחה וטובלים בו באמצעות מזלגות ארוכים או שיפודי עץ טוסטוני לחם או חתיכות פרי (לגרסה השוקולדית כמובן)<BR>
Food|food	אוכל, מזון
Forcemeat|forcemeat	בשר טחון מתובלן למילוי
Fore rib|FORE RIB|FORERIB	אנטריקוט, ורד הצלע<BR>בשר מאיכות מעולה המתאים לבישול קצר : סטייקים, נזיד או צלי.<BR>
Fork|FORK|FORKS	מזלג<BR>(פ') לקחת במזלג
Fortified	מועשר ("מחוזק" באמצעות מרכיבים מזינים חיצוניים, כויטמינים)
Fragrant|fragrant	ריחני, מלא ניחוח
Framboise	ברנדי חסר צבע המופק מהתססת פטל
Frangelico	פרנג'ליקו - ליקר בטעם אגוזי לוז בניחוח פרחים וגרגרים
Frankfurter|Frankfurters	נקניקייה מעושנת מבשר בקר או בקר+חזיר
Fromage|formage	גבינה (מצרפתית)
Frappe|frappe	מקפא פירות, משקה פירות קר (ברד), פראפה<BR>קפוא, צונן, מקורר<BR>
Freestone|clingstone|freestone	פריסטון - כינוי לפרי בעל גלעין קל להסרה, קרי בשר הפרי לא מחובר אליו, כדוגמת אפרסק. <BR>ההפך הוא הקלינגסטון (<B>clingstone</B>) - כינוי לפרי שבשרו דבק לגלעין.<BR>פירוש נוסף - אבן-חול
Freezer|freeze|freezer	מקפיא, תא הקפא, פריזר<BR>(ש'ע) הקפאה<BR>(פ') להקפיא, לקפוא<BR>
Fresh|fresh	טרי
Fricassee|fricase|fricasee|fricasse|frikasse	נזיד בשר / עוף לבן(צרפת) או סנדוויץ' טוניסאי (לחמניה מטוגנת בשמן עמוק אותם ממלאים בטונה, מטבוחה, חצילים, ביצה קשה, עגבניות וזיתים.<BR>(פ') להכין פריקסה (בשר ברוטב)
Fridge|fridge	מקרר
Frittata/Omelette|Frittata|omelet|omelette	חביתה עם תוספות, אומלט המטוגן משני צידיו
Fritters|Fritter	פיסת בלילה מטוגנת (לרב מכילה חתיכת פרי, כמו בננה מטוגנת)
Frosting|frost|frosting|icing	ציפוי, זיגוג (לעוגה)<BR>(פ') לצפות, לזגג
Froth|froth|spuma	קצף חם<BR>(פ') להעלות קצף<BR>
Frothy|froty	קצפי, מעלה קצף
Frozen|Frosen	קפוא, מוקפא
Fruit|Froot|Fruits	פרי
Frying pan|frying pan|fryingpan	מחבת
Fudge|fadge|ôàãâ'	פאדג', ממתק שוקולדי
Ful|broad bean|broadbean|broadbeans|ful	פול (פ' דגושה) = זרע מאכל<BR>פ' רפה = זן של גרגר רחב וגם כינוי לתבשיל מזרח-תיכוני אותו מכינים מזרעי הפול ומוסיפים לרב לחומוס.
Fumet|fumet	ניחוח
Fungus|funghi|fungi|fungus	פטריה
Fusilli|Twisted Spaghetti	פוסילי - ספגטי "מסובב"
Futomaki|futo maki|futomaki	פוטומאקי - רול סושי "שמן"
Gajar ka Halwa|GajarkaHalwa	קינוח הודי : פודינג גזר וחלב
Galangal|Laos|Laos ginger|Thai ginger|galanga|galangale	גלנגל (תבלין שורש)<BR>קרוב משפחה של הג'ינג'ר, בעל טעם דומה אך פרחוני חזק יותר.
Galat Dagga|G?lat dagga	תערובת "חמשת התבלינים" הטוניסאית (חריפה מעט)<BR>מכילה פלפל וגרגרי "גן עדן" כמו גם קינמון, אגוז מוסקט וציפורן.
Galena	גלניט, גפרת עופרת (מינרל מאכל)
