##name	EU Terminology
##sourceLang	English
##targetLang	Turkish
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1254
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1254
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2002/10/26, 10:16
##author	SMB
##email	smbulut@hotmail.com
##description	
##browsingEnabled	
##bgl_creationTime	2002/10/26, 10:15
8EAF66FD.bmp	File: 8EAF66FD.bmp
Environmental Impact Assessment practices	Çevresel Etki Değerlendirmesi uygulamaları
environmental mangagement	çevre yönetimi
epidemic animal diseases	salgın hayvan hastalıkları
Equilibrium	denge
equipment	ekipman
essential objective	esas amaç
essential requirements	temel gerekler
establishment	yerleşme, kuruluş
establishment of a customs union (18)|establishment of a customs union	bir gümrük birliğinin kurulması
establishment of incorporal rights on property	mülkiyetin gayri ayni hak tesisi
Euro-Info Centres	Avrupa Bilgi Merkezleri
EUROCHAMBERS	Avrupa Ticaret ve Sanayi Odaları Birliği
Europartneriat	Europartneriat (Az Gelişmiş Bölgelerin Gelişmesini Destekleme Programı)
Europe	Avrupa
European Agency for Medicinal Products	Avrupa İlaç Ajansı
European Agency for Safety and Health at Work (EU-OSHA)|European Agency for Safety and Health at Work	Avrupa İş Sağlığı ve Güvenliği Ajansı
European Agricultural Guidance and Guarantee Fund (FEOGA)|European Agricultural Guidance and Guarantee Fund	Avrupa Tarımsal Yönlendirme ve Garanti Fonu
European Association of Teachers	Avrupa Öğretmenler Birliği
European Atomic Energy Community (EAEC-EURATOM)|European Atomic Energy Community	Avrupa Atom Enerjisi Topluluğu (AAET)
European Atomic Energy Community(EAEC-EURATOM)|European Atomic Energy Community	Avrupa Atom Enerjisi Topluluğu (AAET)
European Bank of Reconstruction and Development (EBRD)|European Bank of Reconstruction and Development	Avrupa İmar ve Kalkınma Bankası
European Broadcasting Union	Avrupa Yayın Birliği
European Broadcasting Union (EBU-EUROVISION)|European Broadcasting Union	Avrupa Yayın Birliği
European Bureau of Consumers Union	Avrupa Tüketici Birlikleri Bürosu
European Central Bank	Avrupa Merkez Bankası
European Charter for Small Enterprises	Küçük İşletmelere Yönelik Avrupa Sözleşmesi
European Coal and Steel Community (ECSC)|European Coal and Steel Community	Avrupa Kömür ve Çelik Topluluğu (AKÇT)
European Commission	Avrupa Komisyonu
European Communities	Avrupa Toplulukları
European Community (EC)|European Community	Avrupa Topluluğu (AT)
European Community Civil Servants	Avrupa Topluluğu Memurları
European Community Funds	Avrupa Topluluğu Fonları
European Community Institutions	Avrupa Topluluğu Kurumları
European Community Law	Avrupa Topluluğu Hukuku
European Community of Consumer Cooperatives (EURO-COOP)|European Community of Consumer Cooperatives	Avrupa Tüketici Kooperatifleri Topluluğu
European Community Presidency	Avrupa Topluluğu Dönem Başkanlığı
European Community Statistical Office (EUROSTAT)|European Community Statistical Office	Avrupa Topluluğu İstatistik Ofisi (EUROSTAT)
European Convention on Cross Border Television	Avrupa Sınır Ötesi Televizyon Sözleşmesi
European Cooperation in the field of Scientific and Technical Research (COST)|European Cooperation in the field of Scientific and Technical Research	Avrupa Bilimsel ve Teknik Araştırma Alanında İşbirliği
European Council (Summit)|European Council	Avrupa Birliği (Devlet ve Hükümet Başkanları) Zirvesi
European Court of Auditors	Avrupa Sayıştayı
European Court of Justice (ECJ)|European Court of Justice	Avrupa Adalet Divanı
European Currency Snake	Avrupa Para Yılanı
European Democratic Group	Avrupa Demokrat Grubu
European Democratic Union	Avrupa Demokratik Birliği
European Development Fund(EDF)|European Development Fund	Avrupa Kalkınma Fonu
European Economic Area (EEA)|European Economic Area	Avrupa Ekonomik Alanı (AEA) (Üye ülkeler+EFTA ülkeleri[Norveç, Liechtenstein, İzlanda]
European Economic Community (EEC)|European Economic Community	Avrupa Ekonomik Topluluğu (AET)
European Economic Organisations	Avrupa Ekonomik Örgütleri
European Electro-technical Standardization	Committee (CENELEC) Avrupa Elektroteknik Standardizasyon Komitesi
European Electro-technical Standardization Committee (CENELEC)|European Electro-technical Standardization Committee	Avrupa Elektroteknik Standardizasyon Komitesi
European Environmental Agency	Avrupa Çevre Ajansı
European Federation of Public Administration	Avrupa Kamu Yönetimi Federasyonu
European Foundation	Avrupa Vakfı
European Foundation for Science	Avrupa Bilim Vakfı
European Foundation for the Improvements of Life and Working Conditions	Avrupa Yaşam ve Çalışma Koşullarını İyileştirme Vakfı
European Free Trade Association (EFTA)|European Free Trade Association	Avrupa Serbest Ticaret Birliği (EFTA)
European Hymn	Avrupa Marşı
European Identity	Avrupa Kimliği
European Integration	Avrupa Bütünleşmesi
European Interest Groups	Avrupa Çıkar Grupları
European Investment Bank (EIB)|European Investment Bank	Avrupa Yatırım Bankası (AYB)
European League for Economic Cooperation	Avrupa Ekonomik İşbirliği Ligi
European Monetary Cooperation Fund (FECOM)|European Monetary Cooperation Fund	Avrupa Parasal İşbirliği Fonu
European Monetary System (EMS)|European Monetary System	Avrupa Para Sistemi
European Ombudsman	Avrupa Ombudsmanı
European Organization for Testing and Certification (EOTC)|European Organization for Testing and Certification	Avrupa Test ve Belgelendirme Organizasyonu
European Parliament	Avrupa Parlamentosu
European Parliament Internal Regulation	Avrupa Parlamentosu İç Tüzüğü
European Parliament Resolution	Avrupa Parlamentosu İlke Kararı
European Parliament Sittings Official Reports	Avrupa Parlamentosu Resmi Oturum Tutanakları
European Patent Office	Avrupa Patent Ofisi
European Patent Organisation	Avrupa Patent Örgütü
European People's Party	Avrupa Halk Partisi
European Political Cooperation	Avrupa Siyasi İşbirliği
European Productivity Agency	Avrupa Verimlilik Ajansı
European Refugee Fund	Avrupa Mülteci Fonu
European Regional Development Fund (ERDF)|European Regional Development Fund	Avrupa Bölgesel Kalkınma Fonu
European Regions Council	Avrupa Bölgeler Konseyi
European Single Market	Avrupa Tek Pazarı
European Social Fund (ESF)|European Social Fund	Avrupa Sosyal Fonu
European Space Agency (ESA)|European Space Agency	Avrupa Uzay Ajansı
European Space Research Organisation (ESRO)|European Space Research Organisation	Avrupa Uzay Araştırma Örgütü
European Standardization Committee (CEN)|European Standardization Committee	Avrupa Standartlar Komitesi
European Telecommunication Standards Committee (ETSI)|European Telecommunication Standards Committee	Avrupa Telekomünikasyon Standartları Komitesi
European Trade Unions Confederation (ETUC)|European Trade Unions Confederation	Avrupa İşçi Sendikaları Konfederasyonu
European Union (EU)|European Union	Avrupa Birliği (AB)
European Unit of Account	Avrupa Hesap Birimi
European University Institute (EUI)|European University Institute	Avrupa Üniversite Enstitüsü
European Venture-Capital Association (EVCA)|European Venture-Capital Association	Avrupa Risk Sermayesi Birliği
EUROSTAT	Avrupa Birliği İstatistik Ofisi
evaluate	değerlendirmek
evaluation	değerlendirme
ex-ante evaluation	ön değerlendirme
Ex-post evaluation	Nihai değerlendirme
ex-post external audit	harcama sonrası dış mali denetim
ex post financial audit body	harcama sonrası denetim yapan birim
ex-post internal audit	harcama sonrası iç mali denetim
exchange arrangement (eaec182(6))|exchange arrangement (eaec182	kambiyo rejimi
exchange authorization	kambiyo izni
excise duties	özel tüketim vergileri
exclusive distribution agreements	tek elden dağıtım anlaşmaları
Exclusive Economic Zone (EEZ)|Exclusive Economic Zone	münhasır ekonomik bölge
exclusive purchasing agreements	tek elden satın alma anlaşmaları
exclusive right	münhasır hak
exclusively fiscal nature	münhasıran mali nitelik
executive power	yürütme yetkisi
exempting regulation	muafiyet tüzüğü
exemption	muafiyet
expand	genişle(t)mek, büyü(t)mek
expenditure	gider, harcama, masraf
expenditure order	harcama emri
expire	sona ermek, süresi dolmak
exploration license	arama ruhsatı
exploratory talks	istikşafi görüşmeler
explosive for civil use	Sivil Amaçlı Patlayıcılar
export	ihraç
export levy	ihracat prelevmanı
export promotion	ihracatın teşviki
export refunds	ihracat iadesi
export restrictions	ihracat kısıtlamaları
export subsidy	ihracat sübvansiyonu (desteği)
export tax refund	ihracatta vergi iadesi
export volume	ihracat hacmi
expulsion	sınır dışı etme
external	dış
external debt	dış borç
external debt monitoring report	dış borç izleme raporu
external equilibrium (ecsc68(3))|external equilibrium (ecsc68	dış denge
external financial stability	dış mali istikrar
extra budgetary fund	bütçe dışı fon
extracontractual (215(2))|extracontractual (215	sözleşme dışı, akit dışı
extraordinary session	olağanüstü oturum
fact	fiil, vaka, olay
factor	faktör, sebep, etmen, unsur
factors of production (39(1,a))|factors of production (39	üretim faktörleri
fail	yapmamak, ihmal etmek
failure to act	karar verememe
failure to take decision	karar alamama
family allowance	aile yardımı
farm	çiftlik
farm accounting data network	çiftlik muhasebe veri ağı
farmer registrations	çiftçi kayıtları
farmers register system	çiftçi kayıt sistemi
feasibility	fizibilite, yapılabilirlik
feasibility report	fizibilite raporu
feasibility studies	fizibilite çalışmaları
federation	federasyon
field work	saha çalışması
finance	maliye
Financial Protocol	Mali Protokol
financial regularity	mali uygunluk
financial regulation	mali tüzük
financial regulation (eec209(1,a))|financial regulation (eec209	mali tüzük
financial statements	mali bildirim
financial tasks (ecsc51(4))|financial tasks (ecsc51	mali görevler
financial year	bütçe yıl, mali yıl
financing investment trust	finansman yatırım ortaklığı
finished goods (29(c))|finished goods (29	nihai mal
fiscal	mali
fish	balık
fish farm	balık çiftliği
fisheries co-management	ortak balıkçılık yönetimi
fisheries management	balıkçılık yönetimi
fixed capital	sabit sermaye
fixed component	sabit unsur
flat and high-quality steel products	yassı ve nitelikli çelik ürünler
food	gıda, besin
food safety	gıda güvenliği
Food Safety Action Plan	Gıda Güvenliği Eylem Planı
foodstuff laboratories	gıda laboratuarları
foodstuffs	gıda maddeleri
For the Council	Konsey adına
for the purposes set out in Article x	x maddesinde belirtilen amaçlar doğrultusunda
force	güç, kuvvet
foreign indebtment	dış borçlanma
forest	orman
forestation	ağaçlandırma
foundation	vakıf, temel
framework	çerçeve
franchise agreements	franchise anlaşmaları
fraud	hile, dolandırıcılık, sahtecilik
free	serbest
free circulation (eec9(2))|free circulation (eec9	serbest dolaşım
free movement of capital (eec3(c))|free movement of capital (eec3	sermayenin serbest dolaşımı
free movement of goods	malların serbest dolaşımı
free movement of goods (eec3(c))|free movement of goods (eec3	malların serbest dolaşımı
free movement of persons (eec3(c))|free movement of persons (eec3	kişilerin serbest dolaşımı
free movement of services (eec3(c))|free movement of services (eec3	hizmetlerin serbest dolaşımı
free movement of workers	İşçilerin serbest dolaşımı
free repair	ücretsiz onarım
Free Trade Agreement	Serbest Ticaret Anlaşması
free trade area	serbest ticaret bölgesi
freedom	serbestlik, özgürlük
freedom of establishment (eec52)|freedom of establishment	yerleşme serbestliği
freedom of movement for persons (eec3(c))|freedom of movement for persons (eec3	kişilerin serbest dolaşımı
freedom of movement for workers	işçilerin dolaşım serbestliği
freedom of movement for workers (eec48)|freedom of movement for workers	işçilerin dolaşım serbestliği
freedom of trade	ticaret serbestisi
freedom to provide services	hizmet edimi serbestisi
freedom to provide services (eec59)|freedom to provide services	hizmet edimi serbestisi
fresh resources	yeni kaynaklar
fuel recycling plant	yakıt geri kazanım tesisi
full power	tam yetki
fund	fon
gainful occupation (eec57(2,3))|gainful occupation (eec57	kazanç getirici faaliyet
gas	gaz
gas appliances	Gaz Yakan Aletler
GATT Subsidies Agreement	GATT Sübvansiyonlar Anlaşması
General Agreement on Tariffs and Trade (GATT)|General Agreement on Tariffs and Trade	Gümrük Tarifeleri ve Ticaret Genel Anlaşması
general competence	genel yetki
general incentive system	genel destek sistemi
general payments system (eec105(2))|general payments system (eec105	genel ödemeler rejimi
General Product Safety	Genel Ürün Güvenliği
general provisions	genel hükümler
general provisions in the field of technical barriers to trade	Ticarette Teknik Engellerin Kaldırılmasına İlişkin Genel Hükümler
General Standard of Economic Activities in the European Community (NACE)|General Standard of Economic Activities in the European Community	Avrupa Topluluğunda Ekonomik Faaliyetlerin Genel Sınıflandırılması (NACE)
Generalised System of Preferences	Genelleştirilmiş Tercihler Sistemi
genetically modified organisms	genetik olarak yapıları değiştirilmiş organizmalar
geographical information system	coğrafi bilgi sistemi
geographical signs	coğrafi işaretler
geography	coğrafya
global	global, küresel
Global Environmental Facility (GEF)|Global Environmental Facility	Küresel Çevre İmkanı
global warming	küresel ısınma
globalisation	küreselleşme
good	iyi
good laboratuary practice (GLP)|good laboratuary practice	iyi laboratuar uygulamaları (İLU)
Good Manufacturing Practices (GMP)|Good Manufacturing Practices	İyi İmalat Uygulamaları
goods	mal, ürün
goods in free circulation	serbest dolaşımdaki mallar
govern	hakim olmak, idare etmek
government accountant	sayman
grace period	ödemesiz dönem
grant	hibe, imtiyaz
grant of licences	lisans verilmesi
grant of licences by arbitration	tahkim yolu ile lisans verilmesi
green paper	yeşil kitap
greenhouse gas	sera gazı
ground water yield	yeraltı suyu verimi
guarantee	garanti
guide price	yönelim fiyatı
guidelines	kılavuz
Guidelines of Good Clinical Practice	İyi Klinik Uygulamaları Kılavuzu
Guidelines of Good Laboratory Practice	İyi Laboratuar Uygulamaları Kılavuzu
habitat protection	doğal yaşam ortamını koruma
harmonisation	uyumlaştırma
harmonization of laws	kanunların uyumlaştırılması
has adopted this Regulation	işbu tüzüğü kabul etmiştir
has agreed as follows	aşağıdaki gibi anlaşmıştır
has decided as follows	aşağıdaki gibi karar vermiştir.
have agreed on the following provisions (in Convention)|have agreed on the following provisions	aşağıdaki hükümler üzerinde anlaşmıştır (uluslararası sözleşmelerde)
have decided to conclude this agreement	işbu anlaşmayı imzalamaya karar vermiştir
having noted (in Resolutions)|having noted	kaydederek
having regard to	göz önünde tutarak
hazardous waste	tehlikeli atık
heading	başlık, pozisyon
headings and subheadings of the CCT	OGT pozisyon ve alt pozisyonları
headings of the tariff	tarife pozisyonları
headings of the tariff (eec26(1))|headings of the tariff (eec26	tarife pozisyonları
hearing	duruşma
hearing in court	celse
hereby adopts this Resolution	işbu ilke kararını kabul etmiştir.
hereby invites the Commission to ...	Komisyonu ....(yapmaya, etmeye) davet eder.
hereby recommends Member States	üye devletlere.... (yapmalarını, etmelerini) tavsiye eder.
hidden (disguised) employment	Gizli işsizlik
High Authority (ecsc7)|High Authority	Yüce Otorite
High Contracting Parties	yüksek akit taraflar
holiday	tatil
homeopathic products intended for human use	Beşeri homeopatik ürünler
horizontal legislation	yatay mevzuat
household appliances	ev aletleri
identity	kimlik
illegal immigrants	yasa dışı göçmenler
illegal workers	yasa dışı işçiler
illicit use of drugs	yasadışı uyuşturucu madde kullanımı
imitated goods	taklit mal
imitation	taklit
immigrant	göçmen
immigration	göç
immovable	taşınmaz mal
immovable purchased on a time share basis	devre mülk esasında satın alınan taşınmaz
immunity	dokunulmazlık
immunological products	immünolojik ürünler
implement	uygulamak
implementation of a policy (eec43(2,1))|implementation of a policy (eec43	bir politikanın uygulanması
implementation of a provision	bir hükmün uygulanması
implementation of a provision (eec69)|implementation of a provision	bir hükmün uygulanması
implementing convention (136(1))|implementing convention (136	uygulama sözleşmesi
implementing institution	uygulayıcı kuruluş
implementing regulation	uygulama tüzüğü
implementing regulation (eec48(3,d))|implementing regulation (eec48	yönetmelik
import	ithalat
import deposit	ithalat teminatı
import levy	ithalat prelevmanı
import regime	ithalat rejimi
import substitution	ithal ikamesi
improper action	aykırı davranış, uygunsuz davranış
in accordance with	uygun olarak
in camera (225)|in camera	kapalı(gizli) oturum
in case of urgency	acil durumda
in cash or in kind (eec119)|in cash or in kind	ayni veya nakdi olarak
in close contact with	ile yakın ilişkide olarak
in conformity with the guidelines	kılavuzlara uygun olarak
in consultation with	danışarak, istişare ederek
in law or in fact (133(5))|in law or in fact (133	hukuken veya fiilen
in one's personal capacity (eec194)|in one's personal capacity	kişisel yetkinliği çerçevesinde
in particular Article(s) ... thereof	özellikle ... numaralı maddelerini ..
in-situ restructuring	mekanda yeniden yapılanma
in the event of war	savaş durumunda
income	gelir
income tax	gelir vergisi
indemnity payments	tazminat ödemesi
indirect tax	dolaylı vergi
individual	bireysel
individual earnings (eec39(1,b))|individual earnings (eec39	bireysel kazanç
individual exemption	bireysel muafiyet
industrial component	sanayi payı
industrial good	sınai mal
industrial plant	endüstri tesisi, sanayi tesisi
industrial property	sınai mülkiyet
industrial property (eec36)|industrial property	sınai mülkiyet
industry	sanayi, endüstri
Industry Policy	Sanayi Politikası
infant mortality rate	çocuk ölüm oranı
inform	haberdar etmek, bilgilendirmek
information	bilgi
information-network system	Bilgi-Ağı sistemi
infrastructure works	altyapı çalışmaları
infringement	ihlal
initiate	başlatmak, girişmek
inland waterway	iç su yolu taşımacılığı
innovation	yenilik
Innovation Relay Centres	Yenilik Aktarım Merkezleri
inspection	teftiş, denetim
installed capacity	kurulu güç
institute	enstitü
institution	kurum
institutions	kurumlar
instruction	talimat
instrument	belge, araç; alet
instrument of accession (ecsc98)|instrument of accession	katılım belgesi
instrument of ratification	onay belgesi
instrument of ratification (247)|instrument of ratification	onay belgesi
Instruments of the European Community	AT Hukukunun Düzenleme Araçları
insulation standard	yalıtım standardı
insurance	sigorta
insurance contract (98(1))|insurance contract (98	sigorta sözleşmesi, sigorta akdi
insurance services	sigorta hizmetleri
intangible goods	gayrimaddi mallar
Integrated Customs Tariff of the European Communities (TARIC)|Integrated Customs Tariff of the European Communities	Avrupa Toplulukları Entegre Gümrük Tarifesi
integration	bütünleşme
Intellectual and Industrial Property	Fikri ve Sınai Mülkiyet
intend	niyet etmek
intending to ...	niyetiyle
inter-enterprise agreement	şirketler arası anlaşma
inter-regional differences in terms of development	bölgeler arası gelişmişlik farkları
interdiction of smuggling	kaçakçılığın men edilmesi
interest	menfaat, çıkar; yarar
interest rate	faiz oranı
Intergovernmental Conference	Hükümetlerarası Konferans
interim	geçici, muvakkat
Interim Agreement (1973)|Interim Agreement	Geçici Anlaşma
interim measures (ecsc66(5,3))|interim measures (ecsc66	geçici önlemler
Interim Protocol (1963)|Interim Protocol	Geçici Protokol
Interim Regulation	Geçici Tüzük
intermediate goods	ara malları
internal market	iç pazar
international	uluslar arası
international arbitration	uluslar arası tahkim
International Court of Justice (ICJ)|International Court of Justice	Uluslar arası Adalet Divanı
international standardization organizations	uluslararası standardizasyon kuruluşları
interpret	yorumlamak
intervention	müdahale
intervention price	müdahale fiyatı
interventions on the agricultural market	tarım piyasasına müdahaleler
introduce (eec14(3))|introduce (eec14	yürürlüğe koymak; getirmek, başlatmak
introductory guidelines	tanıtma kılavuzları
invested capital	yatırıma dönüştürülmüş sermaye
investigate	araştırmak
investigation	araştırma
investment	yatırım
investment allowance	yatırım indirimi
investment authorisation	yatırım izni
investment authorization	yatırım izni
investment certificate	teşvik belgesi
invite	davet etmek
inward processing procedure	dahilde işleme usülü
inward processing regime	dahilde işleme rejimi
irrespective of the provisions of the Article x	x maddesi hükümlerinden bağımsız olarak
issuing payment order	verile emri
It shall apply from ... to ...	.. den ... e kadar uygulamada kalır
it shall expire on ..	uygulama süresi ... tarihinde dolar
items of the tariff	tarife kalemleri
joint	karma, ortak
joint action	ortak eylem
joint commission (committee)|joint commission	karma komisyon (komite)
joint financing (6)|joint financing	ortak finansman
Joint Parliamentary Commission	Karma Parlamento Komisyonu
joint position	ortak tutum
Joint Principles	Ortak İlkeler
joint stock company	anonim şirket
joint venture	ortak girişim
journal	gazete
judgment	yargı, hüküm
judgment of the Court of Justice	Adalet Divanı kararı
judicial	adli, tüzel, kanuni
judicial cooperation	adli işbirliği
jurisdiction	yargı yetkisi
jurist consult (eec167(1))|jurist consult (eec167	hukuk danışmanı
justice	adalet
Justice and Home Affairs (JHA)|Justice and Home Affairs	Adalet ve İçişleri
label	etiket
labelling	etiketleme
labelling of domestic appliances	ev aletlerinin etiketlendirilmesi
laboratory	laboratuar
laboratory certification	laboratuar belgelendirmesi
labour	İşgücü iş, çalışma
labour force	iş gücü
labour force participation rate	işgücüne katılım oranı
labour market	iş gücü piyasası
labour requirements	iş gücü gereksinimi
land	arazi, toprak
land arrangement	arazi düzenlemesi
land consolidation	arazi toplulaştırılması
land filling	düzenli depolama
land registration system	arazi kayıt sistemi
land use plan	arazi kullanım planı
last product	son ürün
law	hukuk, yasa, kanun,mevzuat
law enforcement personnel	yasa uygulayıcıları
Law on the Protection of Cultural and Natural Heritage	Kültür ve Tabiat Varlıklarını Koruma Kanunu
legal	kanuni, yasal, adli
legal arrangement	yasal düzenleme
legal capacity	hukuki ehliyet
legal conformity	yasal uygunluk, hukuki uygunluk
legal instruments	hukuki araçlar
legal personality	tüzel kişilik
Legislation	mevzuat, yasama, kanun yapma
Legislation of the European Communities	Avrupa Toplulukları Mevzuatı
less favoured region	en az gelişmiş bölge
level	seviye, düzey
level of activity (ecsc58(2))|level of activity (ecsc58	iş hacmi
level of employment (104)|level of employment	istihdam düzeyi
level of prices (eec104)|level of prices	fiyat düzeyi
levy	vergi,prelevman
liability	sorumluluk, mükellefiyet
liberal professions	serbest meslekler
liberalisation	serbestleştirme
liberalisation of banking services (eec 61(2))|liberalisation of banking services (eec 61	banka hizmetlerinin serbestleşmesi
liberalisation of movement of capital (eec 61(2))|liberalisation of movement of capital (eec 61	sermaye dolaşımının serbestleştirilmesi
liberalization of banking services (eec 61(2))|liberalization of banking services (eec 61	banka hizmetlerinin serbestleşmesi
liberalization of foreign trade	dış ticaretin serbestleştirilmesi
liberalization of movement of capital (eec 61(2))|liberalization of movement of capital (eec 61	sermaye dolaşımının serbestleştirilmesi
liberalization of payments (eec106(1))|liberalization of payments (eec106	ödemelerin serbestleştirilmesi
liberalization of services (eec106(2))|liberalization of services (eec106	hizmetlerin serbestleşmesi
licence	lisans, ruhsat
lifting and mechanical handling appliances	Kaldırma ve Mekanik Taşıma Araçları
lignite pit	linyit işletmesi
limit	limit, sınır, had
limitation of noise emission	gürültü sınırlandırılması
limited liability companies	limited şirket
liquidation	tasfiye
loan	ödünç, borç
local distribution company	yerel dağıtım şirketi
local government	yerel yönetim
Lomé Convention (1975)|Lomé Convention	Lomé Sözleşmesi
long	uzun
long steel production	uzun çelik üretimi
long-term commitments (61)|long-term commitments	uzun vadeli taahhütler
loss	zarar, kayıp
lump sum price	götürü bedel
Luxemburg Compromise (1966)|Luxemburg Compromise	Lüksemburg Uzlaşması (1966)
maintanence	bakım, tamir,idame
maintanence service	bakım hizmeti
majority	çoğunluk
make	yapmak
mandatory	zorlayıcı, zaruri
mandatory instructions (eec194)|mandatory instructions	(zorlayıcı) talimat
manufacture	imalat
manufactured goods	mamul mallar
manufacturing industry	imalat sanayi
maritime	denizciliğe ait
maritime freight (Annex III)|maritime freight	navlun
market	pazar,piyasa
market inspection	piyasa denetimi
market price	piyasa fiyatı
market share threshold	pazar payı eşiği
market surveillance	piyasa gözetimi
marketing	pazarlama
material	madde
maternity insurance	Analık sigortası
mayor	belediye başkanı
measure	önlem, ölçüm
measurement station	ölçüm istasyonu
measures taken by the Council	Konsey tarafından alınan önlemler
measuring instruments	ölçü aletleri
medical and allied professions (eec57(2))|medical and allied professions (eec57	hekimlik ve yardımcı hekimlik meslekleri
medical devices	tıbbi cihazlar
medicinal products/ pharmaceuticals	tıbbi ürünler
medicine	ilaç
medicine for humans	beşeri ilaçlar
Mediterranean	Akdeniz
Medpartneriat	Akdeniz Ortaklığı
meet	bir araya gelmek, buluşmak
member	üye
Member of the Commission	Komisyon üyesi
member state	üye devlet
member states shall abstain from ...	üye devletler ..den kaçınırlar
member states shall retain the right	üye devletler.. Hakkını saklı tutar
membership criteria	üyelik kriterleri
memorandum	zabıt,andıç
memorandum of understanding	mutabakat zaptı
merge	birleşmek
merger	birleşme
Merger Treaty (1967)|Merger Treaty	Birleşme Antlaşması (1967)
method	metod, yöntem
method of calculation (eec40(3))|method of calculation (eec40	hesaplama yöntemi
methods of cooperation (eec162(1)|methods of cooperation (eec162	işbirliği yöntemleri
methods of sampling and analysis	numune alma ve analiz yöntemleri
metrology	metroloji
Mid-term evaluation	Ara değerlendirme
migrant worker	göçmen işçi
minimal amount	asgari tutar
misleading advertisement	aldatıcı reklam
misuse of powers (173)|misuse of powers	yetkinin kötüye kullanılması
mode	usul, koşul, şart
mode of assessment	değerlendirme usulleri
mode of collection	tahsil usülleri
modified cash system	uyarlanmış nakit esası
monetary	parasal
money	para
money laundering	kara paranın aklanması
monitor	izlemek, denetlemek
monopolies delegated by the state to others (eec37(1))|monopolies delegated by the state to others (eec37	Devletçe yetkili kılınan tekel
monopoly	monopol, tekel
Most Favoured Nation(MFN)|Most Favoured Nation	En Çok Kayrılan Ülke
motion	önerge, teklif
motion of censure	gensoru
motor vehicles	motorlu taşıtlar
movable and immovable cultural and natural properties	taşınır ve taşınmaz kültür ve tabiat varlıkları
moveable property	menkul mallar
movement	dolaşım, hareket
Movement Certificates	Dolaşım Belgeleri
Multi Annual Programme for Enterprise and Entrepreneurship	İşletmeler Çok Yıllı Programı
Multi-Fibre Agreement (MFA)|Multi-Fibre Agreement	Çok Elyaflılar Anlaşması
multilateral trade negotiations	çok taraflı ticaret müzakereleri
municipal	belediyeye ait
municipal committee	belediye encümeni
municipal council	belediye meclisi
municipality	belediye
mutual	karşılıklı
mutual advantage (eec18)|mutual advantage	karşılıklı yarar
mutual assistance	karşılıklı yardım
mutual assistance (eec108(1,2))|mutual assistance (eec108	karşılıklı yardımlaşma
mutual preferential regime	karşılıklı tercihli rejim
mutual recognition	karşılıklı tanıma
mutual recognition (eec220)|mutual recognition	karşılıklı tanıma
nation	ulus
national authority (eec192)|national authority	ulusal makam
National Development Plan (NDP)|National Development Plan	Ulusal Kalkınma Planı
National Energy Conservation Centre (NECC)|National Energy Conservation Centre	Ulusal Enerji Tasarrufu Merkezi (UETM)
National Environmental Action Plan (NEAP)|National Environmental Action Plan	Ulusal Çevre Eylem Planı (UÇEP)
national park	milli park
nationals (eec58,59)|nationals	uyruklar
nationals of a Member State	bir Üye Devletin uyrukları
nationals of a Member State (eec157(1))|nationals of a Member State (eec157	bir Üye Devletin uyrukları
natural assets	doğal varlıklar
natural disaster	doğal afet
natural spring water	doğal kaynak suyu
nature	doğa
nature monuments	doğal anıtlar
nature park	doğal park
nature protection zone	doğa koruma alanı
negative clearance	menfi tespit
negotiation	müzakere, görüşme
New Approach Directives	Yeni Yaklaşım Direktifleri
Nice Treaty	Nice Antlaşması
noise	gürültü
noise pollution	gürültü kirliliği
nomenclature	nomenklatür
Nomenclature of Units for Territorial Statistics (NUTS)|Nomenclature of Units for Territorial Statistics	İstatistiki Bölge Birimleri Sınıflandırması
non-budgetary public spending	bütçe dışı kamu harcaması
non-contractual liability (eec215)|non-contractual liability	sözleşme dışı sorumluluk
non-discrimination principle	ayrımcılık yapmama ilkesi
non-patented	patenti alınmamış
non-profit	kar amacı gütmeyen
non-tariff barriers to trade	ticarette tarife dışı engeller
normal bona fide commercial practice (eec AnnexIII)|normal bona fide commercial practice	iyiniyetli ticari uygulama
note	not, kaydetmek
notes	dikkat eder, kaydeder
notification	bildirim
notification of inter-enterprise agreement	şirketler arası anlaşmaya ilişkin bildirim
Notified Bodies Logistics Support (NBLS)|Notified Bodies Logistics Support	Yetkilendirilmiş Kuruluşlara Lojistik Destek
notified body	onaylanmış kuruluş
noting that...(in Recommendations)|noting that...	Kaydederek (Tavsiyelerde)
noxious chemical substances	zararlı kimyasal maddeler
nuclear	nükleer
nullification of tariffs	gümrük vergilerinin sıfırlanması(kaldırılması)
oath	ant, yemin
objective	amaç, gaye
objectives laid down in Article x (14(6))|objectives laid down in Article x (14	madde x de yer alan amaçlar
obligation	yükümlülük
obligations arising from their duties	görevlerinden kaynaklanan yükümlülükler
occupation	uğraş,meslek
occupational accident	iş kazası
occupational disease (eec118)|occupational disease	meslek hastalığı
occupational mobility (eec123)|occupational mobility	mesleki hareketlilik
occupational safety	iş güvenliği
occupational safety (ecsc55(1))|occupational safety (ecsc55	iş güvenliği
