##name	Bodybuilding Jargon
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Rossella Pruneti.
##description	The jargon bodybuilders use to describe their exercises, their equipments, their bodies and their feelings while working out and competing on the stages.
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2000/09/30, 12:04
##bgl_middleUpdated	2000/11/04, 21:57
'oids|'roids|gear|juice|sauce|steroids	short for <a href="bword://steroids">steroids</A> .
flat chest fly	exercise for the chest.<HR>Directions: lie on the <a href="bword://weight bench">bench</A> . Hold a <a href="bword://dumbbell">dumbbell</A> in each hand and press the <a href="bword://dumbbell">dumbbells</A> directly above your chest, palms facing each other. Spreading your arms apart so that your elbows travel down and to the sides, lower the <a href="bword://dumbbell">dumbbells</A> until your elbows are just below your shoulders. Maintaining a costant bend in your elbows, lift the <a href="bword://dumbbell">dumbbells</A> back up.
flush	to increase the blood and nutrient supply to a muscle.<BR>
flushing	a technique and a <a href="bword://Weider Principle">Weider Principle</A> which causes the muscles to be flushed with blood and produce a satisfying <a href="bword://pump">pump</A>. It involves doing multiple<a href="bword:// set"> sets</A> for each body part.
flyes|flys	an exercise targetting the <a href="bword://pectorals">pectorals</A> usually performed by lying face-up on a flat, decline, or incline bench with arms almost straight (don't lock out your elbows, just keep the elbow joint at the same angle through the movement and move only the your shoulder joint) and a <a href="bword://dumbbell">dumbbell</A> in each hand. Raise the weights slowly until they are directly above your chest, lower them back out to the sides; repeat. <BR>
flys|flyes	<I>See </I><a href="bword:// flyes"> flyes.</A>
forced reps	<a href="bword://reps">reps</A> performed with the assistance from a <a href="bword://spotter">spotter</A> after a lifter has reaches the point of failure with a given weight.
freak	bodybuilder with inhuman size or unproportionated muscles.
free hand movement	any exercise you can perform without exercise equipment.
free weights|freeweights	equipment moved in the performance of an exercise which is simply raised and lowered as a complete unit. So called because the weight is free to move in any direction and in any manner the lifter can manage. Free weights include <a href="bword://barbell">barbells</A> and <a href="bword://dumbbell">dumbbells</A> .<BR>
front double biceps	a <a href="bword://compulsory pose">compulsory pose</A> .<BR>Directions: Standing face front to the judges, with the legs and feet in-line and a short distance apart, the competitor will raise both arms to shoulder level and bend them at the elbows. The hands should be clenched and turned down so as to cause a contraction of the biceps and forearm muscles, which are the main muscle groups that are to be assessed in this pose. In addition, the competitor should attempt to contract as many other muscles as possible.<BR><I>For pics and more see</I> <a href="http://www.ifbb.com">IFBB website</A> .<BR>
front lat spread	a compulsory pose. Only for male competitors.<BR><BR>Directions: Standing face front to the judges, with the legs and feet a short distance apart, the competitor will place the open hands, or clenched fists, against, or gripping, the lower waist or obliques and will expand the latissimus muscles. At the same time, the competitor should attempt to contract as many other frontal muscles as possible. <BR><BR><I>For pics and more see</I> <a href="http://www.ifbb.com">IFBB website</A> .<BR>
front raise	exercise for the front portion of the <a href="bword://delts">delts</A>.<HR>Directions: hold a <a href="bword://dumbbell">dumbbell</A>in each hand and stand up. Let your arms hang down at your sides. Raise your arm up to shoulder height and then lower it back down. Continue alternating until you complete the <a href="bword://set">set</A>.
front squats	exercise for the <a href="bword://quads">quads</A> and <a href="bword://glutes">glutes</A>.<HR>Directions: same as <a href="bword://squats">squats</A>, but
full	adjective to describe the appearance of muscle pressing against skin when the muscle has good quality and is healthy.
gear|'roids|juice|steroids	slang for <a href="bword://steroids">steroids</A>, syringes, anything associated with the use of steroids.<BR>
giant set	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which you do a series of 4 to 6 exercises - with little or no rest in between - for one muscle group. The series are repeated 3 to 4 times.
glutes|bottoms|buns|gluteus maximus	short for <a href="bword://gluteus maximus">gluteus maximus</A> .
gluteus maximus|buns|glutes	the largest of the muscles forming each of the human buttocks that extend the hips.
grind out a workout|grunt out a workout	<I>v. </I>a term bodybuilders use to indicate what they do to get through a particularly arduous workout.
grip	holding onto the <a href="bword://bar">bar</A> (or other object); many exercises can be performed with multiple grip styles and the type of grip used will affect the amount of weight that can be used, the safety of the movement, and the muscles targeted. <BR>
grunt out a workout|grind it out	<I>v. </I>a term bodybuilders use to indicate what they do to get through a particularly arduous workout.
guns	another word for<a href="bword:// biceps"> biceps</A>
gynecomastia|gyno	condition occurring among male bodybuilders who take <a href="bword://steroids">steroids</A> . It is due to an increase in the production of estrogen and a concomitant growth of mammary glands
gyno	abbreviated jargon for gynecomastia.
hack squats	exercise for <a href="bword://quads">quads</A> and <a href="bword://glutes">glutes</A>.<HR>Directions: position yourself in the hack squat machine. Squat down until your thighs are about parallel to the floor. Come back up, but don't lock out - keep constant tension in your <a href="bword://quads">quads</A>.
hammer curl	exercise for the <a href="bword://biceps">biceps</A>.<HR>Directions: a variation on the bicep <a href="bword://curl">curl</A> in which a <a href="bword://neutral grip">neutral grip</A> is used throughout the movement, which transfers more force onto the brachioradialis by reducing the leverage of the <a href="bword://biceps">biceps</A> at the top of the movement. <BR>
hams	jargon abbreviation for <a href="bword://hamstrings">hamstrings,</A> , rear thighs.
hamstrings	another word for <a href="bword://biceps femoris">biceps femoris</A>.
hard	adjective to describe a bodybuilder with little subcutaneous <a href="bword://fat">fat</A> and <a href="bword://water retention">water retention</A>.
hardbody	female athletes - in fitness or in bodybuilding contests - who are so toned, so good looking, with excellent physique.
holistic training	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which the training includes a variety of heavy/low reps to light/high reps in order to maximize your results.
horseshoe	a <a href="bword://cable attachments">cable attachments</A> that you grasp with one hand. It is commonly used for numerous chest, arm, and back exercises in which you work each side individually.
hyperextensions	<I>of a joint:</I> bending it beyond its normal range of motion <HR><I>as an exercise</I>: &quothyperextensions" are performed using a roman chair which supports one's legs and hips in a horizontal, prone position. Either with or without a weight, one then bends at the hips, lowering one's head and shoulders until one's torso is close to vertical. Then, by contracting the glutes and spinal erectors , one raises one's torso back upwards to above the horizontal. <BR>
incline barbell bench press	exercise for the upper chest<HR>Directions: same as <a href="bword://bench press">bench press</A> except you incline the <a href="bword://weight bench">bench</A> a few inches and you grasp a <a href="bword://dumbbell">dumbbell</A> in each hand.
incline bench press|incline press	exercise for the upper chest.<HR>Directions: same as the <a href="bword://bench press">bench press</A> , except you incline the bench a few inches.
incline chest fly	exercise for the chest.<HR>Directions: same as the <a href="bword://flat chest fly">flat chest fly</A>, except you incline the <a href="bword://weight bench">bench</A> a few inches.
incline chest press	exercise for the upper chest.<HR>Directions: same as <a href="bword://dumbbell chest press">dumbbell chest press</A>, except you incline the <a href="bword://weight bench">bench</A> a few inches.
incline press|incline bench press	<I>See </I><a href="bword://incline bench press">incline bench press</A><I>.</I>
instinctive training	system where you're supposed to train accordingly to how your body feels and with whatever weights and movements you feel like doing. <BR>
intermediate bodybuilder	a bodybuilder who have trained 9 to 12 months.<BR><I>See also </I><a href="bword://beginner bodybuilder">beginner bodybuilder</A> <I>, and </I><a href="bword://advanced bodybuilder">advanced bodybuilder</A><I>. </I>
isokinetic	a type of exercise in which there is accomodating resistance.
isolation	a technique and a <a href="bword://Weider Principle">Weider Principle</A> that focuses work on an individual muscle without secondary or assisting muscle groups being involved, which provides maximal muscle shape. <BR>
isolation exercises|isolation movement	exercises which involve only one muscle and one joint . <BR>
isometric	a type of exercise involving muscle contraction in which the muscle mantains a costant length and joints do not move. Isometric exercises are done by tightening the muscles without moving any part of the body. They are usually performed against a wall or other immovable objects, such as by pushing against a brick wall instead of lifting a weight <BR>
isotension	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which - without using any weights - you flex the muscle you've been working and hold it in the peak contracted position for three to six seconds at the end of the last <a href="bword://set">set</A> of every body part workout. It helps to feel the muscle and to create the <a href="bword://mind-muscle link">mind-muscle link</A>.
isotonic	a type of exercise involving muscle action in which there is a change in length of muscle and weight, keeping tension constant, such as in working with <a href="bword://free weights">free weights</A>.
jefferson squat	a variation on the <a href="bword://squat">squat</A> which is performed with the <a href="bword://bar">bar</A> held in the hands, usually using a <a href="bword://reverse grip">reverse grip</A> with one end of the bar in front of the lifter and the other behind. The movement is a lot like a <a href="bword://deadlift">deadlift</A>, except that the bar is rotated close to ninety degrees and generally is not allowed to touch the floor at the bottom of the movement. <BR>
juice|'oids|'roids|gear|sauce|steroids	short for <a href="bword://steroids">steroids</A> .
kickback	exercise for the <a href="bword://triceps">triceps</A>.<HR>Directions: hold a <a href="bword://dumbbell">dumbbell</A> in your right hand and stand next to the long side of a <a href="bword://weight bench">bench</A>. Lean forward at the hips - your upper body is at 45-degree angle to the floor. Place your free hand on the <a href="bword://weight bench">bench</A> for balance. Keep your right elbow close to your torso and bend your right elbow so that your upper arm is parallel to the floor, your forearm is perpendicular to it, and your palm faces in. Keeping the right upper arm still, straighten your arm behind you until the end of the <a href="bword://dumbbell">dumbbell</A> is pointing down. Slowly bend your arm to the starting position.
knurled	a groved or roughened area along the length of a <a href="bword://bar">bar</A> to increase ease of gripping or to lessen the tendency to slip .
lat pulldown	exercise for the back.<HR>Directions: grasp the <a href="bword://bar">bar</A> of a lat machine with an <a href="bword://overhand grip">overhand grip</A> and your hands slightly wider than shoulder-width apart. Seat down and in a smooth motion pull the <a href="bword://bar">bar</A> down to the top of your chest. Hold the position for a moment, then slowly raise the <a href="bword://bar">bar</A> back up.
lateral raise	exercise for the <a href="bword://delts">delts</A> .<HR>Directions: performed by standing or sitting with the torso erect while holding a <a href="bword://dumbbell">dumbbell</A> in each hand. The <a href="bword://dumbbell">dumbbells</A> are raised slowly out to the sides until they are at shoulder level and then slowly lowered.<BR><I>See also </I><a href="bword://seated lateral raise">seated lateral raise</A> <I>, </I><a href="bword://cable lateral raise">cable lateral raise</A> .<BR>
laterals|lateral raises	jargon short for <a href="bword://lateral raises">lateral raises</A>.
latissimus dorsi	lateral muscles of the back.<BR><img src="CC4A9677.jpg" width="239" height="256">
lats|latissimus dorsi	abbreviated jargon for <a href="bword://latissimus dorsi">latissimus dorsi</A> .
lean	adjective to describe a bodybuilder who has little <a href="bword://subcutaneous">subcutaneous</A> <a href="bword://water retention">water</A> and <a href="bword://fat">fat</A> after dieting properly.
lean body mass|LBM	fat free body tissue, comprising mostly muscle. <BR>
leg curl	<I>See </I><a href="bword://leg curl machine">leg curl machine</A><I> def. 2. </I>
leg curl machine	1 - a piece of equipment to train the <a href="bword://hams">hams</A> .<BR><img src="8634B165.jpg" align="center" width="110" height="117"><HR>2 - exercise for the <a href="bword://hams">hams</A> .<BR>Directions: set the ankle pads of the machine so that when you lie on your stomach, the underside of the pads are flush with the tops of your heels. Bend your knees to lift the ankle bar until your calves are perpendicular to the floor. Then slowly straighten your legs.
leg extension machine	1 - a piece of equipment to train the<a href="bword:// quads"> quads</A> .<BR><img src="63DFCCCD.jpg" align="center" width="110" height="119"><HR>2 - exercise for the <a href="bword://quads">quads</A> .<BR>Directions: set the machine so that the center of your knee is lined up with the machine <a href="bword://pulley">pulley</A> . Sit down. Straighen your legs to lift tha ankle bar until your knees are straight. Hold for a second at the top position, and then slowly bend your knees.
leg press	1 - a piece of equipment to train the legs.<BR><img src="912B17B0.jpg" align="center" width="110" height="91"><HR>2 - exercise for the <a href="bword://quads">quads</A> , and <a href="bword://glutes">glutes</A> .<BR>Directions: position yourself in a leg press machine. Bend your knees toward your shoulders and lower the weight as far as possible. Press the weight back up again until your legs are fully extended.
leg's day	jargon locution for the day of your routine when you train legs.
ligament	the connective tissue that attaches one bone to another.
long bar	a <a href="bword://cable attachments">cable attachment</A> commonly used for back exercises.<BR><img src="0C972C0E.jpg" align="center" width="235" height="33">
lower back	jargon term for erector spinae, muscles that run the entire length of your spine.<BR><I>See also </I><a href="bword://upper back">upper back</A><I>.</I>
lunge	exercise for <a href="bword://quads">quads</A>, <a href="bword://glutes">glutes</A>, and <a href="bword://hams">hams</A>.<HR>Directions: hold a <a href="bword://dumbbell">dumbbell</A> in each hand with your arms down at your sides, or place a <a href="bword://barbell">barbell</A> behind your neck and across your shoulders. Step your right foot forward about a stride's length. As your foot touches the floor, bend both knees until your right thigh is parallel to the floor and your left thigh is perpendicular to it. Press off the ball of your foot and step back to the standing position. Repeat. You can alternate legs.
lying leg curl	<I>See</I> <a href="bword://leg curl machine">leg curl machine</A> .<BR><img src="8634B165.jpg" align="center" width="110" height="117">
machine pullover	exercise for the chest and back.<HR>Directions: same as <a href="bword://pullover">pullover</A>, using the machine that mimics the movement.
mandatory pose|compulsory pose	round during an event where the athletes are not compared to each other, but within themselves. The athlete has to show that his body is within itself complete. The round comprises 7 mandatory poses for men and 5 for women.<BR>The mandatory poses are the following: <a href="bword://front double biceps">front double biceps</A>, <a href="bword://front lat spread">front lat spread</A>, <a href="bword://side chest">side chest</A>, <a href="bword://back double biceps">back double biceps</A>, <a href="bword://rear lat spread">rear lat spread</A>, <a href="bword://side triceps">side triceps</A> and <a href="bword://abdominals and thighs">abs and thighs</A>. Women are not requested to hit the <a href="bword://front lat spread">front lat spread</A>.
mass	jargon for lots of muscle size
mass cycle	in <a href="bword://cycle training">cycle training</A> , when you train with moderate to heavy weights; no more than 90 seconds of <a href="bword://rest">rest</A> between <a href="bword://set">sets</A> ; 6 to 10 <a href="bword://reps">reps</A> for upper body and 8 to 20 <a href="bword://reps">reps</A> for lower body.
meal replacement powder|MRP	instant milkshakes with added protein.
mesomorph	one of the three basic body types. Characterized by great strength; thick muscles and heavy bone structure .<BR><I>See also </I><a href="bword://ectomorph">ectomorph</A><I> , </I><a href="bword://endomorph">endomorph</A><I> .</I>
military press	exercise for the <a href="bword://delts">delts</A>.<HR>Directions: sit on a <a href="bword://weight bench">bench</A> with back support and a barbell set behind you higher than chest level. Press the <a href="bword://barbell">barbell</A> straight overheard from shoulder height to full arm extension with an erect torso. <BR>
mind-muscle link	when you get the mind into the muscle, rather than thinking about the weight itself, and you do feel what the muscle is doing. It is the key to success in your workouts.
multi-joint exercises	exercises that requires more than one joint to complete.
muscle confusion	a technique and a <a href="bword://Weider Principle">Weider Principle</A> used to keep the body growing and getting stronger without letting muscles adapt to the training demands placed upon them. It involves to vary your <a href="bword://set">sets</A> , <a href="bword://reps">reps</A> , <a href="bword://rest">rest</A> , weight used and exercise angles during each workout. <BR>
muscle fiber	a basic contracting unit of striated muscle.
muscle priority	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which you train your weakest body part first in your workout, when your energy level is highest.
muscular endurance	the ability of a muscle to perform longer.
natural contest	contests with the term “natural,” in them are used to designate shows that are to be free of banned drugs which aid in the bodybuilding process. Each contest has it’s own banned substances and time limits for being drug free. <BR>
negatives	a techinque and a <a href="bword://Weider Principle">Weider Principle</A> of resisting gravity by lowering the weight slowly and under control.<BR>
neutral grip	a style of <a href="bword://grip">grip</A> in which your palms are facing towards each other.
nickels	5 pound <a href="bword://plate">plates</A> that you put on an <a href="bword://Olympic barbell">Olympic barbell</A> .
obliques	internal and external obliques, the muscles that run diagonally down the sides of your rectus abdominis.<BR><img src="26536A7C.jpg" width="148" height="245">
oil	slang term for <a href="bword://synthol">synthol</A>.
one-arm dumbbell row	exercise for the back.<HR>Directions: stand next to a <a href="bword://weight bench">weight bench</A> and hold a <a href="bword://dumbbell">dumbbell</A> with your palm facing in. Place the other hand on top of the <a href="bword://weight bench">bench</A> for support and let the <a href="bword://dumbbell">dumbbell</A> hang down. Pull the <a href="bword://dumbbell">dumbbell</A> up until your elbow is pointing to the ceiling. Lower the <a href="bword://dumbbell">dumbbell</A> slowly back down.
one-hand triceps pushdown	exercise for the <a href="bword://triceps">triceps</A> .<HR>Directions: attach the <a href="bword://horseshoe">horseshoe</A> to the high cable <a href="bword://pulley">pulley</A>. Grasp the <a href="bword://horseshoe">horseshoe</A> with one hand in an <a href="bword://underhand grip">underhand grip</A>. Strainghten your arm, pushing the <a href="bword://horseshoe">horseshoe</A> until it is alongside your hip. Then slowly raise the <a href="bword://horseshoe">horseshoe</A> back up. Alternate hand.
one-leg calf raise	exercise for the calves.<HR>Directions: same as the <a href="bword://standing calf raise">standing calf raise</A>, except you work one calf at a time. Bend one knee behind you and raise the heel of your other foot up and down. After you have done the set, repeat with the other leg.
overall package	terms udes by bodybuilding judges and officials to describe the overall appearance of bodybuilders on stage.
overhand grip	<I>See </I><a href="bword://supinated grip">supinated grip</A>.
overhead presses	exercise for the shoulders.<HR>Directions: either standing or seated, in front of or behind your neck. Take a slightly wider than shoulder-width <a href="bword://grip">grip</A> and, in a controlled manner, lower the <a href="bword://bar">bar</A> behind your neck to the upper trapezius (or the upper-clavicle area, if you prefer pressing from the front). Keep your elbows pointed down, not back.
overtraining	training beyond the body's ability to repair itself. This can be caused by training the same body parts too frequently so that the body does not have time to recover before the next workout; workouts that are consistently harder than the body is able to recover from fully; or impairment of the body's normal recovery ability due to nutritional deficiencies, illness, or stress. <BR>
pack of six	another slang term for <a href="bword://abs">abs</A>.
partial reps	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which you do partial <a href="bword://reps">reps</A> at the beginning, midpoint, or finish position of exercises. It involves using much higher poundages, which greatly strengthen the muscle and connective tissue.
peak contraction	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which you keep full, costant tension in a muscle when it's in the fully contracted position. It helps to peak and striate muscles.<BR>See also <a href="bword://peaking">peaking</A>.
peaking	1 - the short time as a bodybuilder prepares for a contest, he/she is in top condition. <a href="bword://Bodyfat">Bodyfat</A> is cutted to an unsusually low level to bring out maximum muscularity.<HR>2 - an exercise situation in which you get maximal isolation of a specific muscle being worked.<BR>See also <a href="bword://peak contraction">peak contraction</A>.
pecs|pectorals	abbreviated jargon for <a href="bword://pectorals">pectorals</A> , chest.
pectorals|pecs	technical name for your chest muscles. Especially, for gym jargon, the pectoralis major and the pectoralis minor.<BR><img src="CEB0684B.jpg" width="227" height="236">
pelvic tilt	exercise for the <a href="bword://lower back">lower back</A>, <a href="bword://abdominals">abdominals</A>, and <a href="bword://hamstrings">hamstrings</A>.<HR>Directions: lie on your back with your knees bent and fleet flat on the floor. Keeping your back against the floor, gently squeeze your butt and tilt your hips up until your rear end curls an inch or two off the floor. Hold for a moment and then slowly lower back down.
periodization|cycle training	combining individual training <a href="bword://cycle">cycles</A> : train light for several weels, then heavier, and then really heavy, and the process is cycled.
pinch grip	an exercise to increase grip strength typically performed by pinching two weight <a href="bword://plate">plates</A> together (smooth side out) and picking them up using only the fingers.<BR>
pipes|bi|bi's|biceps|bis|guns|pythons	another word for <a href="bword://biceps">biceps</A>
plate	the weights that you put on an <a href="bword://Olympic barbell">Olympic barbell</A> <BR><img src="20166524.jpg" align="center" width="140" height="170"><BR><I>See also </I><a href="bword://bumper plate">bumper plate</A> <I>.<HR></I>(<I>specifically</I>) a 45 pound weight.
posedown	after the last round of the final show, while the judges calculate the placings, the athletes perform a pose down to work up the crowd and show their best poses.<BR>
posing routine|free posing round	during an event it is where each competitor gets to express their muscularity how they see fit. Usually, this round is accompanied by music
poundage	the amount of weight or resistance (in pounds/lbs.) used in an exercise<BR>
power cycle	in <a href="bword://cycle training">cycle training</A> , when you train with heavy weights; up to 3 seconds of <a href="bword://rest">rest</A> between <a href="bword://set">sets</A> ; 3 to 8 <a href="bword://reps">reps</A> for upper- and lower-body movements.
power rack|rack	a safety apparatus that has two thick, adjustable steel pins that the barbell rests upon. It is used to perform <a href="bword://squats">squats</A> , <a href="bword://shrugs">shrugs</A> , <a href="bword://deadlift">deadlifts</A> , and <a href="bword://presses">presses</A> .<BR>
pre-exhaustion	a technique and a <a href="bword://Weider Principle">Weider Principle</A> where you work a muscle group to the point of fatigue iin its primary motion using an <a href="bword://isolation exercises">isolation movement</A> , then immediately <a href="bword://superset">superset</A> that exercise with a secondary motion using a basic movement.
preacher curls	a variation of bicep <a href="bword://curl">curls</A> in which the back of the arm is supported, generally on a preacher bench and usually but not necessarily with the elbow placed forward of the shoulder. <BR><I>See also </I><a href="bword://Scott curls">Scott curls</A> <I>.</I><BR>
prejudging	the early phase of a contest. It shall be open to the general public, and shall take place the day after the registration/weigh-in. <BR>It shall immediately follow the <a href="bword://elimination round">elimination round</A> and shall proceed as follows: all 15 finalists shall be called back onstage as a group, in a single line and in numerical order. As a group, they shall be directed to perform two turns in the relaxed position, front and back. The judges shall then go straight to the comparisons of the following seven compulsory poses (five for women and couples), up to a maximum of five athletes at a time.<BR><BR><I>For more see </I><a href="http://www.ifbb.com">IFBB website</A> <I>.</I>
program	<I>See </I><a href="bword://routine">routine</A> <I>.</I>
progressive overload	gradually adding more resistance during strength training exercises as your strength increase. In fact, to increase any level of fitness, you must make your muscles work harder than they are accustomed to working.<BR>
progressive resistance	a technique and a <a href="bword://Weider Principle">Weider Principle</A> involving to increase the weight as muscles gain strength and endurance.
pronated grip	a grip on the <a href="bword://bar">bar</A> when your palms are facing down and away from you, your thumbs are pointing inwards to each other. <BR><I>See also </I><a href="bword://supinated grip">supinated grip</A> <I>.</I>
pulldown machine	a piece of equipment which has a <a href="bword://cable">cable</A> passing over one or more <a href="bword://pulley">pulleys</A> at the top so that a downward force applied to the <a href="bword://cable">cable</A> by the lifter raises the weights at the far end of the <a href="bword://cable">cable</A> . <BR><img src="E4AA3660.jpg" align="center" width="98" height="150">
pulldowns	exercise for the upper back.<HR>Directions: grab a bar that's attached to an overhead <a href="bword://pulley">pulley</A> - lat machine - and pull it down.
pulley	1 - a freely rotating wheel used to change the direction of force applied by a <a href="bword://cable">cable</A> . <HR>2 - a piece of equipment to perform several exercises.<BR><img src="B8A276EA.jpg" align="center" width="110" height="148"><BR>
pullover|dumbbell pullover	exercise for the chest and back.<HR>Directions: holding a single <a href="bword://dumbbell">dumbbell</A> with both hands, lie on the <a href="bword://weight bench">bench</A> . Turn your palms up so that one end of the dumbell is resting in the gap between your palms and the other end is hanging down over your face. Keeping your elbow slightly bent, lower the weight behind your head. Pull the <a href="bword://dumbbell">dumbbell</A> back up overhead, keeping the same slight bend in your elbows throughout the motion.<BR>See also barbell pullover, machine pullover.
pullups	exercise for the upper back.<HR>Directions: grasp a bar above you and pull youself up.
pump	the look and feeling a bodybuilder experiences when his/her muscles engorge and swell with blood as the result of intense exercise. <BR>
pumping iron	slang for lifting weights, a phrase used since the 1950s.
push-up	exercise for strengthening the chest muscles, with additional emphasis on shoulders and <a href="bword://triceps">triceps</A> .<HR>Directions: lie on your stomach, strainghten your legs and balance on your toes. Bend your elbows and lower your entire body at once. Push back up.
pyramiding	a technique and a <a href="bword://Weider Principle">Weider Principle</A> that requires increasing the weight you use each <a href="bword://set">set</A> . Starting with a moderate weight, slowly and progressive increase the weight with each set after that. It allows you to fully warming your muscles, helping preventing injury.
pythons|bi|bi's|biceps|bis|guns|pipes	another word for <a href="bword://biceps">biceps</A>
quadriceps	the large muscle of the front of the thigh, composed of four heads: the vastus lateralis, vastus intermedius, vastus medialis, and rectus femoris.<BR><img src="D04FB4ED.jpg" width="213" height="197"> <BR>
quads|quadriceps	abbreviated jargon for <a href="bword://quadriceps">quadriceps</A> , front thighs.
quality training	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which you gradually reduce your between-sets <a href="bword://rest">rest</A> time while doing more <a href="bword://repetitions">repetitions</A> than usual (or as many as usual).
quarter-turn	during the simmetry round of an event, athletes are asked to line up. Then they do quarter turns to the right to show the judges each side of their bodies without doing any poses.The judges assess their proportion,symmetry and condition.<BR>
quarters	25 pound <a href="bword://plate">plates</A> that you put on an <a href="bword://Olympic barbell">Olympic barbell</A> .
rear delts	the rear head of the <a href="bword://deltoids">deltoids</A>.<BR><I>See also</I> <a href="bword://delts">delts</A>.
rear lat spread	<I>See </I><a href="bword://back lat spread">back lat spread</A><I>.</I>
repetitions|reps	the number of times in a <a href="bword://set">set</A> that a bodybuilder lifts a particular weight.
reps|repetitions	abbreviated jargon for <a href="bword://repetitions">repetitions.</A>
rest	the time you wait between <a href="bword://set">sets</A> in order to fully recuperate and to perform again at the same level.
rest-pause	a technique and a <a href="bword://Weider Principle">Weider Principle</A>. Do as much weight as you can for 2 to 3 <a href="bword://reps">reps</A>, rest for 30 to 45 seconds, squeeze out another 2 to 3 <a href="bword://reps">reps</A>, rest 40 to 60 seconds, do another two <a href="bword://reps">reps</A>, rest 60 to 90 seconds, then finish with 1 to 2 more <a href="bword://reps">reps</A>.
reverse crunch	exercise for the lower <a href="bword://abs">abs</A>.<HR>Directions: lie on your back with your legs up, knees slightly bent, and ankle crossed. Rest your arms on the floor beside you or behind your head. Lift your butt one or two inches off the floor so that your legs lift up and a few inches backward. Hold the position for a moment, and then lower slowly.
reverse curl	exercise for the <a href="bword://biceps">biceps</A> and forearms.<HR>Directions: Take an <a href="bword://overhand grip">overhand grip</A>. Keep your elbows close to your sides and perform a <a href="bword://biceps curl">biceps curl</A> .
reverse gravity	a technique and a <a href="bword://Weider Principle">Weider Principle</A> which involves resisting the downward force of your weights as you lower them. It is an excellent, intense way to stimulate maximum muscle growth.
reverse grip	a style of <a href="bword://grip">grip</A> in which the wrists are rotated in opposite directions (one <a href="bword://pronated grip">pronated</A> , the other <a href="bword://supinated grip">supinated</A> ). Cancelling out the tendency of the bar to rollout of the hands, it allows the lifter to hold more weight. It is most commonly used for <a href="bword://deadlift">deadlifts</A> .<BR>
reverse lunge	exercise for <a href="bword://quads">quads</A> , <a href="bword://glutes">glutes</A> , and <a href="bword://hams">hams</A> .<HR>Directions: same as <a href="bword://lunge">lunge</A>, except you step your leg behind you instead of forward.
reverse wrist curl	exercise for the forearms.<HR>Directions: same as <a href="bword://wrist curl">wrist curl</A>, except you take an <a href="bword://overhand grip">overhand grip</A>.
reverse-grip biceps curl	exercise for the <a href="bword://biceps">biceps</A>.<HR>Directions: same as <a href="bword://biceps curl">biceps curl</A>, except you hold the <a href="bword://bar">bar</A> with an <a href="bword://overhand grip">overhand grip</A>.
ripped|sliced	adjective to describe a very <a href="bword://cut">cut</A> bodybuilder whose muscles are more <a href="bword://defined">defined</A> in that some <a href="bword://cross-striations">cross-striations</A> are visible. Occurs when the bodybuilder has low <a href="bword://bodyfat">bodyfat</A> levels and excellent muscle <a href="bword://separation">separation</A>.
roids|'oids|'roids|gear|juice|sauce|steroids	short for steroids.
rope	a <a href="bword://cable attachments">cable attachment</A> commonly used for triceps exercises.
rotators	jargon term for rotator cuff, four small muscle beneath your shoulder which help hold your arm in its socket.
routine|program|workout	the routine is the sum of <a href="bword://reps">reps</A> , <a href="bword://set">sets</A> and exercises in any given workout, including the type of equipment you use. It changes over from one exercise session to the next, or over a period of weeks or months.
rows	exercise for the upper back.<HR>Directions: you can perform rows with a <a href="bword://barbell">barbell</A> or <a href="bword://dumbbell">dumbbell</A> , a set of machine handles, or a bar that attached to a low cable <a href="bword://pulley">pulley</A> .
sauce	slang for <a href="bword://steroids">steroids</A>.
seated biceps curl	exercise for the <a href="bword://biceps">biceps</A>.<HR>Directions: same as <a href="bword://biceps curl">biceps curl</A>, except you sit on a <a href="bword://weight bench">bench</A>.
seated calf machine	1 - a piece of equipment to train the calves.<HR>2 - exercise for the calves, particularly the soleus.<HR>Directions: same as the <a href="bword://standing calf raise">standing calf raise</A>, except your knees fit underneath the platform of the seated calf machine and your heels hang off the edge.
seated lateral raise	exercise for the <a href="bword://delts">delts</A> .<HR>Directions: same as <a href="bword://lateral raise">lateral raise</A>, except you sit on a <a href="bword://weight bench">bench</A> .
separation	occurs when an athlete is lean and has good muscolarity. You can see the different bodyparts.
set	a grouping of <a href="bword://reps">reps</A> with a <a href="bword://rest">rest</A> period in between each grouping.
set system	a <a href="bword://weider principle">Weider Principle</A> which involves doing multiple <a href="bword://set">sets</A> per body part in order to completely exhaust each muscle group and stimulate growth.
